evolution rate,length lived,species population time,population
0.078045,415,355058,855
0.214112,215,15738,73
0.156104,590,46454,78
0.160272,108,199,1
0.278379,89,95,1
0.149484,92,201,2
0.186442,76,150,1
0.204825,62,83,1
0.301428,1489,90249,60
0.063267,367,24499,66
0.269893,170,991,5
0.382333,105,168,1
0.208081,498,18346,36
0.374441,86,198,2
0.372907,82,138,1
0.293202,60,85,1
0.383016,83,150,1
0.394263,116,410,3
0.248705,58,97,1
0.333054,65,109,1
0.189635,54,136,2
0.189078,1240,49499,39
0.369038,104,158,1
0.387483,52,95,1
0.350174,123,262,2
0.309923,173,1045,6
0.188492,74,95,1
0.332512,59,102,1
0.242804,53,65,1
0.232429,80,99,1
0.113433,146,332,2
0.31129,73,110,1
0.333105,73,141,1
0.242522,4001,243210,60
0.311422,1596,67248,42
0.056547,143,314,2
0.201667,49,135,2
0.225,51,95,1
0.306667,52,97,1
0.166667,54,227,4
0.178333,56,111,1
0.283333,56,98,1
0.353333,56,106,1
0.388333,57,147,2
0.365,59,143,2
0.295,64,262,4
0.318333,68,134,1
0.26,75,291,3
0.376667,76,155,2
0.271667,77,164,2
0.213333,79,318,4
0.33,79,271,3
0.341667,80,153,1
0.236667,81,836,10
0.248333,84,358,4
0.05,87,1710,19
0.131667,90,825,9
0.096667,94,249,2
0.155,94,294,3
0.19,99,210,2
0.12,106,448,4
0.061667,129,661,5
0.143333,201,904,4
0.073333,282,52944,187
0.085,282,60639,215
0.305372,96,146,1
0.172602,103,272,2
0.193518,104,150,1
0.283381,102,443,4
0.106326,121,144,1
0.108333,782,204110,261
0.06735,76,119,1
0.178066,50,90,1
0.213473,191,1085,5
0.242867,376,2951,7
0.28299,245,1171,4
0.06247,894,193366,216
0.164961,71,250,3
0.161436,116,295,2
0.365332,56,94,1
0.319807,125,349,2
0.110224,499,27254,54
0.131364,1060,46786,44
0.091546,654,19632,30
0.178125,178,569,3
0.387295,106,224,2
0.086008,213,28221,132
0.16765,1031,51235,49
0.344878,109,261,2
0.138085,77,103,1
0.173444,61,105,1
0.145349,76,111,1
0.282648,92,103,1
0.337346,107,126,1
0.251972,70,111,1
0.175093,227,549,2
0.108561,998,101073,101
0.398544,111,733,6
0.309087,137,338,2
