evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,299.5925925925926,13505.703703703704
0.051,287.1666666666667,7049.333333333333
0.052,112.0,447.0
0.053,384.14285714285717,6641.857142857143
0.054,207.0,3066.0
0.055,274.75,15879.166666666666
0.056,227.0,1229.6666666666667
0.058,153.66666666666666,1892.0
0.059,71.75,139.0
0.06,343.1111111111111,9938.222222222223
0.061,259.0,567.5
0.062,459.7,24496.55
0.063,218.28571428571428,2054.4285714285716
0.064,408.8333333333333,11842.333333333334
0.065,174.0,390.4
0.066,236.0,2239.5
0.067,256.22222222222223,6166.666666666667
0.068,163.33333333333334,1002.3333333333334
0.07,167.66666666666666,6054.666666666667
0.071,223.0,4405.2
0.072,478.0,13873.0
0.073,296.6,18539.666666666668
0.074,302.3333333333333,31219.666666666668
0.075,189.75,1101.75
0.076,103.0,441.5
0.077,209.0,1240.0
0.078,388.25,1930.0
0.079,199.0,878.8
0.08,182.0,584.0
0.081,318.5,6745.5
0.082,627.3333333333334,16701.333333333332
0.083,249.0,1234.0
0.084,421.8,10879.2
0.085,410.82608695652175,16532.043478260868
0.086,182.0,486.5
0.087,362.0,15795.6
0.088,154.0,1832.5
0.089,177.25,998.0
0.09,238.28571428571428,7606.571428571428
0.091,79.5,222.5
0.092,234.5,1323.0
0.093,199.75,1505.0
0.094,148.2,604.2
0.095,306.2857142857143,11707.42857142857
0.096,136.5,305.0
0.097,282.6,13867.85
0.098,272.0,4515.333333333333
0.099,399.6666666666667,16047.0
0.1,240.6,9121.4
0.101,215.0,7890.333333333333
0.102,462.75,25566.5
0.103,422.0,6946.0
0.104,302.42857142857144,1687.142857142857
0.105,187.75,2149.0
0.106,428.3333333333333,7273.666666666667
0.107,331.0,11324.333333333334
0.108,445.42857142857144,41200.142857142855
0.109,235.0,22624.0
0.11,428.0,25268.0
0.111,479.8,9856.8
0.112,725.6666666666666,40694.333333333336
0.113,181.0,3278.5
0.114,221.75,1472.5
0.115,291.0,1678.0
0.116,175.33333333333334,13734.833333333334
0.117,288.3333333333333,1541.8333333333333
0.118,191.4,4336.4
0.119,374.125,19198.625
0.12,391.23809523809524,18282.47619047619
0.121,240.33333333333334,7582.833333333333
0.122,242.14285714285714,984.8571428571429
0.123,209.4,3106.8
0.124,436.75,11499.75
0.125,159.66666666666666,836.6666666666666
0.126,229.25,1421.5
0.127,223.75,7947.25
0.128,241.0,6134.8
0.129,260.6,7240.4
0.13,252.0,17181.0
0.131,241.75,2248.625
0.132,289.1818181818182,16861.0
0.133,180.5,1336.625
0.134,188.11111111111111,1368.4444444444443
0.135,290.0,10697.25
0.136,184.71428571428572,3092.714285714286
0.137,125.5,495.75
0.138,322.0,13889.0
0.139,191.5,1788.625
0.14,181.66666666666666,14999.0
0.141,245.4,5711.0
0.142,179.5,383.0
0.143,531.2962962962963,26074.185185185186
0.144,123.0,1313.3333333333333
0.145,249.0,1578.8
0.146,370.8,6932.0
0.147,341.3333333333333,3337.0
0.148,315.57142857142856,10615.714285714286
0.149,202.25,1019.5
0.15,252.2,11201.8
0.151,625.5,21213.0
0.152,185.66666666666666,874.6666666666666
0.153,472.6666666666667,10342.0
0.154,135.0,325.5
0.155,559.4,37063.7
0.156,232.33333333333334,2606.3333333333335
0.157,209.25,4298.75
0.158,237.5,8678.666666666666
0.159,332.8,5895.8
0.16,274.8888888888889,4652.444444444444
0.161,276.75,5308.0
0.162,78.0,123.5
0.163,327.1666666666667,12933.0
0.164,484.6666666666667,8258.666666666666
0.165,204.0,760.6666666666666
0.166,293.6666666666667,9330.166666666666
0.167,380.04761904761904,18123.238095238095
0.168,284.0,9011.5
0.169,338.5,2380.0
0.17,404.5,29074.333333333332
0.171,500.0,16495.75
0.172,477.4,8102.4
0.174,253.75,5890.0
0.175,271.0,1158.0
0.176,244.42857142857142,756.1428571428571
0.177,264.4,2319.8
0.178,1990.3658536585365,160940.17073170733
0.179,690.6666666666666,40376.666666666664
0.18,337.0,3349.0
0.181,254.6,2795.6
0.182,547.2,11172.6
0.183,166.0,413.0
0.184,294.8,3027.4
0.185,227.83333333333334,5453.0
0.186,285.0,946.0
0.187,447.25,10642.5
0.188,276.0,2602.0
0.189,1476.6666666666667,130219.66666666667
0.19,2299.148936170213,175529.48936170212
0.191,891.2,54777.0
0.192,449.6,6236.2
0.193,773.75,35925.75
0.194,266.75,3591.5
0.195,509.75,12197.75
0.197,805.1666666666666,62610.333333333336
0.198,316.4,2033.6
0.199,270.5,1629.0
0.2,262.0,5004.0
0.201,132.75,984.25
0.202,2488.810810810811,199775.05405405405
0.203,2052.5,279974.5
0.204,258.6,2999.8
0.205,577.8333333333334,5522.833333333333
0.206,308.3333333333333,1920.3333333333333
0.207,260.4,1670.8
0.208,174.2,494.4
0.209,339.8333333333333,2477.5
0.21,402.8,14631.8
0.211,286.0,7003.0
0.212,514.3333333333334,15351.0
0.213,2271.340909090909,182713.02272727274
0.214,382.0,12392.0
0.215,237.0,1231.8
0.216,148.8,602.0
0.217,286.3333333333333,2802.0
0.218,173.66666666666666,570.3333333333334
0.219,164.4,4128.8
0.22,624.0,15520.0
0.221,578.0,3426.0
0.222,1026.4285714285713,54635.28571428572
0.223,221.2,1046.0
0.224,372.2857142857143,34764.0
0.225,2724.756097560976,213563.39024390245
0.226,267.0,713.0
0.227,176.75,2853.0
0.228,365.6666666666667,28824.833333333332
0.229,84.0,130.0
0.23,167.5,541.75
0.231,389.2,3315.0
0.232,172.25,1242.0
0.233,216.8,2961.2
0.234,820.0,68698.2
0.235,379.4,9048.4
