evolution rate,geometric mean length lived,geometric mean species population time
0.052,168.99704139422084,17107.07128645929
0.053,468.4634457457701,34178.99109101965
0.054,1166.0355912235266,72518.44006871631
0.055,350.5926794156088,27409.176500402446
0.056,999.0,208835.9999999999
0.057,416.2951554267848,59805.09268124056
0.058,530.0,31250.00000000001
0.059,573.2983516459819,54050.72005070793
0.06,706.0460324936329,77803.40187935231
0.061,418.80099267635467,26313.678950361158
0.062,499.0,32405.372455813547
0.064,499.9999999999999,103381.0
0.065,703.9204500509983,91671.3676727908
0.066,991.9753021119027,64868.70394882269
0.067,605.3774854334422,67456.69963553482
0.068,431.0406013358834,35374.18902250621
0.069,830.9999999999999,37602.99999999999
0.07,706.7531393633848,76532.37202648303
0.071,90.0499861188218,1284.0214172668614
0.072,497.0,45995.00000000001
0.073,615.0000000000001,38261.00000000002
0.074,498.49974924768014,47474.670741354275
0.075,499.0,85079.0
0.076,629.1202973492206,38374.84347230775
0.078,499.33311091334957,65391.1729609942
0.081,424.41954671699654,30768.961629640955
0.082,317.63844514516285,32313.460602190786
0.083,499.0,28564.0792604978
0.084,422.27338663852515,38230.58741465971
0.086,757.1135978173951,119764.7794219987
0.087,271.0,8537.000000000002
0.088,161.0,527.0
0.089,275.0,3015.0
0.09,499.0,83865.0
0.092,352.52175773076124,21893.991408134138
0.093,252.27431391082143,18557.93943202497
0.094,532.0,81468.00000000001
0.095,304.91663396162807,13135.435146822616
0.096,354.79257869150524,46551.96006954983
0.098,1497.9999999999998,109519.99999999999
0.099,655.1915750374083,105784.95375997481
0.1,890.8181632634125,131157.69785262324
0.101,488.44497731463565,57939.19385381628
0.103,440.7752928884722,26480.479863213266
0.104,339.5644268765502,18120.622781792023
0.105,356.69499967668406,35635.07164444268
0.107,496.9024049046251,49844.6799568419
0.108,328.8978104233848,19874.4189077126
0.109,344.0,26642.000000000007
0.11,499.0,75492.72277511256
0.111,839.1001132165337,154332.24606348464
0.113,151.7333186877556,7136.770838411444
0.114,736.0,80636.99999999997
0.116,499.0,56771.00000000003
0.117,999.0,192008.00000000003
0.118,499.0,103097.0
0.119,149.0,3595.9999999999995
0.12,342.00000000000006,13999.999999999995
0.121,340.8260163992297,16382.996610267986
0.122,683.0556346301522,45485.09355821972
0.124,587.3346575845835,39500.567717439204
0.125,666.560395505005,69709.60581373103
0.126,339.00000000000006,93067.99999999996
0.127,498.49974924768014,101536.54396324503
0.128,33.0,1885.9999999999995
0.129,66.0,437.0
0.13,594.9999999999999,25135.000000000004
0.132,432.3224907395355,22213.574690733352
0.133,118.0,2686.0000000000005
0.135,108.0,315.0
0.136,499.0,120997.99999999999
0.137,319.3946400377084,6089.259935576922
0.138,705.6925676241746,48665.43918429178
0.14,551.0,84758.99999999997
0.142,186.0,2485.0
0.143,999.0,117300.00000000004
0.144,499.0,66240.0
0.145,254.99999999999997,6239.0
0.146,513.2952366815807,24772.96439669666
0.147,186.0,11865.000000000005
0.151,499.0,14779.0
0.152,706.0460324936329,99360.95613469102
0.154,615.0000000000001,38305.000000000015
0.155,999.0,75088.0
0.156,282.5597281991898,4706.363351888589
0.157,258.58460897740997,7161.780784134629
0.159,567.0000000000001,35028.00000000001
0.16,561.2486080160911,61453.40159828423
0.161,66.0,197.0
0.162,763.9999999999998,56557.99999999998
0.163,187.5074817755263,3955.936295454854
0.165,262.0374584672704,10992.716032033635
0.168,173.03178898687952,2680.904698045046
0.171,556.0,32089.999999999985
0.172,247.00000000000003,10599.0
0.173,499.0,57119.00000000001
0.174,378.81393849751623,28800.148784337904
0.175,499.9999999999999,87612.00000000003
0.176,499.9999999999999,67111.91818894766
0.178,3499.0,413715.00000000006
0.179,312.0865264634153,3776.7319205895456
0.18,322.99999999999994,54844.000000000015
0.182,243.6872729232947,16010.112435199608
0.183,307.3385755156681,8056.922117037004
0.185,629.9999999999999,21583.999999999996
0.187,654.0,51653.999999999985
0.188,170.1234845634194,1251.0075939018118
0.189,91.0,160.0
0.191,86.0,261.0
0.192,305.0,12751.000000000005
0.194,283.8661656485324,2579.5261192707467
0.2,499.0,56548.00000000002
0.201,50.0,103.0
0.204,498.00000000000006,111307.0
0.206,999.0,104675.99999999997
0.207,96.0,204.0
0.208,112.00000000000001,2666.0000000000005
0.21,183.0,10280.999999999998
0.211,673.0,31804.000000000007
0.212,214.0,2034.0000000000005
0.214,869.9999999999998,87644.0
0.218,220.00000000000003,2697.0
0.219,361.00000000000006,13912.0
0.22,999.0,95223.00000000001
0.221,99.0,351.99999999999994
0.223,302.38882254474953,3825.9639308284122
0.226,3998.9999999999995,397594.0000000001
0.228,826.6026856960966,112577.06344544607
0.233,499.0,109641.00000000003
0.235,113.99999999999999,420.0
0.24,999.0,223125.99999999994
0.243,147.0,1069.9999999999998
0.25,398.0,21296.000000000007
0.251,345.0,5630.0
0.252,167.0,4250.000000000001
0.254,401.0,13559.000000000004
0.256,1999.0000000000002,230242.99999999994
0.264,418.0,9878.0
0.265,734.0,50475.000000000015
0.268,499.0,48045.00000000001
0.271,981.9999999999999,41788.99999999999
0.272,497.0,10078.000000000002
0.284,110.00000000000001,257.0
0.289,43.56604182158394,167.98809481626964
0.301,1036.9999999999998,131992.00000000006
0.308,861.9999999999998,41588.99999999999
0.309,90.0,957.0
0.311,594.0,36660.00000000002
0.312,520.0,20993.999999999993
0.314,279.8213715926645,3945.2726141548183
0.317,1359.5205037070978,137839.03657527495
0.329,499.0,24800.000000000007
0.33,102.13226718329523,687.2357674044622
0.332,999.0,48134.999999999985
0.334,499.0,13192.999999999998
0.34,524.0,13145.999999999998
0.345,87.0,213.0
0.349,1003.9999999999998,192224.99999999997
0.35,174.0,2145.0000000000005
0.357,155.0,1395.0
0.358,318.0,6894.999999999999
0.363,311.2776682231221,3561.7733824393013
0.377,59.0,156.0
0.392,65.0,89.0
0.394,305.99999999999994,4568.000000000001
