evolution rate,geometric mean length lived,geometric mean species population time
0.051,499.0,73354.00000000001
0.055,498.00000000000006,25530.00000000001
0.059,167.0,4961.999999999999
0.068,3000.0000000000005,313518.0
0.076,449.35954424046673,48243.10334130676
0.082,75.0,834.0000000000001
0.099,241.0,19639.999999999996
0.104,101.0,216.0
0.109,499.0,89007.0
0.112,1093.0,59897.000000000015
0.124,426.0,31294.999999999993
0.147,499.0,126726.00000000003
0.153,315.99999999999994,5875.999999999997
0.155,53.0,102.0
0.181,425.0,27056.00000000001
0.194,62.0,283.0
0.199,74.0,155.0
0.229,1164.0,140042.99999999997
0.254,149.0,583.0
0.258,92.0,484.99999999999994
0.318,56.00000000000001,148.0
0.321,84.0,109.00000000000001
0.331,765.0,52058.00000000001
0.349,223.37412562783544,2413.448362820303
0.351,175.0,1153.0
0.361,88.0,135.0
0.369,155.0,1267.0
0.375,54.0,124.0
0.38,377.99999999999994,7410.000000000002
0.399,94.0,260.0
