evolution rate,length lived,species population time,population
0.306667,46,86,1
0.271667,59,147,2
0.283333,77,157,2
0.33,77,322,4
0.388333,77,183,2
0.096667,81,241,2
0.295,81,244,3
0.236667,83,154,1
0.353333,91,203,2
0.376667,93,240,2
0.365,137,1748,12
0.131667,143,312,2
0.085,501,31723,63
0.197787,97,253,2
0.166312,84,139,1
0.295205,113,139,1
0.108333,1001,38642,38
0.19,1059,31181,29
0.314138,82,94,1
0.309531,80,86,1
0.220921,112,292,2
0.128341,499,163278,327
0.208895,241,1519,6
0.154411,92,300,3
0.230431,83,104,1
0.193252,80,95,1
0.091894,1161,212800,183
0.064309,651,13408,20
0.281234,92,101,1
0.204016,56,101,1
0.088569,499,144028,288
0.27784,75,161,2
0.361293,163,886,5
0.288765,279,5595,20
0.252494,135,529,3
0.090735,335,8429,25
0.293114,102,105,1
0.143778,150,366,2
0.205652,94,140,1
0.208411,1339,149080,111
0.17897,149,265,1
0.094775,499,58832,117
0.053467,158,18270,115
0.175568,15,29,1
0.336915,220,1866,8
0.262421,119,469,3
0.058543,432,4443,10
0.114737,500,10484,20
0.078888,66,176,2
0.288817,96,206,2
0.391126,106,689,6
0.096622,392,60829,155
0.222765,856,30441,35
0.224931,85,92,1
0.153855,97,135,1
0.355933,66,154,2
0.05303,300,6109,20
0.185162,92,140,1
0.284097,94,107,1
0.298312,66,143,2
0.112456,102,427,4
0.306974,101,531,5
0.21167,118,139,1
0.070104,278,5110,18
0.220639,150,289,1
0.162754,75,150,2
0.0863,232,4004,17
0.143308,140,260,1
0.171577,134,333,2
0.105042,223,10146,45
0.339581,125,742,5
0.153893,326,14907,45
0.232667,4001,238408,59
0.211017,3501,188670,53
0.201667,49,92,1
0.283333,51,98,1
0.33,53,97,1
0.295,54,95,1
0.096667,56,187,3
0.318333,56,106,1
0.341667,57,106,1
0.248333,58,133,2
0.388333,61,99,1
0.365,63,164,2
0.271667,65,154,2
0.225,67,166,2
0.236667,67,131,1
0.376667,67,191,2
0.306667,70,157,2
0.166667,71,501,7
0.213333,73,152,2
0.131667,75,263,3
0.353333,84,174,2
0.12,96,334,3
0.26,102,524,5
0.143333,105,408,3
0.19,121,331,2
0.073333,139,736,5
0.155,140,1275,9
0.178333,143,888,6
0.061667,147,1344,9
0.108333,197,24374,123
0.153485,80,103,1
0.05,498,105774,212
0.085,498,112264,225
0.065616,219,689,3
0.337062,93,220,2
0.283953,173,743,4
0.08425,202,386,1
0.264013,67,88,1
0.120248,29,46,1
0.118346,500,585492,1170
0.100647,524,438332,836
0.138751,499,44124,88
0.108481,1062,25182,23
0.384851,70,153,2
0.295434,86,102,1
0.340105,66,106,1
0.337896,92,146,1
0.28713,52,88,1
0.285379,49,94,1
0.062521,499,39020,78
0.387861,120,267,2
0.392578,138,704,5
0.390775,88,132,1
0.113458,347,11943,34
0.3945,75,104,1
0.158085,121,209,1
0.316731,245,1279,5
0.181239,72,94,1
0.168082,101,107,1
0.074624,137,638,4
0.217148,71,86,1
0.228155,118,222,1
0.195369,3996,855551,214
0.124566,205,1511,7
0.056088,78,294,3
0.369079,89,94,1
0.2546,94,105,1
0.095484,499,12095,24
0.100617,86,137,1
0.259852,96,152,1
0.24448,88,164,1
0.219775,3063,95956,31
0.248303,59,104,1
0.318225,66,91,1
0.061092,375,31606,84
0.354612,70,81,1
0.280384,69,142,2
0.350023,90,142,1
0.210748,87,145,1
0.389312,84,99,1
0.145405,418,42865,102
0.285113,109,728,6
0.299366,218,568,2
0.300892,90,142,1
0.309054,94,152,1
0.11773,104,157,1
0.052118,499,54003,108
0.296564,60,88,1
0.329069,60,88,1
0.34764,70,105,1
0.287527,53,146,2
0.110996,115,193,1
0.118255,168,8595,51
0.368331,195,9880,50
0.355918,74,140,1
0.176783,85,144,1
0.34455,51,89,1
0.059395,999,19943,19
0.284104,48,74,1
0.277549,173,710,4
0.349946,61,104,1
0.127822,499,82341,165
0.069953,118,950,8
0.187983,4001,265882,66
0.181071,314,20801,66
0.355989,135,817,6
0.353333,51,138,2
0.283333,53,104,1
0.271667,54,94,1
0.26,55,108,1
0.295,56,154,2
0.318333,57,137,2
0.365,57,142,2
0.376667,57,149,2
0.236667,62,206,3
0.166667,67,242,3
0.178333,69,252,3
0.096667,70,436,6
0.213333,70,160,2
0.306667,72,168,2
0.12,73,296,4
0.225,73,201,2
0.388333,73,171,2
0.201667,78,506,6
0.108333,80,391,4
0.248333,102,316,3
0.341667,138,757,5
0.131667,157,494,3
0.155,163,715,4
0.19,163,356,2
0.05,185,7947,42
0.061667,185,8240,44
0.143333,185,3588,19
0.33,318,1755,5
0.280498,63,87,1
0.062017,60,99,1
0.073333,685,44770,65
0.085,685,30042,43
0.162102,43,207,4
0.286599,153,2406,15
0.099231,343,788,2
0.35545,406,3978,9
0.362664,100,340,3
0.338344,92,322,3
0.260058,570,10120,17
0.200895,101,145,1
0.072641,139,1072,7
0.099958,500,58709,117
0.079548,498,59127,118
0.302936,57,86,1
0.385369,194,574,2
0.147652,84,95,1
0.377292,91,104,1
0.144124,94,98,1
0.129323,500,37749,75
0.396416,57,62,1
0.12046,332,3255,9
0.164283,499,57355,114
0.269935,226,2251,9
0.13427,120,291,2
0.18628,143,369,2
0.267955,728,29491,40
0.246295,330,3090,9
0.38046,94,101,1
0.098405,270,5922,21
0.284707,91,184,2
0.065855,154,683,4
0.168382,75,80,1
0.316827,135,343,2
0.207894,202,567,2
0.19794,702,21702,30
0.34423,92,135,1
0.257618,340,11847,34
0.053455,9,11,1
0.051239,294,7301,24
0.344983,62,105,1
0.21099,134,641,4
0.197717,214,490,2
0.082346,534,23938,44
0.293358,98,729,7
0.188147,4001,199172,49
0.129911,183,9984,54
0.143333,57,106,1
0.131667,59,102,1
0.201667,59,134,2
0.26,61,133,2
0.376667,62,202,3
0.33,65,148,2
0.306667,67,143,2
0.225,70,245,3
0.213333,71,256,3
0.341667,71,143,2
0.155,72,194,2
0.236667,74,204,2
0.295,74,155,2
0.085,75,311,4
0.353333,77,433,5
0.365,92,179,1
0.388333,92,286,3
0.318333,93,161,1
0.248333,99,209,2
0.283333,105,209,1
0.061667,107,995,9
0.096667,108,474,4
0.178333,111,303,2
0.108333,164,1051,6
0.271667,224,2846,12
0.073333,337,7621,22
0.05,358,18275,51
0.12,358,14447,40
0.19,385,6097,15
0.165177,17,26,1
0.391813,106,402,3
0.373405,83,263,3
0.206935,179,1033,5
0.394971,61,99,1
0.21346,122,459,3
0.166667,858,127979,149
0.238117,395,77399,195
