evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,353.5,16777.5
0.051,420.0,26078.0
0.052,448.5,14634.0
0.053,460.3333333333333,37548.333333333336
0.054,430.0,32737.0
0.055,500.0,84787.0
0.056,499.0,78964.0
0.057,1515.0,154332.0
0.058,499.0,79832.0
0.059,998.0,41106.0
0.06,336.5,3232.0
0.062,425.6666666666667,27399.0
0.064,500.0,71900.0
0.067,126.0,3189.0
0.068,899.0,118086.0
0.07,329.0,42238.25
0.072,603.5,92460.0
0.073,436.6666666666667,36273.666666666664
0.076,685.0,37104.0
0.078,499.0,27493.0
0.079,351.0,21480.0
0.08,316.0,24066.0
0.081,590.0,12675.0
0.082,498.0,24220.0
0.084,423.0,76515.5
0.086,925.0,146269.0
0.088,866.0,74028.0
0.089,618.6666666666666,47989.666666666664
0.09,264.0,72486.0
0.091,281.0,24087.0
0.092,999.0,117353.0
0.093,406.0,26013.0
0.094,21.0,33.0
0.095,499.0,51074.0
0.096,477.5,32824.0
0.102,720.0,34502.0
0.103,287.0,54420.0
0.104,279.0,3375.0
0.105,491.5,40045.5
0.106,499.0,55950.0
0.107,390.0,80693.0
0.108,258.0,17010.5
0.11,383.0,34644.333333333336
0.111,298.0,10463.0
0.113,748.5,75651.5
0.114,499.0,61248.0
0.115,716.5,66322.0
0.118,632.6666666666666,84852.0
0.119,460.0,10096.0
0.12,243.5,4716.0
0.121,392.5,14459.5
0.124,607.0,37327.0
0.126,499.0,13720.0
0.127,447.0,46058.0
0.128,498.0,54852.5
0.129,1520.0,157418.0
0.13,499.0,30679.0
0.131,498.0,25073.0
0.133,498.0,34948.0
0.135,256.3333333333333,9432.666666666666
0.136,510.0,58293.0
0.137,389.0,104390.0
0.139,700.0,61981.0
0.142,567.5,18820.5
0.143,499.0,24504.0
0.144,311.5,50621.0
0.149,375.0,24886.0
0.15,643.0,42146.5
0.157,502.0,17687.0
0.159,2499.0,168837.0
0.16,2694.0,290763.0
0.161,2435.0,322335.0
0.162,247.0,9512.0
0.166,49.0,92.0
0.171,158.0,1618.0
0.174,408.5,13662.0
0.175,1979.0,257872.0
0.179,134.0,623.0
0.181,79.0,139.0
0.185,53.0,79.0
0.191,128.0,516.0
0.192,4001.0,292059.0
0.193,184.0,741.0
0.204,2482.0,295979.0
0.205,251.5,3092.0
0.213,60.0,95.0
0.214,167.0,1827.0
0.215,1737.0,125743.0
0.218,85.0,100.0
0.22,77.0,218.0
0.221,157.0,750.0
0.229,108.0,504.0
0.233,100.0,156.0
0.237,230.0,1387.0
0.238,836.0,104037.0
0.242,72.0,116.75
0.243,314.0,2060.0
0.249,95.0,144.0
0.251,128.0,336.0
0.255,106.0,628.0
0.256,78.0,87.0
0.258,90.0,249.0
0.261,266.0,3301.5
0.265,54.0,101.0
0.268,348.0,5936.0
0.273,873.5,52902.0
0.281,389.0,7036.0
0.282,378.5,139694.5
0.283,90.0,146.0
0.284,88.0,197.0
0.286,90.5,290.0
0.294,82.0,98.0
0.295,102.0,644.0
0.297,114.0,266.0
0.298,122.0,144.0
0.306,116.0,699.0
0.307,205.0,1541.0
0.31,168.0,781.5
0.311,330.5,7356.0
0.312,63.0,113.0
0.317,258.0,2742.0
0.318,80.0,305.0
0.321,80.0,112.0
0.322,679.5,73659.5
0.324,55.0,927.0
0.33,415.0,21720.0
0.331,147.0,578.0
0.332,2789.0,191133.0
0.34,505.0,45607.0
0.341,292.0,5661.0
0.343,341.0,6806.0
0.344,202.0,2117.0
0.346,81.0,101.0
0.347,192.5,2775.0
0.348,2132.5,182853.5
0.349,79.0,181.0
0.353,56.0,155.0
0.354,959.0,84332.0
0.358,390.0,8413.0
0.362,504.0,23717.0
0.363,62.0,115.0
0.374,756.0,57782.0
0.382,64.0,109.0
0.388,1339.0,178713.0
0.389,104.0,337.0
0.39,151.0,210.0
0.392,111.5,291.5
0.394,253.0,1820.0
0.396,85.0,151.0
0.398,500.0,37362.0
