evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,499.08073196986004,51074.53606027987
0.051,470.3388157894737,48632.01480263158
0.052,470.1263001485884,44973.10698365528
0.053,462.65,47741.92222222222
0.054,481.11876832844575,48081.85630498534
0.055,474.86995515695065,47730.84005979073
0.056,471.79010494752623,44458.34482758621
0.057,465.10615384615386,46221.46769230769
0.058,460.24631268436576,47524.14159292035
0.059,478.3441358024691,49392.65277777778
0.06,468.53093525179855,46551.453237410075
0.061,456.3191800878477,46002.953147877015
0.062,492.93029490616624,50649.88561215371
0.063,467.7235890014472,47973.6020260492
0.064,473.3288490284006,47503.76233183857
0.065,473.3805436337625,49241.48497854077
0.066,475.21408450704223,48606.42394366197
0.067,471.17979197622583,46839.20505200594
0.068,455.9234234234234,47325.566066066065
0.069,483.385593220339,48576.44632768362
0.07,468.05409356725147,46920.44152046784
0.071,467.61584454409564,44041.67563527653
0.072,463.75876577840114,47688.913043478264
0.073,487.62558356676004,49079.43790849673
0.074,442.9265306122449,46450.01768707483
0.075,470.375350140056,47396.97198879552
0.076,466.0953038674033,46968.89917127072
0.077,466.28878648233484,47415.3133640553
0.078,464.2571860816944,45395.88502269289
0.079,474.5392296718973,48522.2182596291
0.08,471.89823008849555,50660.994100294985
0.081,465.36265223274694,48002.369418132614
0.082,464.62655601659753,44461.32918395574
0.083,467.1573033707865,46971.20505617977
0.084,476.36299435028246,47358.002824858755
0.085,520.2659574468086,48497.752417794974
0.086,472.0766961651917,49075.738938053095
0.087,456.978323699422,46381.12138728324
0.088,466.1058823529412,46813.14117647059
0.089,480.4223602484472,48431.20962732919
0.09,471.7319587628866,48706.886597938144
0.091,465.11918604651163,49310.873546511626
0.092,467.30965909090907,48205.54971590909
0.093,462.6158536585366,45163.189024390245
0.094,467.5479041916168,50923.64670658683
0.095,474.4425727411945,44707.78407350689
0.096,441.4224683544304,43848.11075949367
0.097,513.9103982300885,52374.61725663717
0.098,467.6651234567901,47050.83024691358
0.099,470.14285714285717,48448.84717607973
0.1,467.32295081967214,48966.945901639345
0.101,465.697520661157,47868.45289256198
0.102,478.9375,50479.63980263158
0.103,469.4517766497462,47548.48223350254
0.104,454.07312925170066,45787.53231292517
0.105,459.746835443038,46730.91613924051
0.106,453.3868092691622,44490.67557932264
0.107,472.7001569858713,49498.68916797488
0.108,483.95598349381015,47316.48693259973
0.109,449.6868512110727,46673.75432525951
0.11,447.5080213903743,42109.313725490196
0.111,456.0127041742287,45792.00725952813
0.112,463.6545138888889,49219.84375
0.113,455.57706093189967,45269.761648745516
0.114,447.662,43055.88
0.115,455.02071563088515,46437.5593220339
0.116,424.8880994671403,43334.769094138544
0.117,432.2891344383057,42881.92817679558
