frame,avg evo,population
0,0.21916666666666668,30
100,0.13166666666666665,306
100,0.06,127,41.50%
100,0.13,155,50.65%
200,0.09666666666666668,136
200,0.06,54,39.71%
200,0.13,64,47.06%
300,0.09666666666666668,86
300,0.13,31,36.05%
300,0.06,32,37.21%
400,0.06166666666666667,135
400,0.13,37,27.41%
400,0.06,85,62.96%
500,0.13166666666666665,200
500,0.06,62,31.00%
500,0.13,108,54.00%
600,0.06166666666666667,102
600,0.06,98,96.08%
700,0.06166666666666667,109
700,0.07,24,22.02%
700,0.06,84,77.06%
800,0.06549094085534923,231
800,0.06,96,41.56%
800,0.07,134,58.01%
900,0.06549094085534923,306
900,0.06,150,49.02%
900,0.07,155,50.65%
1000,0.06357880376100795,42
1000,0.07,20,47.62%
1000,0.06,21,50.00%
1100,0.10428653015399285,49
1100,0.16,16,32.65%
1100,0.1,31,63.27%
1200,0.10428653015399285,79
1200,0.16,30,37.97%
1200,0.1,47,59.49%
1300,0.10428653015399285,798
1300,0.1,435,54.51%
1300,0.16,362,45.36%
1400,0.10428653015399285,361
1400,0.16,137,37.95%
1400,0.1,221,61.22%
1500,0.10428653015399285,53
1500,0.16,21,39.62%
1500,0.1,29,54.72%
1600,0.16038965912260794,72
1600,0.16,48,66.67%
1600,0.06,18,25.00%
1700,0.06292088786981387,11
1700,0.21,4,36.36%
1700,0.06,6,54.55%
1800,0.06292088786981387,39
1800,0.06,24,61.54%
1800,0.31,9,23.08%
1900,0.06292088786981387,141
1900,0.31,32,22.70%
1900,0.06,88,62.41%
2000,0.06292088786981387,114
2000,0.06,76,66.67%
2000,0.12,30,26.32%
2100,0.23328322877165947,7
2100,0.12,2,28.57%
2100,0.37,3,42.86%
2200,0.18806769879194923,15
2200,0.19,7,46.67%
2200,0.12,5,33.33%
2300,0.18806769879194923,26
2300,0.12,11,42.31%
2300,0.19,14,53.85%
2400,0.18806769879194923,56
2400,0.19,37,66.07%
2400,0.12,14,25.00%
2500,0.18806769879194923,49
2500,0.19,29,59.18%
2500,0.12,16,32.65%
2600,0.18806769879194923,214
2600,0.28,66,30.84%
2600,0.19,117,54.67%
2700,0.18806769879194923,251
2700,0.28,55,21.91%
2700,0.19,180,71.71%
2800,0.18806769879194923,174
2800,0.19,150,86.21%
2900,0.11448073708355166,14
2900,0.19,5,35.71%
2900,0.11,7,50.00%
3000,0.11448073708355166,87
3000,0.11,24,27.59%
3000,0.19,29,33.33%
3000,0.06,34,39.08%
3100,0.18806769879194923,113
3100,0.11,32,28.32%
3100,0.19,73,64.60%
3200,0.18806769879194923,91
3200,0.11,30,32.97%
3200,0.19,53,58.24%
3300,0.18806769879194923,70
3300,0.11,24,34.29%
3300,0.19,41,58.57%
3400,0.18806769879194923,91
3400,0.19,43,47.25%
3400,0.2,30,32.97%
3500,0.18806769879194923,75
3500,0.2,28,37.33%
3500,0.19,41,54.67%
3600,0.18806769879194923,45
3600,0.2,21,46.67%
3600,0.19,21,46.67%
3700,0.20478774994359078,31
3700,0.2,17,54.84%
3700,0.14,13,41.94%
3800,0.20478774994359078,93
3800,0.14,45,48.39%
3800,0.2,47,50.54%
3900,0.20478774994359078,72
3900,0.2,40,55.56%
3900,0.14,24,33.33%
4000,0.20478774994359078,116
4000,0.3,38,32.76%
4000,0.2,57,49.14%
4100,0.20478774994359078,82
4100,0.3,34,41.46%
4100,0.2,46,56.10%
4200,0.20478774994359078,108
4200,0.3,45,41.67%
4200,0.2,61,56.48%
4300,0.25228809003295655,112
4300,0.3,56,50.00%
4300,0.2,53,47.32%
4400,0.20478774994359078,68
4400,0.3,25,36.76%
4400,0.2,40,58.82%
4500,0.2997884301223223,82
4500,0.2,39,47.56%
4500,0.3,42,51.22%
4600,0.2997884301223223,64
4600,0.3,33,51.56%
4600,0.2,28,43.75%
4700,0.09396044458839076,102
4700,0.3,28,27.45%
4700,0.09,55,53.92%
4800,0.09396044458839076,82
4800,0.09,44,53.66%
4800,0.2,34,41.46%
4900,0.09396044458839076,17
4900,0.09,9,52.94%
4900,0.17,5,29.41%
5000,0.17227355970916408,213
5000,0.17,110,51.64%
5000,0.09,102,47.89%
5100,0.0983504238199221,109
5100,0.17,51,46.79%
5100,0.1,57,52.29%
5200,0.17227355970916408,54
5200,0.17,26,48.15%
5200,0.1,26,48.15%
5300,0.17227355970916408,24
5300,0.1,10,41.67%
5300,0.17,13,54.17%
5400,0.0983504238199221,43
5400,0.1,22,51.16%
5400,0.17,20,46.51%
5500,0.0983504238199221,50
5500,0.17,14,28.00%
5500,0.1,34,68.00%
5600,0.17227355970916408,77
5600,0.17,59,76.62%
5600,0.26,18,23.38%
5700,0.17227355970916408,42
5700,0.26,14,33.33%
5700,0.17,28,66.67%
5800,0.17227355970916408,34
5800,0.26,12,35.29%
5800,0.17,22,64.71%
5900,0.21551072872800503,8
5900,0.17,2,25.00%
5900,0.22,4,50.00%
6000,0.0671954061158567,359
6000,0.17,93,25.91%
6000,0.07,213,59.33%
6100,0.17268228485962306,602
6100,0.17,302,50.17%
6100,0.21,297,49.34%
6200,0.18180426116885923,369
6200,0.21,184,49.86%
6200,0.17,184,49.86%
6300,0.2149969344370285,102
6300,0.17,48,47.06%
6300,0.21,52,50.98%
6400,0.17268228485962306,58
