evolution rate,length lived,species population time,population
0.138383,59,239,4
0.321856,74,150,2
0.380866,100,191,1
0.129311,127,380,2
0.269646,1595,1058433,663
0.133289,301,23723,78
0.331202,73,90,1
0.358554,84,204,2
0.26888,106,528,4
0.396261,324,4668,14
0.242328,89,128,1
0.347908,84,110,1
0.11811,116,117,1
0.277859,83,94,1
0.353195,70,102,1
0.067941,386,5663,14
0.191356,4001,2060768,515
0.180569,1853,175782,94
0.166667,55,145,2
0.26,58,139,2
0.201667,59,141,2
0.306667,59,98,1
0.155,61,148,2
0.225,61,145,2
0.388333,62,139,2
0.271667,63,147,2
0.318333,63,139,2
0.213333,64,156,2
0.283333,66,145,2
0.365,73,155,2
0.33,84,179,2
0.295,88,144,1
0.376667,89,273,3
0.143333,90,163,1
0.178333,93,229,2
0.12,98,332,3
0.236667,99,197,1
0.353333,109,217,1
0.073333,110,1271,11
0.19,135,575,4
0.248333,135,799,5
0.108333,143,256,1
0.341667,145,4183,28
0.131667,148,959,6
0.085,262,2383,9
0.05,498,47296,94
0.239832,107,115,1
0.199728,188,385,2
0.196917,87,148,1
0.061667,998,64718,64
0.328514,84,94,1
0.374384,76,97,1
0.393448,118,262,2
0.190226,298,5588,18
0.072842,83,203,2
0.258382,117,191,1
0.115109,119,455,3
0.096667,1498,69558,46
0.200867,130,496,3
0.277371,136,725,5
0.326337,336,17578,52
0.07747,363,42548,117
0.05022,162,234,1
0.232337,575,34604,60
0.366711,77,147,1
0.257834,208,1269,6
0.179772,215,1000,4
0.342502,62,92,1
0.292321,79,90,1
0.381399,83,92,1
0.247585,73,90,1
0.126048,500,29557,59
0.365359,276,12372,44
0.152105,127,2982,23
0.299631,85,134,1
0.285653,88,211,2
0.310835,97,152,1
0.304542,139,1836,13
0.26979,44,85,1
0.23946,64,98,1
0.376173,73,103,1
0.17564,79,144,1
0.156274,420,6532,15
0.173817,82,193,2
0.246454,74,196,2
0.07753,401,7610,18
0.318067,2,3,1
0.336735,121,283,2
0.272467,91,307,3
0.274969,166,1212,7
0.130763,154,2694,17
0.231458,159,341,2
0.146832,333,6299,18
0.302121,92,102,1
0.18585,560,6323,11
0.152582,85,132,1
0.22145,65,100,1
0.093917,327,10221,31
0.127256,499,29076,58
0.19767,78,128,1
