evolution rate,length lived,species population time,population
0.19,67,170,2
0.353333,79,181,2
0.306667,101,399,3
0.365,114,1082,9
0.248333,123,810,6
0.318333,132,587,4
0.201667,136,1461,10
0.236667,175,912,5
0.131667,461,3935,8
0.073333,501,8588,17
0.108333,501,38922,77
0.367618,39,77,1
0.293799,91,312,3
0.249382,228,1682,7
0.2713,107,213,1
0.290446,134,418,3
0.339393,48,57,1
0.271331,145,973,6
0.058034,331,10226,30
0.156657,104,137,1
0.262207,99,190,1
0.383069,72,142,1
0.37863,123,312,2
0.382111,88,106,1
0.33966,8,12,1
0.272525,149,174,1
0.205977,73,108,1
0.303018,89,103,1
0.356393,131,365,2
0.153754,50,91,1
0.31005,2435,378233,155
0.13664,73,110,1
0.182945,65,159,2
0.267099,96,206,2
0.284705,3441,439447,127
0.258827,1020,44390,43
0.114374,235,1395,5
0.204463,157,651,4
0.108587,70,190,2
0.201147,94,114,1
0.365191,113,340,3
0.240222,441,3293,7
0.123552,57,749,13
0.351409,58,106,1
0.252846,107,197,1
0.244567,116,371,3
0.233487,3807,249805,65
0.3348,54,85,1
0.366651,77,154,2
0.137601,558,24892,44
0.277504,97,147,1
0.252467,208,691,3
0.246946,98,238,2
0.194364,49,63,1
0.196185,127,899,7
0.191123,51,92,1
0.182238,4001,278975,69
0.174245,2158,174139,80
0.085094,262,8652,33
0.295,56,146,2
0.05,57,292,5
0.061667,57,421,7
0.073333,57,369,6
0.085,57,9523,167
0.096667,57,1400,24
0.108333,57,372,6
0.155,57,399,7
0.283333,57,132,2
0.353333,60,146,2
0.26,61,140,2
0.365,64,166,2
0.271667,65,183,2
0.306667,66,148,2
0.33,66,187,2
0.318333,68,222,3
0.143333,70,496,7
0.201667,79,807,10
0.178333,80,196,2
0.388333,82,337,4
0.248333,84,154,1
0.213333,89,248,2
0.376667,91,431,4
0.131667,92,291,3
0.225,94,473,5
0.341667,105,531,5
0.166667,114,922,8
0.19,124,229,1
0.12,557,25680,46
0.236667,738,14425,19
0.273257,375,16020,42
0.354075,69,135,1
0.093401,932,34015,36
0.376341,145,564,3
0.17519,102,468,4
0.067594,499,33085,66
0.074425,262,5826,22
0.074789,499,129774,260
0.269749,742,47790,64
