evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.051,966.0,45213.0
0.052,925.0,89455.0
0.053,491.0,61395.0
0.054,856.5,23735.0
0.055,546.0,31899.0
0.056,1106.0,77292.0
0.06,864.3333333333334,58237.666666666664
0.061,744.0,4299.0
0.062,2135.0,65977.0
0.063,721.0,107716.5
0.065,925.0,120759.0
0.066,1134.0,86734.0
0.067,925.0,30994.0
0.068,714.5,32166.5
0.069,925.0,93326.0
0.07,1081.0,107927.0
0.072,645.3333333333334,76565.33333333333
0.073,628.0,63762.0
0.074,577.5,12579.5
0.075,94.0,423.0
0.078,102.5,198.5
0.079,3280.0,152579.0
0.08,345.0,15699.0
0.082,564.3333333333334,22813.0
0.083,925.0,104251.0
0.084,559.0,83028.0
0.085,723.0,67727.0
0.086,1851.0,85744.0
0.087,510.0,23727.0
0.088,1330.0,52815.5
0.089,1378.0,60337.0
0.092,140.0,296.0
0.095,674.0,9791.0
0.096,244.33333333333334,4054.6666666666665
0.097,628.0,52714.0
0.098,312.0,28438.0
0.099,430.0,17836.0
0.1,84.0,107.0
0.103,553.5,116087.0
0.107,247.0,4560.0
0.108,1554.0,97738.5
0.109,822.3333333333334,34666.0
0.11,301.0,1090.0
0.111,362.0,6505.0
0.114,390.0,15952.0
0.116,186.0,486.0
0.118,1186.0,82101.0
0.121,415.0,9059.0
0.122,620.6666666666666,22852.0
0.123,633.5,21240.0
0.124,924.0,141947.0
0.125,910.0,46552.333333333336
0.126,56.0,169.0
0.127,313.0,18012.333333333332
0.128,175.0,480.5
0.129,925.0,51118.0
0.131,1799.0,127444.0
0.132,180.5,4233.5
0.134,425.0,17697.0
0.136,889.0,215972.0
0.137,221.0,3143.0
0.139,213.0,1468.0
0.14,59.5,169.5
0.142,100.0,652.0
0.148,357.0,8281.0
0.15,151.0,892.0
0.152,86.0,262.0
0.156,49.0,92.0
0.157,979.6666666666666,63705.0
0.158,285.0,879.0
0.16,655.0,32247.0
