evolution rate,geometric mean length lived,geometric mean species population time
0.05,435.75720897988805,23535.09569870362
0.051,458.1062533397689,26495.980050591952
0.052,343.98151997976447,17371.57895400255
0.053,464.6455592453184,25067.89922660716
0.054,440.9301111308373,28407.80798109642
0.055,473.8145243861032,23405.765969764987
0.056,450.6832654901503,28132.97938328924
0.057,428.51757489303213,28121.115403252195
0.058,360.38577218399104,17069.09013345388
0.059,405.41670933307967,17210.070561012806
0.06,379.05380951666046,20545.23077280715
0.061,332.62544432332464,14317.463687652438
0.062,456.5010341485251,25000.01626488457
0.063,421.88060549003285,22199.336828352083
0.064,359.2639892106107,17861.584687235325
0.065,404.97508061570716,23336.889684849077
0.066,422.9547847045994,24308.781560295174
0.067,401.5676714851169,15972.525588114357
0.068,422.1917261834348,23273.297297665442
0.069,442.8895264553794,32354.20057681505
0.07,437.2281973548471,23447.674453230586
0.071,451.7770898319359,29255.62535441701
0.072,381.97638702932665,18282.948479581897
0.073,496.4893462634132,31057.263964242527
0.074,449.8767217949135,25149.039873841677
0.075,373.3380791622988,18476.013461563853
0.076,421.45196734559914,24339.621003677872
0.077,446.37688617555614,32515.2345337083
0.078,468.40350333052487,27520.714956054828
0.079,296.4432695213508,15468.234374695683
0.08,377.5250751483126,18134.188559395676
0.081,519.7750412078351,26434.395418558786
0.082,407.97228209745333,17679.941867965463
0.083,425.6539198575286,20024.26038111139
0.084,474.1114522033124,32397.02251426698
0.085,458.8341138134407,26981.21978412341
0.086,387.02580158950906,26712.29617779049
0.087,453.57667992132474,30074.942504260394
0.088,446.3899270760221,24898.823420680746
0.089,420.80827029346057,24476.72458061476
0.09,466.81714880585537,23409.56808298442
0.091,474.7255270062249,29325.112757171668
0.092,449.92084893713627,20399.741072332057
0.093,387.3506347352406,20474.81448065633
0.094,364.7922319495761,18288.012897680906
0.095,440.9520743174246,33280.191155050736
0.096,423.49580247121486,19176.712347961566
0.097,396.8688918282667,17442.699126149484
0.098,454.48912802872377,27896.914494081615
0.099,367.0674329254285,18930.758845260898
0.1,399.18301256340015,24881.13092902546
0.101,377.5518132735071,25159.57033212639
0.102,348.4116393463133,14098.189620418221
0.103,329.7322829050538,15064.567079682693
0.104,392.67744135915973,21141.903942362947
0.105,466.90836095236614,28475.634973779073
0.106,427.00429212033464,20330.30598005777
0.107,388.50734954115853,21952.415403192466
0.108,380.800474162898,19031.60661855144
0.109,317.7988488555391,9437.38813450549
0.11,382.56513161271954,15974.221091121217
0.111,308.4217981416692,12323.319169411261
0.112,328.0759377601256,13692.244341305133
0.113,388.4224261601584,16293.812016291526
0.114,314.083669331676,10054.419875384367
0.115,387.6344966862332,20415.862727379204
0.116,338.34443513650155,11570.214046742301
0.117,317.004490838334,10974.862577963482
0.118,340.338458315327,13563.70954217052
0.119,396.4418158176876,18519.126158492436
0.12,453.9942294901909,26943.691217252483
0.121,363.7041404625506,15176.944351404862
0.122,424.1882328847316,20416.847340147135
0.123,347.2790797978435,13266.227629467101
0.124,347.6736139356876,9841.435281075066
0.125,362.4131826552927,15523.825641903946
0.126,444.98249036891934,20906.707042290665
0.127,406.82100268018166,18229.334972526794
0.128,462.7414499711269,25427.900329662534
0.129,318.82071520025335,11542.622268809815
0.13,462.3827473852788,26521.740479409345
0.131,354.4028937833069,17361.32224341545
0.132,310.270502765445,11683.573860387747
0.133,338.19961509484597,19355.63253124
0.134,343.0745053493568,10828.847466836873
0.135,255.3212064361005,6769.146620514074
0.136,435.6956594291879,18514.6938369977
0.137,380.1175697539343,16797.320349868503
0.138,367.83647858397273,18538.651843790456
0.139,396.49583332774836,14772.231910424893
0.14,313.38042192325645,13045.299972680741
0.141,342.90762500262224,16402.006587344666
0.142,316.16175719217324,10583.44587507596
0.143,352.087443444573,18288.69689977665
0.144,348.751029973529,16046.725406565405
0.145,464.0333302034563,24724.020245451455
0.146,303.48832762653103,10768.795056266918
0.147,334.64827423014395,14313.370365748577
0.148,395.67808640048224,13060.077721497091
0.149,334.39245284518074,10553.560904155689
0.15,266.95067790415465,5349.622894891547
0.151,347.59822795097836,11127.263775756002
0.152,466.1309093562167,17233.40947481831
0.153,412.1354125969062,12143.118353964266
0.154,354.27759107953517,10534.848563153864
0.155,312.58213098682427,7503.549882891242
0.156,471.97086808885064,14777.618010377322
0.157,459.74763446258527,15102.593680861557
0.158,413.7067902347313,9809.945472252557
0.159,308.73943851841443,3840.8407873139963
0.16,483.2886133682984,13303.528227796192
0.161,413.71751482674125,9503.486770015827
0.162,472.34418813493767,11719.85190053218
0.163,524.5453999883798,20486.096552006602
0.164,295.3585514154511,2656.8010070684436
0.165,269.0499050612259,4214.595899549793
0.166,789.3683712777829,39694.70164950291
0.167,310.5919296542596,4586.446454326896
0.168,784.7872801516056,29966.136052074275
0.169,645.0733011371684,18203.64548943663
0.17,586.3348317335743,18648.70379900817
0.171,378.6666828774315,6432.785409620324
0.172,446.3055070116834,11479.410209633787
0.173,392.4046168385392,9490.46841855065
0.174,346.02457943320275,5623.468583029064
0.175,315.8538854187336,5603.584219805065
0.176,439.8239021429819,13267.921819468063
0.177,338.24629035334976,5291.835731067901
0.178,494.900769228368,9485.681954005231
0.179,354.86955885743356,6369.393371885688
0.18,249.79856545757698,3416.5009667458608
0.181,382.85875965724307,5577.565097553798
0.182,715.8743426596185,17400.165281731308
0.183,464.18938941917895,9331.947598948915
0.184,315.4543327483782,5074.377406826055
0.185,415.75585954064957,11282.339582365306
0.186,266.6526486267485,2507.4741126812155
0.187,353.0705526893533,6156.918949838029
0.188,275.46769088593595,2661.579290726522
0.189,393.14123320647514,4903.126486318829
0.19,394.2186528404922,7610.585358579145
0.191,245.52448554024946,2006.0237880541745
0.192,278.97893635487446,3459.0423513369237
0.193,562.9462341683075,11518.730075385167
0.194,317.00851433945047,2698.651662763001
0.195,271.3564249775433,2962.2269806303498
0.196,342.5542789166206,4889.991083046917
0.197,323.923376790985,5911.326783331723
0.198,263.0508416042851,2647.815427551937
0.199,334.1055170201776,4465.597975059655
0.2,254.69677110627146,3527.9767887292815
0.201,284.5754188037478,2441.227100866052
0.202,335.326713502899,4942.780307365565
0.203,254.0355153249659,2020.2284563022502
0.204,334.3240531824237,6215.569346126893
0.205,381.7828198148461,5514.883635615968
0.206,418.98073182657225,7141.954420467316
0.207,406.54796878445757,5504.949727577607
0.208,236.4850975709533,2498.6654711787737
0.209,440.87366539570826,9312.17799018768
0.21,493.1090010629156,10757.07709272558
0.211,232.16802846962216,2147.346962452644
0.212,537.3193038110471,13418.879681212386
0.213,931.4437213184517,32314.783847435956
0.214,174.42561045000758,1144.6392940845526
0.215,523.5170094428366,12700.419490452976
0.216,450.631991248582,13922.092553937106
0.217,233.46753800848492,2272.67315415327
0.218,448.55124357260195,10192.083082062545
0.219,239.33296029430244,1801.8751199690944
0.22,389.7871921981231,6952.169829785061
0.221,315.87895327740995,5831.881231176111
0.222,701.5807244135779,26335.66492381745
0.223,270.01184974621435,1734.8998285015175
0.224,352.8438611196367,5239.64326015493
0.225,193.45015553300146,1035.2302293635776
0.226,223.69669458382876,2041.9142166901217
0.227,431.10633114595345,6106.4896837782
0.228,324.0201665937124,3938.718453737661
0.229,343.39581176174863,4139.047463893732
0.23,617.2738409602407,14887.745621574053
0.231,213.63397369214553,2086.77097629365
0.232,439.90048964582036,9942.766943214361
0.233,279.4633624776017,3073.370091408103
0.234,564.1613574504805,12854.283384129758
0.235,206.32498608846407,1735.062771817616
0.236,251.89617304217307,2635.9237986682065
0.237,163.26068238071315,1356.643212236985
0.238,216.13450221352096,1706.3818290241145
0.239,212.77860275802166,1760.2574379871353
0.24,202.71969507439152,1756.0704851117173
0.241,154.6519722729003,865.6440402564224
0.242,174.8146624615218,647.3655802862837
0.243,368.5222513444634,7821.8980143771305
0.244,468.77486882803225,6574.244459063286
0.245,260.7557224503253,2556.013816218769
0.246,222.35422625591582,1881.162963077904
0.247,199.08367791838913,1086.1466682395103
0.248,210.68270124035132,1501.9466559931975
0.249,261.43149514930764,3582.072542957653
0.25,165.89758865762582,864.5504757561961
0.251,370.07663280799557,7615.703741130585
0.252,421.6733673859706,9223.20145642826
0.253,231.21623177245655,2319.989926864873
0.254,202.98624246376608,1643.658174348475
0.255,345.76006583666083,3352.4455602412445
0.256,291.64372213039366,3619.159298893723
0.257,346.39390061126727,5107.199342869284
0.258,272.72584395440504,3114.150005935433
0.259,313.2300537022429,3401.0336991062495
0.26,194.5690508705195,1368.592363340234
0.261,399.5488659116634,6415.739526698192
0.262,371.1739357207068,5620.94971010544
0.263,275.12543910324945,2559.354245139216
0.264,342.39805044515293,5087.737226532874
0.265,331.2582414506017,5556.593872336754
0.266,492.22011999523676,11706.193020075794
0.267,251.53088864620324,2861.0727559931834
0.268,151.14955731273324,941.7162148685636
0.269,192.07743169887627,886.5383506663159
0.27,222.04755072676724,1525.0839908850128
0.271,371.2507494414058,6252.038756673685
0.272,261.56460326883195,4025.7798663157614
0.273,219.2414667059054,1943.32375736413
0.274,178.63183917422046,942.1220939373793
