evolution rate,geometric mean length lived,geometric mean species population time
0.05,305.0748773090116,9549.711399246757
0.06,299.5439164272837,10070.075466095685
0.07,307.9866504086065,10177.997260552233
0.08,290.1452188128774,9101.505499750247
0.09,292.2402367092333,8689.070000119673
0.1,266.65237514182655,7062.731684760452
0.11,231.08224582573445,4460.022690592605
0.12,219.27205370725264,4198.6257342032895
0.13,231.0364453051986,4295.822687863354
0.14,202.0161756080261,3089.518086942739
0.15,213.71567632696,2905.9136699402507
0.16,293.3845188502124,4374.298047637653
0.17,328.0639251490372,4430.197418817025
0.18,324.5094195056047,3990.2002301523444
0.19,320.8843477915754,4439.577338938039
0.2,289.82286601268714,3301.674124781517
0.21,294.4507481458917,3393.410624984489
0.22,289.46887384577747,3186.2500909393025
0.23,286.4991750327486,3204.840288325761
0.24,244.2218003486639,2485.4289108633297
0.25,232.6411762747389,2185.618048041523
0.26,239.3451902617101,2442.3048840995334
0.27,224.35107723258355,1982.5415977024509
0.28,198.46948540494347,1691.12565114608
0.29,202.74182844510108,1744.8985350507132
0.3,185.31252658015066,1300.078126058329
0.31,186.1988324555841,1442.2645042367405
0.32,174.84055660168866,1185.6752867179307
0.33,197.30008972400302,1592.5546194143808
0.34,166.87388386515124,1158.3989366670303
0.35,159.8889367677679,1009.8400008557762
0.36,143.49614528481467,798.431913078254
0.37,138.1979728074201,705.2619205366294
0.38,150.19581165297825,918.4852385154269
0.39,153.0891267657964,883.942168324308
0.4,152.26305995510148,812.8649708854917
