evo rate,enviormentChangeRate,fitness
0.05,0.1,257.3157894736842
0.051,0.1,160.66666666666666
0.052,0.1,202.2
0.053,0.1,146.02564102564102
0.054,0.1,132.6153846153846
0.055,0.1,158.6904761904762
0.056,0.1,152.21052631578948
0.057,0.1,229.12121212121212
0.058,0.1,114.25
0.059,0.1,220.875
0.06,0.1,122.97826086956522
0.061,0.1,217.30769230769232
0.062,0.1,154.6595744680851
0.063,0.1,175.94
0.064,0.1,152.71052631578948
0.065,0.1,202.35714285714286
0.066,0.1,142.72881355932202
0.067,0.1,103.84782608695652
0.068,0.1,130.575
0.069,0.1,236.86666666666667
0.07,0.1,169.52830188679246
0.071,0.1,119.46153846153847
0.072,0.1,151.01818181818183
0.073,0.1,134.5068493150685
0.074,0.1,111.36363636363636
0.075,0.1,139.53191489361703
0.076,0.1,168.5909090909091
0.077,0.1,131.54166666666666
0.078,0.1,182.4375
0.079,0.1,138.01694915254237
0.08,0.1,177.95744680851064
0.081,0.1,125.36363636363636
0.082,0.1,132.07462686567163
0.083,0.1,148.53225806451613
0.084,0.1,129.26415094339623
0.085,0.1,144.3684210526316
0.086,0.1,130.24489795918367
0.087,0.1,241.49122807017545
0.088,0.1,181.54166666666666
0.089,0.1,134.5151515151515
0.09,0.1,151.7058823529412
0.091,0.1,172.37209302325581
0.092,0.1,166.48837209302326
0.093,0.1,125.33333333333333
0.094,0.1,161.69387755102042
0.095,0.1,167.1875
0.096,0.1,168.52083333333334
0.097,0.1,145.58333333333334
0.098,0.1,124.65789473684211
0.099,0.1,169.58139534883722
0.1,0.1,162.8125
0.101,0.1,126.47727272727273
0.102,0.1,130.62264150943398
0.103,0.1,139.29850746268656
0.104,0.1,109.49090909090908
0.105,0.1,137.89285714285714
0.106,0.1,150.13114754098362
0.107,0.1,128.47368421052633
0.108,0.1,141.08510638297872
0.109,0.1,144.6530612244898
0.11,0.1,110.18181818181819
0.111,0.1,144.17307692307693
0.112,0.1,185.06451612903226
0.113,0.1,121.70588235294117
0.114,0.1,149.93333333333334
0.115,0.1,140.05
0.116,0.1,221.42857142857142
0.117,0.1,141.20833333333334
0.118,0.1,170.42857142857142
0.119,0.1,135.7
0.12,0.1,179.43478260869566
0.121,0.1,245.63636363636363
0.122,0.1,207.78947368421052
0.123,0.1,165.7058823529412
0.124,0.1,261.06666666666666
0.125,0.1,189.15384615384616
0.126,0.1,189.23333333333332
0.127,0.1,155.61111111111111
0.128,0.1,207.0
0.129,0.1,212.92857142857142
0.13,0.1,154.35714285714286
0.131,0.1,221.4
0.132,0.1,172.6875
0.133,0.1,154.94117647058823
0.134,0.1,337.92857142857144
0.135,0.1,136.93333333333334
0.136,0.1,247.125
0.137,0.1,171.03703703703704
0.138,0.1,192.1764705882353
0.139,0.1,187.48
0.14,0.1,225.69565217391303
0.141,0.1,180.69230769230768
0.142,0.1,199.68421052631578
0.143,0.1,146.96774193548387
0.144,0.1,226.28571428571428
0.145,0.1,116.26315789473684
0.146,0.1,207.86666666666667
0.147,0.1,175.625
0.148,0.1,159.35
0.149,0.1,229.0
0.15,0.1,160.23809523809524
0.151,0.1,153.77777777777777
0.152,0.1,178.94736842105263
0.153,0.1,224.0
0.154,0.1,173.25
0.155,0.1,204.36
0.156,0.1,154.76
0.157,0.1,182.2
0.158,0.1,191.28571428571428
0.159,0.1,335.85714285714283
0.16,0.1,297.6842105263158
0.161,0.1,203.6818181818182
0.162,0.1,214.0
0.163,0.1,373.06666666666666
0.164,0.1,244.09677419354838
0.165,0.1,232.83333333333334
0.166,0.1,203.33333333333334
0.167,0.1,212.16
0.168,0.1,187.56
0.169,0.1,161.6
0.17,0.1,157.19230769230768
0.171,0.1,221.25925925925927
0.172,0.1,235.7391304347826
0.173,0.1,176.42307692307693
0.174,0.1,205.17142857142858
0.175,0.1,169.0
0.176,0.1,189.08
0.177,0.1,219.08
0.178,0.1,156.66666666666666
0.179,0.1,231.63636363636363
0.18,0.1,215.625
0.181,0.1,209.35294117647058
0.182,0.1,277.08
0.183,0.1,183.14285714285714
0.184,0.1,210.52173913043478
0.185,0.1,238.85714285714286
0.186,0.1,181.22222222222223
0.187,0.1,250.04
0.188,0.1,306.72222222222223
0.189,0.1,165.52
0.19,0.1,210.23076923076923
0.191,0.1,306.45
0.192,0.1,229.95454545454547
0.193,0.1,282.22727272727275
0.194,0.1,210.65217391304347
0.195,0.1,254.5
0.196,0.1,138.5483870967742
0.197,0.1,256.57575757575756
0.198,0.1,221.35
0.199,0.1,209.3939393939394
0.2,0.1,182.625
0.201,0.1,187.73684210526315
0.202,0.1,205.52380952380952
0.203,0.1,229.58620689655172
0.204,0.1,289.11538461538464
0.205,0.1,239.5
0.206,0.1,285.61538461538464
0.207,0.1,327.0
0.208,0.1,197.56521739130434
0.209,0.1,262.38461538461536
0.21,0.1,239.93333333333334
0.211,0.1,428.36842105263156
0.212,0.1,281.30434782608694
0.213,0.1,256.5925925925926
0.214,0.1,269.45454545454544
0.215,0.1,247.58064516129033
0.216,0.1,231.0
0.217,0.1,159.0952380952381
0.218,0.1,247.8235294117647
0.219,0.1,427.88
0.22,0.1,368.11764705882354
0.221,0.1,225.95
0.222,0.1,243.20833333333334
0.223,0.1,216.1818181818182
0.224,0.1,232.8
0.225,0.1,287.2631578947368
0.226,0.1,206.4375
0.227,0.1,208.23809523809524
0.228,0.1,223.58823529411765
0.229,0.1,216.625
0.23,0.1,174.29166666666666
0.231,0.1,236.33333333333334
0.232,0.1,239.16
0.233,0.1,255.5
0.234,0.1,283.3703703703704
0.235,0.1,176.57142857142858
0.236,0.1,215.1904761904762
0.237,0.1,189.0
0.238,0.1,166.07692307692307
0.239,0.1,274.77777777777777
0.24,0.1,317.0
0.241,0.1,273.1
0.242,0.1,244.21052631578948
0.243,0.1,209.16666666666666
0.244,0.1,346.22222222222223
0.245,0.1,241.30769230769232
0.246,0.1,179.83333333333334
0.247,0.1,221.9047619047619
0.248,0.1,218.53846153846155
0.249,0.1,378.1923076923077
0.25,0.1,203.42105263157896
0.251,0.1,332.6111111111111
0.252,0.1,279.2
0.253,0.1,459.2857142857143
0.254,0.1,194.53571428571428
0.255,0.1,257.6
0.256,0.1,267.6470588235294
0.257,0.1,263.54545454545456
0.258,0.1,303.625
0.259,0.1,224.0
0.26,0.1,220.71428571428572
0.261,0.1,188.625
0.262,0.1,207.94117647058823
0.263,0.1,166.77272727272728
0.264,0.1,194.42105263157896
0.265,0.1,252.5
0.266,0.1,195.7
0.267,0.1,377.36842105263156
0.268,0.1,236.7058823529412
0.269,0.1,265.38461538461536
0.27,0.1,246.0
0.271,0.1,187.54545454545453
0.272,0.1,179.4
0.273,0.1,270.0
0.274,0.1,239.1875
0.275,0.1,173.21052631578948
0.276,0.1,230.95
0.277,0.1,346.42857142857144
0.278,0.1,250.11764705882354
0.279,0.1,316.57894736842104
0.28,0.1,216.94736842105263
0.281,0.1,189.66666666666666
0.282,0.1,187.53333333333333
0.283,0.1,113.07142857142857
0.284,0.1,166.9
0.285,0.1,162.83333333333334
0.286,0.1,501.44444444444446
0.287,0.1,191.375
0.288,0.1,246.57142857142858
0.289,0.1,343.125
0.29,0.1,253.33333333333334
0.291,0.1,256.6111111111111
0.292,0.1,158.44444444444446
0.293,0.1,449.1111111111111
0.294,0.1,160.5909090909091
0.295,0.1,213.68421052631578
0.296,0.1,294.53333333333336
0.297,0.1,207.66666666666666
0.298,0.1,310.76190476190476
0.299,0.1,225.6
0.3,0.1,284.42105263157896
0.301,0.1,233.5
0.302,0.1,219.54545454545453
0.303,0.1,243.68421052631578
0.304,0.1,262.75
0.305,0.1,370.29411764705884
0.306,0.1,174.80769230769232
0.307,0.1,219.94117647058823
0.308,0.1,156.0
0.309,0.1,373.4166666666667
0.31,0.1,242.2
0.311,0.1,172.05882352941177
0.312,0.1,225.22222222222223
0.313,0.1,243.52380952380952
0.314,0.1,149.0
0.315,0.1,362.0833333333333
0.316,0.1,217.11111111111111
0.317,0.1,254.13333333333333
0.318,0.1,230.88
0.319,0.1,254.0
0.32,0.1,325.06666666666666
0.321,0.1,191.88888888888889
0.322,0.1,250.92307692307693
0.323,0.1,230.58823529411765
0.324,0.1,253.0
0.325,0.1,253.75
0.326,0.1,293.25
0.327,0.1,172.16666666666666
0.328,0.1,190.125
0.329,0.1,198.94117647058823
0.33,0.1,189.21428571428572
0.331,0.1,314.85714285714283
0.332,0.1,216.5
0.333,0.1,177.1875
0.334,0.1,177.75
0.335,0.1,170.66666666666666
0.336,0.1,112.91666666666667
0.337,0.1,224.35
0.338,0.1,133.76923076923077
0.339,0.1,235.7
0.34,0.1,219.625
0.341,0.1,309.09090909090907
0.342,0.1,154.5625
0.343,0.1,219.9
0.344,0.1,264.09090909090907
0.345,0.1,278.0
0.346,0.1,228.22222222222223
0.347,0.1,272.0
0.348,0.1,357.3333333333333
0.349,0.1,242.7
0.35,0.1,266.125
0.351,0.1,198.66666666666666
0.352,0.1,226.07692307692307
0.353,0.1,214.11111111111111
0.354,0.1,199.0
0.355,0.1,313.92857142857144
0.356,0.1,320.1666666666667
0.357,0.1,576.2
0.358,0.1,211.26666666666668
0.359,0.1,117.5
0.36,0.1,271.875
0.361,0.1,217.85714285714286
0.362,0.1,242.8181818181818
0.363,0.1,346.125
0.364,0.1,284.14285714285717
0.365,0.1,142.42857142857142
0.366,0.1,140.14285714285714
0.367,0.1,421.7142857142857
0.368,0.1,190.22222222222223
0.369,0.1,321.38461538461536
0.37,0.1,348.0
0.371,0.1,255.66666666666666
0.372,0.1,172.36363636363637
0.373,0.1,329.0
0.374,0.1,250.75
0.375,0.1,257.22222222222223
0.376,0.1,101.0
0.377,0.1,457.6666666666667
0.378,0.1,189.75
0.379,0.1,212.25
0.38,0.1,167.85714285714286
0.381,0.1,269.875
0.382,0.1,286.57142857142856
0.383,0.1,184.0
0.384,0.1,346.1111111111111
0.385,0.1,338.6
0.386,0.1,242.8
0.387,0.1,156.88888888888889
0.388,0.1,173.0
0.389,0.1,156.83333333333334
0.39,0.1,65.0
0.391,0.1,85.0
0.392,0.1,343.42857142857144
0.393,0.1,307.0
0.394,0.1,222.25
0.395,0.1,81.66666666666667
0.396,0.1,92.75
0.397,0.1,268.3333333333333
0.398,0.1,153.75
0.399,0.1,190.77777777777777
0.05,0.11,300.8095238095238
0.051,0.11,166.23684210526315
0.052,0.11,129.64
0.053,0.11,146.6086956521739
0.054,0.11,155.3421052631579
0.055,0.11,227.1904761904762
0.056,0.11,158.47058823529412
0.057,0.11,186.17241379310346
0.058,0.11,171.58333333333334
0.059,0.11,184.70967741935485
0.06,0.11,202.4
0.061,0.11,193.82926829268294
0.062,0.11,145.76315789473685
0.063,0.11,161.90196078431373
0.064,0.11,244.575
0.065,0.11,166.79545454545453
0.066,0.11,171.3877551020408
0.067,0.11,144.79545454545453
0.068,0.11,150.76923076923077
0.069,0.11,205.3
0.07,0.11,207.3
0.071,0.11,153.48333333333332
0.072,0.11,149.03636363636363
0.073,0.11,144.77586206896552
0.074,0.11,148.43103448275863
0.075,0.11,151.03389830508473
0.076,0.11,139.64150943396226
0.077,0.11,169.80701754385964
0.078,0.11,154.97916666666666
0.079,0.11,134.5818181818182
0.08,0.11,154.9433962264151
0.081,0.11,136.47619047619048
0.082,0.11,146.0
0.083,0.11,182.43859649122808
0.084,0.11,141.8695652173913
0.085,0.11,175.80392156862746
0.086,0.11,158.10526315789474
0.087,0.11,156.0754716981132
0.088,0.11,214.53191489361703
0.089,0.11,130.03125
0.09,0.11,166.41463414634146
0.091,0.11,179.91489361702128
0.092,0.11,145.07692307692307
0.093,0.11,160.65217391304347
0.094,0.11,213.1764705882353
0.095,0.11,173.67307692307693
0.096,0.11,204.625
0.097,0.11,156.54166666666666
0.098,0.11,191.9375
0.099,0.11,159.2941176470588
0.1,0.11,191.13953488372093
0.101,0.11,172.06521739130434
0.102,0.11,157.48387096774192
0.103,0.11,150.92592592592592
0.104,0.11,161.21311475409837
0.105,0.11,114.60317460317461
