evolution rate,geometric mean length lived,geometric mean species population time
0.05,235.0,3547.0
0.05,242.0,8458.000000000002
0.05,601.0,16951.000000000004
0.05,391.99999999999994,37410.00000000001
0.05,1000.0000000000002,16561.000000000007
0.05,73.0,1094.9999999999998
0.05,114.99999999999999,1230.9999999999998
0.05,92.0,1885.0000000000005
0.05,200.99999999999997,6139.999999999997
0.05,667.9999999999999,37822.0
0.05,508.0000000000001,10454.000000000005
0.05,124.0,3029.0000000000005
0.05,87.0,1791.9999999999998
0.05,547.0,35539.99999999998
0.05,82.0,96.0
0.05,126.8122134274801,1410.9813720268405
0.05,551.0,35216.0
0.05,445.0,2975.0
0.05,76.19055059520177,1248.7754001420751
0.05,127.0,1468.9999999999998
0.05,246.0,6386.999999999997
0.05,552.0,40672.99999999999
0.05,337.99999999999994,27656.0
0.05,299.0,15368.000000000004
0.05,329.2658500361068,2759.7786143094886
0.05,258.0,3850.000000000001
0.05,455.99999999999994,18266.000000000004
0.05,97.0,101.0
0.05,188.79967202854067,899.3906987063466
0.05,605.0,19864.000000000007
0.05,933.0000000000002,57636.000000000015
0.05,327.00000000000006,19827.999999999996
0.05,552.9999999999999,38083.99999999999
0.05,946.0000000000002,42360.0
0.051,178.0,561.0
0.051,328.0,88056.99999999997
0.051,328.0,11295.999999999998
0.051,298.0,4452.999999999999
0.051,281.0,571.0
0.051,107.0,158.0
0.051,69.0,90.0
0.051,354.0,1230.0000000000002
0.051,328.0,52922.99999999998
0.051,573.0,2214.9999999999995
0.051,250.2958249751681,1966.0513726756992
0.051,175.0,322.99999999999994
0.051,557.0,2979.0000000000005
0.051,121.0,990.0
0.051,100.0,191.0
0.051,172.0,290.0
0.052,328.0,7540.999999999998
0.052,182.0,386.0
0.052,198.0,374.0
0.052,76.0,85.0
0.052,142.0,165.0
0.052,288.0,2654.0000000000005
0.052,397.00000000000006,1144.0
0.052,350.0,2588.0000000000005
0.052,271.0,2133.0
0.052,86.0,92.0
0.052,79.0,100.0
0.052,328.0,573.0
0.052,231.99999999999997,1170.0
0.052,111.00000000000001,195.0
0.052,328.0,78930.99999999996
0.052,90.0,150.0
0.052,132.0,453.9999999999999
0.052,266.0,4918.0
0.052,204.99999999999997,243.00000000000003
0.053,558.0,34683.00000000001
0.053,225.20657184016636,1724.385107799299
0.053,362.0,36272.0
0.053,354.0,3361.0000000000005
0.053,657.0,35187.999999999985
0.053,86.0,94.0
0.053,96.0,97.0
0.053,122.96340919151518,143.0314650697531
0.053,196.0,217.0
0.053,228.47319317591723,478.96555199721826
0.053,98.0,229.0
0.053,328.0,1793.9999999999998
0.054,249.00000000000003,1597.0000000000002
0.054,327.00000000000006,24899.999999999993
0.054,166.0,186.0
0.054,295.9324247188875,2983.5934709675175
0.054,182.6307750626931,1287.571357245881
0.054,328.0,7606.000000000003
0.054,578.0,21864.0
0.054,328.0,1691.0
0.054,85.0,96.0
0.054,305.0,403.0
0.054,120.0,165.0
0.055,84.0,104.0
0.055,274.0,1340.0
0.055,98.0,198.0
0.055,328.0,17165.999999999993
0.055,131.0,164.0
0.055,92.0,141.0
0.055,461.3762022471467,6609.0926003499135
0.055,328.0,46445.000000000015
0.055,238.0,4995.0
0.055,192.0,632.0
0.055,158.0,421.0
0.055,328.0,6459.000000000002
0.055,396.4038344920492,6250.984962387927
0.055,212.0,558.0
0.055,80.0,89.0
0.055,409.99999999999994,6998.999999999999
0.055,327.00000000000006,2012.0000000000005
0.055,81.0,87.0
0.056,425.0,1534.9999999999998
0.056,90.0,224.00000000000003
0.056,87.0,91.0
0.056,187.0,208.0
0.056,331.99999999999994,11310.000000000002
0.056,469.00000000000006,1412.0
0.056,223.0,2009.0
0.056,76.0,90.0
0.056,312.00000000000006,437.0
0.056,89.0,100.0
0.056,229.0,7207.999999999997
0.056,328.0,2081.0
0.056,105.0,112.99999999999999
0.057,142.0,150.0
0.057,320.0,1319.0
0.057,87.0,107.0
0.057,81.0,83.0
0.057,169.95293466133498,511.69522178734485
0.057,137.0,162.0
0.057,328.0,21892.999999999993
0.057,327.00000000000006,23263.999999999996
0.057,96.0,105.0
0.057,479.0,948.0
0.057,275.0,330.0
0.057,328.0,33430.00000000001
0.057,243.00000000000003,2881.9999999999995
0.057,200.0,362.0
0.057,273.0,933.9999999999998
0.057,328.0,10962.000000000005
0.058,105.0,141.0
0.058,88.0,108.0
0.058,328.0,17984.999999999996
0.058,104.0,110.00000000000001
0.058,100.0,185.0
0.058,140.0,212.0
0.058,348.36762191684807,4424.234171017624
0.058,329.0,63802.99999999997
0.058,174.0,463.0
0.058,465.00000000000006,8730.999999999998
0.058,244.12291985800923,1453.3826061983814
0.058,204.0,249.00000000000003
0.058,389.99999999999994,1040.0
0.058,152.0,311.0
0.058,98.0,112.99999999999999
0.058,65.0,72.0
0.058,82.0,96.0
0.058,611.0,23243.999999999993
0.059,117.0,147.0
0.059,108.0,144.0
0.059,101.0,113.99999999999999
0.059,218.00000000000003,896.9999999999999
0.059,109.00000000000001,112.99999999999999
0.059,150.0,746.0
0.059,204.99999999999997,252.99999999999997
0.059,328.0,4749.999999999999
0.059,157.0,1619.0000000000005
0.059,127.0,142.0
0.059,262.0,1215.9999999999998
0.059,532.0,18630.0
