evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2531.5,158273.0
0.062,3552.75,228694.0
0.073,3430.6,241761.6
0.078,69.0,89.0
0.081,90.0,91.0
0.085,3045.5,193010.5
0.102,238.0,520.0
0.108,4001.0,285028.0
0.132,2064.5,141566.0
0.143,4001.0,295247.0
0.155,4001.0,296450.0
0.167,2172.0,106322.5
0.173,102.0,104.0
0.175,353.0,929.0
0.178,3966.6666666666665,186646.66666666666
0.187,104.0,172.0
0.19,2354.0,50282.0
0.202,4001.0,247362.0
0.213,2863.5,160167.5
0.234,276.0,495.0
0.237,1719.0,46206.666666666664
0.248,1954.5,50255.5
0.272,3223.5,184499.0
0.295,2128.3333333333335,49191.333333333336
0.301,74.0,88.0
0.307,490.0,5385.0
0.309,364.0,1496.0
0.33,3273.0,147108.0
0.35,101.0,110.0
0.392,94.0,109.0
