evolution rate,length lived,species population time,population
0.213333,68,99,1
0.16465,98,103,1
0.314413,98,106,1
0.131667,4001,274955,68
0.085,1625,99747,61
0.201667,4001,206978,51
0.073333,1178,70581,59
0.131667,4001,253035,63
0.201667,1418,36509,25
0.05,4001,271267,67
0.166667,4001,284337,71
0.088819,216,281,1
0.166562,155,401,2
0.05,4001,287980,71
0.213333,1005,10716,10
0.143333,4001,320058,79
0.178333,4001,278427,69
0.085,4001,291539,72
0.33,2471,59414,24
0.236667,4001,289479,72
0.369189,88,104,1
0.12,4001,266777,66
0.12,4001,292519,73
0.096667,4001,289049,72
0.225,1228,27657,22
0.213333,4001,301236,75
0.127167,203,450,2
0.178333,4001,286701,71
0.225,1069,15571,14
0.166667,4001,238436,59
0.225,4001,279081,69
0.073333,4001,285559,71
0.064064,475,3034,6
0.073333,4001,275126,68
0.178333,4001,300039,74
0.225,1928,73926,38
0.143333,4001,232973,58
0.240679,1123,46578,41
0.131667,4001,253826,63
0.264787,180,480,2
0.085,4001,261453,65
0.061667,4001,284643,71
0.155,4001,221298,55
0.255318,609,11110,18
0.131667,4001,285182,71
0.166667,1018,21926,21
0.096667,4001,279255,69
0.166667,1164,54920,47
0.123749,609,4327,7
0.143333,4001,257228,64
0.12,1651,129686,78
0.207345,85,94,1
0.180855,102,203,1
0.295,1309,10117,7
0.143333,4001,180081,45
0.05,1421,60363,42
0.178333,4001,240376,60
0.288616,120,234,1
0.108333,4001,294979,73
0.12,4001,302118,75
0.073333,1072,75719,70
0.131667,4001,239179,59
0.05,1047,66483,63
0.085,4001,255488,63
0.266845,190,301,1
0.131667,4001,323129,80
0.06108,96,104,1
0.096667,4001,271827,67
0.058634,772,35254,45
0.26,4001,273435,68
0.360019,71,125,1
0.05,4001,285910,71
0.143333,1013,46724,46
0.166667,4001,266551,66
0.155,4001,277814,69
0.271667,1270,33225,26
0.306667,4001,309224,77
0.365,1539,35381,22
0.166667,4001,284873,71
0.096667,1810,76299,42
0.131667,4001,284773,71
0.096667,4001,277561,69
0.088407,111,113,1
0.33,68,644,9
0.178333,4001,258264,64
0.131667,4001,312873,78
0.166667,1006,28227,28
0.321562,137,189,1
0.155,4001,284035,70
0.085,4001,282984,70
0.388333,1766,52952,29
0.19,4001,295369,73
0.311181,609,15879,26
0.131667,4001,264013,65
0.201667,1156,26789,23
0.061667,4001,262505,65
0.201667,1276,13345,10
0.096667,4001,265672,66
0.155,1107,16831,15
0.12,4001,284261,71
0.225,2050,49244,24
0.096667,4001,253079,63
0.178333,1195,19494,16
0.246507,101,104,1
0.085,4001,276619,69
0.33,1304,24217,18
0.12,4001,293275,73
0.213333,1576,30373,19
0.085,4001,260359,65
0.365,1049,44223,42
0.225,4001,303552,75
0.329695,107,200,1
0.358009,89,103,1
0.108333,4001,282729,70
0.096667,4001,278905,69
0.19,1066,11203,10
0.213333,2649,110508,41
0.085,4001,179311,44
0.12,4001,305595,76
0.318333,1529,55967,36
0.143333,4001,282210,70
0.061667,4001,282006,70
0.059177,785,9330,11
0.12,4001,300103,75
0.347461,86,97,1
0.143333,4001,323089,80
0.213333,1017,8791,8
0.131667,4001,315987,78
0.061667,1482,118500,79
0.319361,80,238,2
0.136779,4001,278284,69
0.213333,4001,275991,68
0.248333,1757,85997,48
0.26,4001,246859,61
0.073333,1033,65544,63
0.201667,4001,253791,63
0.05,4001,255010,63
0.096667,4001,280192,70
0.073333,4001,295923,73
0.155,2492,74927,30
0.108333,4001,262766,65
0.085,1105,41679,37
0.201667,4001,273577,68
0.061667,2080,123076,59
0.086404,794,9914,12
0.388333,223,3453,15
0.306667,2079,70176,33
0.19,4001,302651,75
0.070923,101,107,1
0.12,4001,322534,80
0.073333,4001,268262,67
0.35986,105,250,2
0.12,4001,286330,71
0.26,4001,271529,67
0.377944,85,88,1
0.143333,4001,300179,75
0.190054,104,151,1
0.108333,202,2505,12
0.267808,81,92,1
0.167448,508,1976,3
0.085,4001,275843,68
0.085,1464,72296,49
0.12,4001,271506,67
0.108333,4001,284620,71
0.248333,1088,28888,26
0.05,4001,290615,72
0.26,1587,45524,28
0.178333,4001,276888,69
0.313012,390,1504,3
0.258486,458,6826,14
0.096667,4001,301706,75
0.201667,1358,25164,18
0.073333,4001,243311,60
0.196442,229,2286,9
0.124098,181,197,1
0.061667,4001,250311,62
0.388333,1600,80367,50
0.201667,4001,283687,70
0.283333,1076,19770,18
0.213333,2113,54996,26
0.12,4001,248307,62
0.373891,189,250,1
0.085,4001,301524,75
0.225,1093,18567,16
0.131667,4001,302034,75
0.166667,1225,17593,14
0.12,4001,251385,62
0.201667,1408,46780,33
0.12,4001,291272,72
0.225,1729,19093,11
0.085,4001,274417,68
0.271667,4001,283337,70
0.271667,1682,78256,46
0.085,4001,243764,60
0.225,1189,51692,43
0.166276,184,213,1
0.061667,4001,264352,66
0.148701,93,142,1
0.143333,4001,282668,70
0.194358,609,6994,11
0.061667,4001,321993,80
0.212709,331,636,1
0.073333,4001,287731,71
0.283333,1202,45280,37
0.108333,4001,240984,60
0.381729,299,633,2
0.155,4001,269881,67
0.110826,388,12516,32
0.096667,4001,269770,67
0.131667,4001,299827,74
0.166667,3367,99642,29
0.365,394,6317,16
0.131667,4001,270643,67
0.166667,4001,288612,72
0.271667,1545,27288,17
0.27995,98,111,1
