evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,2285.238019169329,137376.607028754
0.06,2355.6906565656564,146882.6654040404
0.07,2483.403575989783,159411.7343550447
0.08,223.2214765100671,4904.261744966443
0.09,2822.5089285714284,188118.3716517857
0.1,2844.788812785388,192518.8710045662
0.11,3055.5794701986756,210584.3101545254
0.12,3104.956043956044,215406.68241758243
0.13,2978.215843857635,205622.2904707233
0.14,2974.266594124048,200438.5321001088
0.15,176.8622754491018,1402.8562874251497
0.16,174.5121951219512,2479.012195121951
0.17,2769.5970819304152,178828.69023569024
0.18,2717.182382133995,170242.81637717123
0.19,2618.447222222222,163564.67222222223
0.2,2607.9973924380706,162275.12125162972
0.21,2336.433147632312,138971.9791086351
0.22,2247.7739130434784,133032.39855072464
0.23,186.0,2904.9305555555557
0.24,2096.1907600596123,119450.87630402384
0.25,1925.8452768729642,106658.84039087947
0.26,1858.412162162162,99068.6418918919
0.27,1747.2979890310787,92353.4899451554
0.28,1562.6186440677966,76980.48940677966
0.29,1370.0156862745098,63653.674509803925
0.3,166.1275167785235,941.8993288590603
0.31,1313.0536480686694,57257.592274678114
0.32,1220.8839662447258,51614.445147679326
0.33,1103.603626943005,44157.261658031086
0.34,967.3967828418231,36111.95978552279
0.35,636.5356037151703,18389.811145510837
0.36,591.516,18598.728
0.37,172.22758620689655,2358.6689655172413
0.38,470.7368421052632,15048.004048582996
0.39,337.92887029288704,7225.661087866109
0.4,162.91666666666666,1600.9722222222222
