evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,1373.3333333333333,80321.0
0.05,1838.1666666666667,119207.66666666667
0.05,2406.3333333333335,121122.33333333333
0.05,1066.1666666666667,63144.166666666664
0.05,2018.0,119808.0
0.05,708.5,41887.0
0.05,2631.0,156043.25
0.05,1245.8,64446.4
0.05,586.5,33635.5
0.05,1816.3333333333333,101430.77777777778
0.05,1702.3333333333333,100787.66666666667
0.05,1867.5,114124.83333333333
0.05,2401.0,151114.66666666666
0.05,470.5,36300.0
0.05,1389.5,70891.0
0.05,3776.0,178557.0
0.05,1602.5,72590.0
0.05,148.0,2449.0
0.05,417.0,27138.25
0.05,1787.3333333333333,102221.66666666667
0.05,2261.5,118405.5
0.05,1151.8,74579.2
0.05,33.0,586.0
0.05,1350.0,61220.0
0.05,2750.5,171452.0
0.05,1939.5,120327.16666666667
0.05,1286.3333333333333,73869.66666666667
0.05,2223.75,127122.25
0.05,2098.2,113185.4
0.05,1351.5,95634.75
0.05,595.6666666666666,23091.333333333332
0.05,1384.6,75098.6
0.05,622.6666666666666,36166.666666666664
0.05,893.6666666666666,46268.5
0.05,414.75,19883.25
0.05,2455.0,133886.5
0.05,890.625,53679.375
0.05,743.2,33608.2
0.05,1673.8,91268.6
0.05,1338.5,79679.25
0.05,1440.0,90621.0
0.05,2136.3333333333335,149468.66666666666
0.05,1700.0,87948.0
0.05,2101.3333333333335,143293.0
0.05,2563.0,155729.0
0.05,819.6666666666666,48229.5
0.05,844.4,45939.8
0.05,1012.4,55102.0
0.05,2032.6,114888.0
0.05,1516.5,83049.75
0.05,1651.6,101837.6
0.05,1570.2,92383.2
0.05,783.0,52792.5
0.05,1381.6666666666667,70875.66666666667
0.05,1433.3333333333333,67825.0
0.05,1522.6666666666667,81772.33333333333
0.05,1208.0,61638.5
0.05,1954.0,114558.0
0.05,2191.5,126837.75
0.05,2036.8333333333333,118663.66666666667
0.05,488.0,53718.0
0.05,1437.6,72384.2
0.05,2251.6666666666665,145872.33333333334
0.05,1405.4,64912.2
0.05,2646.0,152512.0
0.05,635.5,19243.5
0.05,1454.5,91929.0
0.05,729.5,36077.25
0.05,1178.4,54821.2
0.05,1680.4,92527.4
0.05,1698.7142857142858,98996.57142857143
0.05,2469.3333333333335,131089.66666666666
0.05,2020.0,122258.0
0.05,1003.75,65360.5
0.05,863.6,38774.2
0.05,2643.0,192056.0
0.05,2244.8333333333335,132789.33333333334
0.05,2261.1428571428573,127730.85714285714
0.05,2561.0,165364.5
0.05,1229.0,56071.0
0.05,1901.0,120705.0
0.05,1041.3333333333333,58355.666666666664
0.05,1277.0,60748.0
0.05,1055.3333333333333,66525.0
0.05,1475.0,90770.4
0.05,850.6666666666666,41138.333333333336
0.05,1869.0,97807.33333333333
0.05,942.3333333333334,47449.0
0.05,3982.5,269418.5
0.05,1176.2857142857142,69471.71428571429
0.05,1638.5,91730.0
0.05,2114.5,98068.0
0.05,1532.0,79005.0
0.051,275.0,708.0
0.051,234.0,566.0
0.051,161.0,1354.0
0.051,275.0,3445.0
0.051,167.0,1043.0
0.051,221.0,1660.0
0.051,106.0,237.0
0.051,225.0,357.0
0.051,222.0,1497.0
0.051,105.0,152.0
0.051,83.0,88.0
0.051,197.0,570.0
0.051,87.0,96.0
0.051,141.0,766.0
0.051,96.0,193.0
0.051,95.0,193.0
0.051,89.0,286.0
0.051,160.0,1210.0
0.051,100.0,101.0
0.051,183.0,417.0
0.051,86.0,112.0
0.052,351.0,2386.0
0.052,41.0,49.0
0.052,80.0,82.0
0.052,183.33333333333334,785.6666666666666
0.052,245.0,775.0
0.052,99.0,112.0
0.052,121.0,471.0
0.052,203.0,276.0
0.052,551.0,5208.0
0.052,91.0,101.0
0.052,61.0,91.0
0.052,173.0,570.0
0.052,380.5,12791.5
0.052,659.0,18130.0
0.052,82.0,95.0
0.052,233.0,1822.0
0.052,107.0,292.0
0.052,76.0,89.0
0.053,179.0,220.0
0.053,126.0,210.0
0.053,1249.0,59068.0
0.053,133.0,187.0
0.053,117.0,206.0
0.053,95.0,101.0
0.053,127.0,148.0
0.053,109.0,224.0
0.053,41.0,55.0
0.053,125.0,272.0
0.053,86.0,92.0
0.053,390.0,1717.0
0.053,100.0,109.0
0.053,100.5,244.0
0.053,264.0,603.0
0.053,212.0,238.0
0.053,92.0,107.0
0.053,107.0,134.0
0.053,121.0,213.0
0.054,79.0,164.5
0.054,79.0,92.0
0.054,77.5,192.5
0.054,275.0,1161.0
0.054,108.0,116.0
0.054,83.0,96.0
0.054,101.0,183.0
0.054,128.0,145.0
0.054,94.0,146.0
0.054,275.0,865.0
0.054,92.0,104.0
0.055,116.0,205.0
0.055,120.0,240.0
0.055,42.0,54.0
0.055,275.0,12334.0
0.055,85.0,90.0
0.055,112.0,211.0
0.055,129.5,351.5
0.055,97.0,106.0
0.055,86.0,88.0
0.055,76.0,102.0
0.055,153.5,250.0
0.055,169.0,650.0
0.055,68.0,87.0
0.055,159.0,284.0
0.055,99.0,103.0
0.055,110.0,203.0
0.055,77.0,86.0
