enviorment change rate,planned master run,master run,apex evolution rate,fitness,max species,fit sigma left,fit sigma right,fit r2
0.5,8503,8503,0.108,2166.3098269786815,288.0,0.0004136627833609784,0.00023365879277570641,0.11394785849389544
0.51,8504,8504,0.108,2216.8890010144487,84.0,0.0001954004629734787,0.0002817725712659871,0.060882482989580655
0.52,8505,8505,0.12,1743.6135784119315,373.0,0.0017425473928752374,0.0005049188390422026,0.07626619818428093
0.53,8506,8506,0.12,1307.7006388745547,286.0,0.0006511423881386525,3.5000000000000004e-05,0.05395204221337557
0.54,8507,8507,0.097,2208.312658027823,319.0,0.00019099661399836715,0.0003113260962782333,0.07002793778165706
0.55,8508,8508,0.108,2217.048532947021,266.0,0.00023569794918947432,0.00026477009957925386,0.07554104364897352
0.56,8509,8509,0.097,2008.9660589795196,310.0,0.0003352094968614828,0.00042553232047061544,0.06248863219738443
0.57,8510,8510,0.108,2062.4726959554982,325.0,0.00034293849251380187,0.0003193737032547013,0.06616903337503521
0.58,8511,8511,0.12,1378.4072639361605,293.0,0.0006613963887154986,3.5000000000000004e-05,0.05734344994658225
0.59,8512,8512,0.12,1901.5938893926389,297.0,0.0008762078552486048,0.00039323118723357203,0.07057637610779444
0.6,8513,8513,0.12,1769.7929180805745,362.0,0.0008762078552486048,0.0004455893115113537,0.05939968676115481
0.61,8514,8514,0.108,1893.4444095339295,315.0,0.0004403417407483004,0.00043653209502170687,0.052234888333212104
0.62,8515,8515,0.108,1827.647139729133,264.0,0.000772823822754309,0.00046468599629041144,0.05860321513043221
0.63,8516,8516,0.12,1338.097190984451,298.0,0.0016048306668205723,3.5000000000000004e-05,0.0629637487758472
0.64,8517,8517,0.108,1914.569599723593,277.0,0.0004136627833609784,0.0004100839524007249,0.05366851933838945
0.65,8518,8518,0.108,2072.788596913879,260.0,0.0003122490507498661,0.0003507633924897195,0.06099899540790488
0.66,8519,8519,0.108,1862.027206277388,297.0,0.000992325431038315,0.000494655668187868,0.06649309273058601
0.67,8520,8520,0.108,1898.7191376807655,360.0,0.00049897256234969,0.0003852382217354206,0.055314048811617056
0.68,8521,8521,0.108,1986.43786203581,330.0,0.00046874134305681034,0.0003193737032547013,0.06162200466281398
0.69,8522,8522,0.12,1838.9623316277912,287.0,0.0006410473611056961,0.0004455893115113537,0.05543157372533558
0.7,8523,8523,0.097,2367.707866947395,277.0,0.00010882659023803137,0.0002139710881798757,0.061901424022754226
0.71,8524,8524,0.108,1331.8130590529988,288.0,0.00036505612503058625,3.5000000000000004e-05,0.047983320635796356
0.72,8525,8525,0.108,1357.1554204794509,316.0,0.0002431798052372986,3.5000000000000004e-05,0.04521598961727802
0.73,8526,8526,0.305,1088.6456964671588,62.0,0.002051718759167658,3.4900000000000035e-05,0.021428070721625336
0.74,8527,8527,0.12,1779.0272462761643,369.0,0.0007264018255794907,0.0004455893115113537,0.051192510683357395
0.75,8528,8528,0.12,1303.251535451926,277.0,0.00011227102794892275,3.5000000000000004e-05,0.030063923871943565
0.76,8529,8529,0.108,1384.4631100869371,284.0,0.0001938798445066421,3.5000000000000004e-05,0.045414835443313595
0.77,8530,8530,0.12,1364.635204142929,300.0,0.0005314469284893278,3.5000000000000004e-05,0.05135399268182228
0.78,8531,8531,0.132,1298.5217253708784,265.0,0.0010042773694193873,3.5000000000000004e-05,0.04888565119047117
0.79,8532,8532,0.108,2064.006043041482,279.0,0.00020800271010525242,0.00030002382875658106,0.04824787405052067
0.8,8533,8533,0.12,1279.8348345308664,275.0,0.0007494602947369526,3.5000000000000004e-05,0.046326951174319175
0.81,8534,8534,0.12,1985.8584640691693,314.0,0.0003431279262537639,0.00032600010439328043,0.0491051077756165
0.82,8535,8535,0.12,1345.7011286084169,324.0,0.00012234602987822854,3.5000000000000004e-05,0.04046426522972302
0.83,8536,8536,0.12,1243.5941752147428,296.0,0.0003028093321092221,3.5000000000000004e-05,0.039862360386819784
0.84,8537,8537,0.132,1233.0717552886329,389.0,0.0016048306668205723,3.5000000000000004e-05,0.04790863674480539
0.85,8538,8538,0.132,1266.248288190386,275.0,0.0005002346786889865,3.5000000000000004e-05,0.0441328028299125
0.86,8539,8539,0.132,1323.359504496798,334.0,0.00017287647907322787,3.5000000000000004e-05,0.03917781247913643
0.87,8540,8540,0.12,2072.189219601166,296.0,0.00018366314397134839,0.0002876940823693247,0.04220951500777914
0.88,8541,8541,0.12,1309.374891256652,352.0,0.00013023667087597315,3.5000000000000004e-05,0.03622022759761612
0.89,8542,8542,0.108,1940.320366355216,315.0,0.00027555882012173704,0.0003618978177932884,0.04119752108373931
0.9,8543,8543,0.132,1297.937413178983,300.0,0.0006225521162303555,3.5000000000000004e-05,0.04279845378797964
0.91,8544,8544,0.132,1283.446121114206,342.0,0.0006033982012440403,3.5000000000000004e-05,0.04177076965306237
0.92,8545,8545,0.12,1321.2609929346168,325.0,0.00011858183826421486,3.5000000000000004e-05,0.034417043497832034
0.93,8546,8546,0.12,1291.5732067582683,280.0,0.0001242726995034888,3.5000000000000004e-05,0.03513209739743328
0.94,8547,8547,0.132,1234.2315389967591,325.0,0.0006225521162303555,3.5000000000000004e-05,0.04124514623610953
0.95,8548,8548,0.108,1342.7227801337776,284.0,4.863902095040599e-05,3.5000000000000004e-05,0.03229494406669364
0.96,8549,8549,0.132,1261.4205439142602,344.0,0.0002085288384715206,3.5000000000000004e-05,0.03647772141911032
0.97,8550,8550,0.12,1327.5450142746665,266.0,4.716859639146625e-05,3.5000000000000004e-05,0.03306506136915932
0.98,8551,8551,0.132,1279.4850431818943,263.0,0.00010162883924332064,3.5000000000000004e-05,0.03262181864392533
0.99,8552,8552,0.132,1266.8791110763764,409.0,0.00022902412461892196,3.5000000000000004e-05,0.032987224459140596
1.0,8553,8553,0.12,1320.0347465333562,252.0,0.00015226209428880686,3.5000000000000004e-05,0.04315402129105961
1.01,8554,8554,0.12,1285.9307729629663,295.0,0.00010967027238765506,3.5000000000000004e-05,0.03469646165396301
1.02,8555,8555,0.12,1270.4442729764746,289.0,8.743676448285261e-05,3.5000000000000004e-05,0.03126829592002556
1.03,8556,8556,0.12,1253.1502027517274,337.0,8.150002609831995e-05,3.5000000000000004e-05,0.029167734067936157
1.04,8557,8557,0.132,1226.5894908490982,312.0,0.00015988460650387086,3.5000000000000004e-05,0.03228786486865409
1.05,8558,8558,0.132,1255.7903350359875,298.0,0.0002895136209113681,3.5000000000000004e-05,0.03688778420310579
1.06,8559,8559,0.132,1250.9333455602978,278.0,0.0001000532301320446,3.5000000000000004e-05,0.03258734285916254
1.07,8560,8560,0.12,1225.6646735492948,307.0,0.0001364868592106215,3.5000000000000004e-05,0.03247115805199463
1.08,8561,8561,0.132,1231.6731193072194,261.0,0.00015988460650387086,3.5000000000000004e-05,0.03221908159233866
1.09,8562,8562,0.132,1225.7700099872097,378.0,0.00021514825436643665,3.5000000000000004e-05,0.03512551651966567
1.1,8563,8563,0.132,1237.6968116710552,281.0,7.671347256503296e-05,3.5000000000000004e-05,0.02775989997177053
1.11,8564,8564,0.132,1200.4494831328839,235.0,0.0001032292605877276,3.5000000000000004e-05,0.031203763566359233
1.12,8565,8565,0.12,1197.1488663390182,247.0,0.00010142842126282071,3.5000000000000004e-05,0.02945420022370715
1.13,8566,8566,0.12,1247.5618193240161,271.0,8.408711463794642e-05,3.5000000000000004e-05,0.03258001727034221
1.14,8567,8567,0.12,1907.5262638934985,284.0,0.00020811760747652323,0.0002538891365828465,0.03434465221432614
1.15,8568,8568,0.132,1215.606192806992,257.0,9.622025107825203e-05,3.5000000000000004e-05,0.03057470761828518
1.16,8569,8569,0.132,1913.458076156144,11.0,0.00020609666715247138,3.4900000000000035e-05,0.057154875332399935
1.17,8570,8570,0.132,1207.8044902642068,255.0,0.00010734144683893022,3.5000000000000004e-05,0.029453324328702513
1.18,8571,8571,0.132,2501.1302474788176,17.0,0.0003661033128057362,0.00026186551047989145,0.05828966477297648
1.19,8572,8572,0.387,1244.2727861541096,71.0,5.6698425719085464e-05,3.4900000000000035e-05,0.009258800239417053
1.2,8573,8573,0.132,1160.573892768029,261.0,0.00015988460650387086,3.5000000000000004e-05,0.030093356685634065
1.21,8574,8574,0.132,1156.4377338087827,259.0,0.00016625368516336023,3.5000000000000004e-05,0.03001740145328402
1.22,8575,8575,0.132,1209.8011725879196,253.0,5.974451250577441e-05,3.5000000000000004e-05,0.028407967962431058
1.23,8576,8576,0.132,1180.6193682722944,317.0,9.697491586068759e-05,3.5000000000000004e-05,0.028739557431913032
1.24,8577,8577,0.132,1190.3559469618694,269.0,5.525464148714617e-05,3.5000000000000004e-05,0.029731164923084474
1.25,8578,8578,0.12,1627.5228746020323,20.0,3.430000000000001e-05,3.430000000000001e-05,0.0328463777771455
1.26,8579,8579,0.132,1803.9850017578397,334.0,0.00021514825436643665,0.0002586808542545133,0.032689882807181214
1.27,8580,8580,0.132,1174.6723108851295,330.0,8.692775276645153e-05,3.5000000000000004e-05,0.031068308111543264
1.28,8581,8581,0.132,1736.7919526998985,340.0,0.00024379491161535574,0.00027536433598206774,0.03032872725464575
1.29,8582,8582,0.12,1196.1523992329462,404.0,7.42066182152635e-05,3.5000000000000004e-05,0.03146009699717256
1.3,8583,8583,0.132,1200.414491591313,286.0,5.355463488841747e-05,3.5000000000000004e-05,0.02783018986191066
1.31,8584,8584,0.12,2001.5301447716058,76.0,0.00014449656157426523,0.0002137234486220807,0.03262612617269811
1.32,8585,8585,0.143,3344.208298378953,4.0,0.00036916030880311475,0.0001385708235115699,0.18028333465833835
1.33,8586,8586,0.132,1840.1634997807168,309.0,0.00016755762897702667,0.00022828505263754512,0.03113078708980921
1.34,8587,8587,0.105,2351.5794282851216,47.0,7.565065972480579e-05,0.00024329945396946346,0.03153642608913931
1.35,8588,8588,0.132,1146.08876437445,340.0,7.792153397565982e-05,3.5000000000000004e-05,0.028867466035385814
1.36,8589,8589,0.116,2867.2801943557456,64.0,3.5000000000000004e-05,0.00010834007148132578,0.06217796740274173
1.37,8590,8590,0.12,1163.9914061111242,205.0,8.278346475912357e-05,3.5000000000000004e-05,0.028588671501783347
1.38,8591,8591,0.076,2452.5043207532667,148.0,4.688532076820449e-05,0.0001435754012744211,0.05027872205296691
1.39,8592,8592,0.132,1798.5825247387786,309.0,0.00018986766807486299,0.0002586808542545133,0.031737594678788006
1.4,8593,8593,0.12,1880.6917263732096,269.0,0.0001430370003462423,0.0002538891365828465,0.031846038268833365
1.41,8594,8594,0.12,1140.5431586173154,207.0,8.023648530964379e-05,3.5000000000000004e-05,0.029833508690828348
1.42,8595,8595,0.12,1873.100821278981,294.0,0.0001113973278778383,0.00023850677141236073,0.032191547954826816
1.43,8596,8596,0.12,1188.7837588516638,270.0,3.611101926246859e-05,3.5000000000000004e-05,0.029902691436327622
1.44,8597,8597,0.132,1835.2573306969534,363.0,0.00018986766807486299,0.00022828505263754512,0.03482126934191687
1.45,8598,8598,0.132,1174.7679182044049,309.0,6.664981998270719e-05,3.5000000000000004e-05,0.031221010491948253
1.46,8599,8599,0.132,1143.129156127843,437.0,4.7261799408077326e-05,3.5000000000000004e-05,0.02997424233123569
1.47,8600,8600,0.132,1174.8701271492107,284.0,7.671347256503296e-05,3.5000000000000004e-05,0.03169063907321035
1.48,8601,8601,0.132,1806.4156469123432,272.0,0.00014786908857664487,0.0002586808542545133,0.0307938567759235
1.49,8602,8602,0.12,1147.6858023511916,220.0,4.981996665237221e-05,3.5000000000000004e-05,0.02976373765104079
1.5,8603,8603,0.12,1819.4471090460786,281.0,0.00012622970976055052,0.0002538891365828465,0.03116201405237029
1.51,8604,8604,0.132,1128.2934113379515,271.0,5.4397997672106625e-05,3.5000000000000004e-05,0.02959743168484752
1.52,8605,8605,0.12,1144.4870508812533,255.0,5.1001413114685474e-05,3.5000000000000004e-05,0.03039534270871347
1.53,8606,8606,0.132,1164.6784101690266,137.0,3.753348979695057e-05,3.5000000000000004e-05,0.028180593380187968
1.54,8607,8607,0.132,1799.1459356388073,145.0,0.00018986766807486299,0.00024300817358643864,0.0337052695607758
1.55,8608,8608,0.12,1142.308241095022,322.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030145009554827018
1.56,8609,8609,0.132,1153.0921162647999,190.0,3.6807526388374283e-05,3.5000000000000004e-05,0.028986476418540574
1.57,8610,8610,0.154,2624.8294576086596,113.0,5.735550489533891e-05,6.790017339253427e-05,0.05058908554176256
1.58,8611,8611,0.132,1159.3857549222896,266.0,3.5000000000000004e-05,3.5000000000000004e-05,0.031052683374050427
1.59,8612,8612,0.132,1141.6169187663047,255.0,4.303235805851917e-05,3.5000000000000004e-05,0.03085957159783892
1.6,8613,8613,0.132,1149.3948920024636,300.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02974895876337491
1.61,8614,8614,0.123,3712.2007916176944,4.0,3.3800000000000015e-05,5.4291889140988e-05,0.27036111869913426
1.62,8615,8615,0.132,1147.3216719152867,184.0,4.509752404088602e-05,3.5000000000000004e-05,0.029132198861681724
1.63,8616,8616,0.12,1934.2146474461338,62.0,8.386335308112835e-05,0.00023953907634438945,0.03770643306573418
1.64,8617,8617,0.143,1129.8827622939507,48.0,4.200645258627298e-05,3.5000000000000004e-05,0.028997128533040595
1.65,8618,8618,0.132,1145.8749958665219,272.0,4.652907312371645e-05,3.5000000000000004e-05,0.03150791686899623
1.66,8619,8619,0.355,797.3582618394277,47.0,0.005689618779011593,3.5000000000000004e-05,0.016841448408242088
1.67,8620,8620,0.12,1844.6617833316964,69.0,7.429748346205767e-05,0.0002876334194104694,0.02945369807919529
1.68,8621,8621,0.132,1742.2622701471598,252.0,0.00015740582543507262,0.0002931238098365069,0.032594650923604584
1.69,8622,8622,0.143,1110.4615996512357,320.0,7.212910163076266e-05,3.5000000000000004e-05,0.0298902704846703
1.7,8623,8623,0.132,1148.5669331817824,302.0,3.70962113957672e-05,3.5000000000000004e-05,0.03159720439209901
1.71,8624,8624,0.132,1151.201979121585,294.0,3.5000000000000004e-05,3.5000000000000004e-05,0.03075587334920582
1.72,8625,8625,0.132,1153.8675084765396,248.0,3.5274508402225675e-05,3.5000000000000004e-05,0.030771348892556616
1.73,8626,8626,0.143,1140.6674598194293,322.0,4.478597765146942e-05,3.5000000000000004e-05,0.029191460650362044
1.74,8627,8627,0.12,1153.9613106723723,278.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030871452320418102
1.75,8628,8628,0.12,1163.4014969637788,273.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02940371024282118
1.76,8629,8629,0.132,1138.487341295441,309.0,3.9181407886897316e-05,3.5000000000000004e-05,0.031411440827628256
1.77,8630,8630,0.12,1817.382054599158,46.0,7.666162055086375e-05,0.0003444627015207395,0.032350805375257585
1.78,8631,8631,0.132,1174.537959126968,280.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029217755678601298
1.79,8632,8632,0.132,1133.1716220851504,290.0,3.5000000000000004e-05,3.5000000000000004e-05,0.03056909086533577
1.8,8633,8633,0.132,1145.3717631840711,277.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028548826807877514
1.81,8634,8634,0.155,1141.8164169879867,257.0,5.056481347746558e-05,3.5000000000000004e-05,0.027655405301083458
1.82,8635,8635,0.132,1154.4284279253702,274.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02969158698372032
1.83,8636,8636,0.132,1150.5890688980503,329.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029791592569266778
1.84,8637,8637,0.132,1171.550909736488,250.0,3.5000000000000004e-05,3.5000000000000004e-05,0.0296382553246487
1.85,8638,8638,0.132,1155.69857536419,321.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02983292825632866
1.86,8639,8639,0.267,2051.1264339866248,53.0,0.0002222412891445689,4.762505348077703e-05,0.03493347617188525
1.87,8640,8640,0.12,1167.9207680662141,154.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028870427549384292
1.88,8641,8641,0.143,1152.4470529293442,317.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030685811237844973
1.89,8642,8642,0.12,1159.1284165488287,141.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024257012137223533
1.9,8643,8643,0.143,1154.2455004407816,164.0,3.9215912344090436e-05,3.5000000000000004e-05,0.028268485134214982
1.91,8644,8644,0.132,1187.462182362957,255.0,3.5000000000000004e-05,3.5000000000000004e-05,0.03291861980408861
1.92,8645,8645,0.132,1171.3279802315717,233.0,3.5000000000000004e-05,3.5000000000000004e-05,0.03077645190703948
1.93,8646,8646,0.132,1177.5689442109779,162.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028141185054744056
1.94,8647,8647,0.132,1181.1268683416824,119.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030607165383604862
1.95,8648,8648,0.143,1165.0155635972376,304.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029672365809781498
1.96,8649,8649,0.143,1175.250193208719,292.0,3.5000000000000004e-05,3.5000000000000004e-05,0.027717797735574923
1.97,8650,8650,0.132,1188.350938813507,338.0,3.5000000000000004e-05,3.5000000000000004e-05,0.03200223299043303
1.98,8651,8651,0.143,1171.6101452891924,356.0,3.5000000000000004e-05,3.5000000000000004e-05,0.031063776888252348
1.99,8652,8652,0.132,1199.2470329758478,292.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028795679129493545
2.0,8653,8653,0.12,1182.6170783540877,308.0,3.5000000000000004e-05,3.5000000000000004e-05,0.031506754928022684
2.01,8654,8654,0.132,1186.4039237358284,275.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029375245065162536
2.02,8655,8655,0.155,1158.0384375568417,315.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02618249774696524
2.03,8656,8656,0.132,1192.550201785043,241.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02775021871857608
2.04,8657,8657,0.255,2415.2397017156864,10.0,0.0002647354093588662,0.00014471703289087014,0.045858222035838114
2.05,8658,8658,0.132,1193.316576496359,351.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02945228163614988
2.06,8659,8659,0.143,1208.3742123577085,316.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030234450700149296
2.07,8660,8660,0.132,1234.0634033001447,268.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029457410167469278
2.08,8661,8661,0.167,1814.2592993881726,96.0,0.0001861926765958156,0.0002712786582986938,0.034207147228493606
2.09,8662,8662,0.132,1194.7027256927206,254.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02858749661982063
2.1,8663,8663,0.143,1209.274621913779,270.0,3.5000000000000004e-05,3.5000000000000004e-05,0.029305537405200588
2.11,8664,8664,0.167,1185.8805489912186,166.0,4.7446109646873117e-05,3.5000000000000004e-05,0.029175968381444428
2.12,8665,8665,0.132,1192.6878920030504,296.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02743367334636193
2.13,8666,8666,0.132,1206.9365756278798,191.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028706116662756687
2.14,8667,8667,0.132,1218.9864447169155,329.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030981310693762087
2.15,8668,8668,0.143,1228.9371582082442,251.0,3.5000000000000004e-05,3.5000000000000004e-05,0.030617659558565435
2.16,8669,8669,0.132,1890.5392324173415,63.0,0.00012258778010883542,0.00029395636242626294,0.03505121346225948
2.17,8670,8670,0.155,1242.6653810103107,265.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026860940967046276
2.18,8671,8671,0.132,1248.8370068481242,291.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026455293981537786
2.19,8672,8672,0.143,1257.762671157437,304.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02917699389618722
2.2,8673,8673,0.143,1260.0672181134266,292.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028155865992604
2.21,8674,8674,0.167,1249.0893435374992,94.0,3.997125462867479e-05,3.5000000000000004e-05,0.024001330616174266
2.22,8675,8675,0.132,1251.2637848068027,197.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02442989851060784
2.23,8676,8676,0.155,1228.1172031027268,320.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026503088394097207
2.24,8677,8677,0.143,1223.183117957488,334.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02690438828728059
2.25,8678,8678,0.167,1243.8604551415615,234.0,3.5000000000000004e-05,3.5000000000000004e-05,0.027307992018180682
2.26,8679,8679,0.155,1237.1410918585805,286.0,3.5000000000000004e-05,3.5000000000000004e-05,0.027535137810922095
2.27,8680,8680,0.12,1188.4619133837373,320.0,3.5000000000000004e-05,4.70565856052023e-05,0.021416234392377165
2.28,8681,8681,0.132,1254.817485392357,89.0,3.5000000000000004e-05,4.5749149616580395e-05,0.025865307239885005
2.29,8682,8682,0.178,1211.6186550177863,115.0,4.99183346107497e-05,3.5000000000000004e-05,0.023231955419766526
2.3,8683,8683,0.132,1233.0724231368213,286.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02540517174372814
2.31,8684,8684,0.132,1233.5110047435066,303.0,3.5000000000000004e-05,3.5000000000000004e-05,0.025310672391861244
2.32,8685,8685,0.155,1244.6357691187443,258.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024312233582402087
2.33,8686,8686,0.117,2356.1660674477557,22.0,3.4900000000000035e-05,0.00037089793439703525,0.036022774699319915
2.34,8687,8687,0.167,1267.4322840548698,303.0,3.5000000000000004e-05,3.5000000000000004e-05,0.028148529848283865
2.35,8688,8688,0.143,1264.8092780953589,309.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026900557250956303
2.36,8689,8689,0.12,1338.3159500951253,48.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024233537137489547
2.37,8690,8690,0.143,1247.2726338623372,329.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024920259938949085
2.38,8691,8691,0.155,1267.4155351499896,281.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024786754053918614
2.39,8692,8692,0.132,1270.8248788804995,275.0,3.5000000000000004e-05,3.520568011500674e-05,0.025496689717660392
2.4,8693,8693,0.132,1248.5585333952808,347.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02468320153041459
2.41,8694,8694,0.143,1270.2561808989535,296.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026513968025522083
2.42,8695,8695,0.143,1287.70888040715,317.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02584209552594785
2.43,8696,8696,0.155,1254.4123978984753,257.0,3.5000000000000004e-05,3.5000000000000004e-05,0.025755355094579824
2.44,8697,8697,0.132,1286.7589525092171,302.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02687893369269745
2.45,8698,8698,0.155,1272.3572833319806,315.0,3.5000000000000004e-05,3.5000000000000004e-05,0.024149201065150727
2.46,8699,8699,0.155,1271.2175862662723,278.0,3.5000000000000004e-05,3.5000000000000004e-05,0.02431444238114633
2.47,8700,8700,0.155,1285.4040206400891,253.0,3.5000000000000004e-05,3.611101926246859e-05,0.024819622288323018
2.48,8701,8701,0.132,1241.4565099691918,289.0,3.5000000000000004e-05,4.9563334120995173e-05,0.02405187824012356
2.49,8702,8702,0.155,1290.0667302452728,313.0,3.5000000000000004e-05,3.5000000000000004e-05,0.027368808919550736
2.5,8703,8703,0.143,1295.2564990621431,266.0,3.5000000000000004e-05,3.5000000000000004e-05,0.026903923563108334
