evolution rate,geometric mean length lived,geometric mean species population time
0.05,272.40845737843864,8303.060397126943
0.051,2099.999999999999,84192.04699970181
0.052,289.73184350497166,2672.062487189956
0.055,1410.0,153681.99999999994
0.056,101.0,2613.0
0.057,579.6550698475775,2404.4932938147276
0.058,549.75749427045,17494.304220876504
0.059,3499.999999999999,106717.00000000003
0.06,689.4484986133288,20478.9990335466
0.061,1107.0000000000002,69341.00000000001
0.062,1198.9999999999998,23912.000000000007
0.063,1918.673681678829,88857.59638501427
0.064,1467.927109907028,36191.950762565975
0.065,504.62461295501635,4010.050623121857
0.068,2237.967828186991,81693.07318861248
0.069,3499.999999999999,106571.51625082568
0.07,1167.0850898247966,41954.92655632804
0.071,3499.999999999999,150909.1433810425
0.073,3499.999999999999,179340.99999999994
0.075,977.3151999227271,39619.01529568848
0.076,3499.999999999999,147539.99999999994
0.077,634.5960189047042,20966.298161490664
0.078,81.0246875958186,1082.6966334112244
0.079,1537.4993852862906,78615.50841529206
0.08,1266.5594599879596,64528.843064541084
0.082,2133.8931557132837,138663.64514897193
0.083,594.5586598477898,3762.1759661132282
0.084,3499.999999999999,172709.0
0.085,1184.694053331914,55031.60172119291
0.086,329.35391298723016,4676.270736388131
0.087,1252.6649137251488,42927.96628438154
0.088,2849.998619741121,108447.6811743124
0.089,1399.9999999999995,31114.999999999996
0.091,3499.999999999999,104050.00000000004
0.093,3499.999999999999,240423.99999999994
0.096,139.36561614447757,5048.39062246464
0.097,1601.0000000000005,61661.000000000015
0.099,597.6541469809773,18101.054756647663
0.1,1000.9999999999998,91636.00000000003
0.101,507.0295849356326,8598.531037334224
0.102,3499.999999999999,147503.99999999994
0.103,1901.0000000000002,167030.99999999997
0.105,576.7191690935894,27277.790966278793
0.106,3499.999999999999,211866.07595459273
0.107,1684.0,87388.00000000003
0.108,3499.999999999999,133512.15823965883
0.109,2425.107671816479,97193.84635874246
0.11,2669.8116317533904,118018.0172763196
0.111,3499.999999999999,218215.0
0.113,1963.0333670113707,95222.6846659975
