enviorment change rate,master run,y evolution rate,arithmetic mean length lived (size source),marker size (pts^2),source row index
0.50,80,0.05,806.6,164.866,1
0.50,80,0.051,971.928,199.966,2
0.50,80,0.052,934.227,191.962,3
0.50,80,0.053,893.612,183.339,4
0.50,80,0.054,1032.89,212.909,5
0.50,80,0.055,1077.69,222.42,6
0.50,80,0.056,815.025,166.654,7
0.50,80,0.057,824.554,168.677,8
0.50,80,0.058,910.583,186.942,9
0.50,80,0.059,941.531,193.513,10
0.50,80,0.06,1022.31,210.664,11
0.50,80,0.061,955.821,196.547,12
0.50,80,0.062,870.935,178.525,13
0.50,80,0.063,848.25,173.708,14
0.50,80,0.064,904.662,185.685,15
0.50,80,0.065,838.704,171.682,16
0.50,80,0.066,946.086,194.48,17
0.50,80,0.067,892.833,183.174,18
0.50,80,0.068,949.179,195.137,19
0.50,80,0.069,913.081,187.473,20
0.50,80,0.07,873.827,179.139,21
0.50,80,0.071,1006.97,207.405,22
0.50,80,0.072,883.914,181.28,23
0.50,80,0.073,957.217,196.843,24
0.50,80,0.074,977.227,201.091,25
0.50,80,0.075,864.817,177.226,26
0.50,80,0.076,835.364,170.972,27
0.50,80,0.077,906.917,186.164,28
0.50,80,0.078,810.493,165.692,29
0.50,80,0.079,964.418,198.372,30
0.50,80,0.08,1054.19,217.432,31
0.50,80,0.081,895.541,183.749,32
0.50,80,0.082,849.907,174.06,33
0.50,80,0.083,939.253,193.029,34
0.50,80,0.084,913.616,187.586,35
0.50,80,0.085,983.107,202.34,36
0.50,80,0.086,955.545,196.488,37
0.50,80,0.087,859.917,176.185,38
0.50,80,0.088,846.786,173.397,39
0.50,80,0.089,915.21,187.925,40
0.50,80,0.09,803.87,164.286,41
0.50,80,0.091,808.924,165.359,42
0.50,80,0.092,905.197,185.799,43
0.50,80,0.093,1079.88,222.886,44
0.50,80,0.094,1057.44,218.122,45
0.50,80,0.095,865.377,177.345,46
0.50,80,0.096,973.612,200.324,47
0.50,80,0.097,975.65,200.757,48
0.50,80,0.098,976.129,200.858,49
0.50,80,0.099,885.758,181.672,50
