enviorment change rate,planned master run,y (evolution rate from parsedArithmeticMean master csv),apex fitness used for selection,csv rows,csv exists,master csv path
0.50,80,0.184,1584.4,351,yes,results/hub_16/env_0p50/master_80/parsedArithmeticMeanSimulatinomaster_80_Log.csv
0.51,81,,,0,no,results/hub_16/env_0p51/master_81/parsedArithmeticMeanSimulatinomaster_81_Log.csv
0.52,82,,,0,no,results/hub_16/env_0p52/master_82/parsedArithmeticMeanSimulatinomaster_82_Log.csv
0.53,83,,,0,no,results/hub_16/env_0p53/master_83/parsedArithmeticMeanSimulatinomaster_83_Log.csv
0.54,84,,,0,no,results/hub_16/env_0p54/master_84/parsedArithmeticMeanSimulatinomaster_84_Log.csv
0.55,85,,,0,no,results/hub_16/env_0p55/master_85/parsedArithmeticMeanSimulatinomaster_85_Log.csv
0.56,86,,,0,no,results/hub_16/env_0p56/master_86/parsedArithmeticMeanSimulatinomaster_86_Log.csv
0.57,87,,,0,no,results/hub_16/env_0p57/master_87/parsedArithmeticMeanSimulatinomaster_87_Log.csv
0.58,88,,,0,no,results/hub_16/env_0p58/master_88/parsedArithmeticMeanSimulatinomaster_88_Log.csv
0.59,89,,,0,no,results/hub_16/env_0p59/master_89/parsedArithmeticMeanSimulatinomaster_89_Log.csv
0.60,90,,,0,no,results/hub_16/env_0p60/master_90/parsedArithmeticMeanSimulatinomaster_90_Log.csv
0.61,91,,,0,no,results/hub_16/env_0p61/master_91/parsedArithmeticMeanSimulatinomaster_91_Log.csv
0.62,92,,,0,no,results/hub_16/env_0p62/master_92/parsedArithmeticMeanSimulatinomaster_92_Log.csv
0.63,93,,,0,no,results/hub_16/env_0p63/master_93/parsedArithmeticMeanSimulatinomaster_93_Log.csv
0.64,94,,,0,no,results/hub_16/env_0p64/master_94/parsedArithmeticMeanSimulatinomaster_94_Log.csv
0.65,95,,,0,no,results/hub_16/env_0p65/master_95/parsedArithmeticMeanSimulatinomaster_95_Log.csv
0.66,96,,,0,no,results/hub_16/env_0p66/master_96/parsedArithmeticMeanSimulatinomaster_96_Log.csv
0.67,97,,,0,no,results/hub_16/env_0p67/master_97/parsedArithmeticMeanSimulatinomaster_97_Log.csv
0.68,98,,,0,no,results/hub_16/env_0p68/master_98/parsedArithmeticMeanSimulatinomaster_98_Log.csv
0.69,99,,,0,no,results/hub_16/env_0p69/master_99/parsedArithmeticMeanSimulatinomaster_99_Log.csv
0.70,100,,,0,no,results/hub_16/env_0p70/master_100/parsedArithmeticMeanSimulatinomaster_100_Log.csv
0.71,101,,,0,no,results/hub_16/env_0p71/master_101/parsedArithmeticMeanSimulatinomaster_101_Log.csv
0.72,102,,,0,no,results/hub_16/env_0p72/master_102/parsedArithmeticMeanSimulatinomaster_102_Log.csv
0.73,103,,,0,no,results/hub_16/env_0p73/master_103/parsedArithmeticMeanSimulatinomaster_103_Log.csv
0.74,104,,,0,no,results/hub_16/env_0p74/master_104/parsedArithmeticMeanSimulatinomaster_104_Log.csv
0.75,105,,,0,no,results/hub_16/env_0p75/master_105/parsedArithmeticMeanSimulatinomaster_105_Log.csv
0.76,106,,,0,no,results/hub_16/env_0p76/master_106/parsedArithmeticMeanSimulatinomaster_106_Log.csv
0.77,107,,,0,no,results/hub_16/env_0p77/master_107/parsedArithmeticMeanSimulatinomaster_107_Log.csv
0.78,108,,,0,no,results/hub_16/env_0p78/master_108/parsedArithmeticMeanSimulatinomaster_108_Log.csv
0.79,109,,,0,no,results/hub_16/env_0p79/master_109/parsedArithmeticMeanSimulatinomaster_109_Log.csv
0.80,110,,,0,no,results/hub_16/env_0p80/master_110/parsedArithmeticMeanSimulatinomaster_110_Log.csv
0.81,111,,,0,no,results/hub_16/env_0p81/master_111/parsedArithmeticMeanSimulatinomaster_111_Log.csv
0.82,112,,,0,no,results/hub_16/env_0p82/master_112/parsedArithmeticMeanSimulatinomaster_112_Log.csv
0.83,113,,,0,no,results/hub_16/env_0p83/master_113/parsedArithmeticMeanSimulatinomaster_113_Log.csv
0.84,114,,,0,no,results/hub_16/env_0p84/master_114/parsedArithmeticMeanSimulatinomaster_114_Log.csv
0.85,115,,,0,no,results/hub_16/env_0p85/master_115/parsedArithmeticMeanSimulatinomaster_115_Log.csv
0.86,116,,,0,no,results/hub_16/env_0p86/master_116/parsedArithmeticMeanSimulatinomaster_116_Log.csv
0.87,117,,,0,no,results/hub_16/env_0p87/master_117/parsedArithmeticMeanSimulatinomaster_117_Log.csv
0.88,118,,,0,no,results/hub_16/env_0p88/master_118/parsedArithmeticMeanSimulatinomaster_118_Log.csv
0.89,119,,,0,no,results/hub_16/env_0p89/master_119/parsedArithmeticMeanSimulatinomaster_119_Log.csv
0.90,120,,,0,no,results/hub_16/env_0p90/master_120/parsedArithmeticMeanSimulatinomaster_120_Log.csv
0.91,121,,,0,no,results/hub_16/env_0p91/master_121/parsedArithmeticMeanSimulatinomaster_121_Log.csv
0.92,122,,,0,no,results/hub_16/env_0p92/master_122/parsedArithmeticMeanSimulatinomaster_122_Log.csv
0.93,123,,,0,no,results/hub_16/env_0p93/master_123/parsedArithmeticMeanSimulatinomaster_123_Log.csv
0.94,124,,,0,no,results/hub_16/env_0p94/master_124/parsedArithmeticMeanSimulatinomaster_124_Log.csv
0.95,125,,,0,no,results/hub_16/env_0p95/master_125/parsedArithmeticMeanSimulatinomaster_125_Log.csv
0.96,126,,,0,no,results/hub_16/env_0p96/master_126/parsedArithmeticMeanSimulatinomaster_126_Log.csv
0.97,127,,,0,no,results/hub_16/env_0p97/master_127/parsedArithmeticMeanSimulatinomaster_127_Log.csv
0.98,128,,,0,no,results/hub_16/env_0p98/master_128/parsedArithmeticMeanSimulatinomaster_128_Log.csv
0.99,129,,,0,no,results/hub_16/env_0p99/master_129/parsedArithmeticMeanSimulatinomaster_129_Log.csv
1.00,130,,,0,no,results/hub_16/env_1p00/master_130/parsedArithmeticMeanSimulatinomaster_130_Log.csv
1.01,131,,,0,no,results/hub_16/env_1p01/master_131/parsedArithmeticMeanSimulatinomaster_131_Log.csv
1.02,132,,,0,no,results/hub_16/env_1p02/master_132/parsedArithmeticMeanSimulatinomaster_132_Log.csv
1.03,133,,,0,no,results/hub_16/env_1p03/master_133/parsedArithmeticMeanSimulatinomaster_133_Log.csv
1.04,134,,,0,no,results/hub_16/env_1p04/master_134/parsedArithmeticMeanSimulatinomaster_134_Log.csv
1.05,135,,,0,no,results/hub_16/env_1p05/master_135/parsedArithmeticMeanSimulatinomaster_135_Log.csv
1.06,136,,,0,no,results/hub_16/env_1p06/master_136/parsedArithmeticMeanSimulatinomaster_136_Log.csv
1.07,137,,,0,no,results/hub_16/env_1p07/master_137/parsedArithmeticMeanSimulatinomaster_137_Log.csv
1.08,138,,,0,no,results/hub_16/env_1p08/master_138/parsedArithmeticMeanSimulatinomaster_138_Log.csv
1.09,139,,,0,no,results/hub_16/env_1p09/master_139/parsedArithmeticMeanSimulatinomaster_139_Log.csv
1.10,140,,,0,no,results/hub_16/env_1p10/master_140/parsedArithmeticMeanSimulatinomaster_140_Log.csv
1.11,141,,,0,no,results/hub_16/env_1p11/master_141/parsedArithmeticMeanSimulatinomaster_141_Log.csv
1.12,142,,,0,no,results/hub_16/env_1p12/master_142/parsedArithmeticMeanSimulatinomaster_142_Log.csv
1.13,143,,,0,no,results/hub_16/env_1p13/master_143/parsedArithmeticMeanSimulatinomaster_143_Log.csv
1.14,144,,,0,no,results/hub_16/env_1p14/master_144/parsedArithmeticMeanSimulatinomaster_144_Log.csv
1.15,145,,,0,no,results/hub_16/env_1p15/master_145/parsedArithmeticMeanSimulatinomaster_145_Log.csv
1.16,146,,,0,no,results/hub_16/env_1p16/master_146/parsedArithmeticMeanSimulatinomaster_146_Log.csv
1.17,147,,,0,no,results/hub_16/env_1p17/master_147/parsedArithmeticMeanSimulatinomaster_147_Log.csv
1.18,148,,,0,no,results/hub_16/env_1p18/master_148/parsedArithmeticMeanSimulatinomaster_148_Log.csv
1.19,149,,,0,no,results/hub_16/env_1p19/master_149/parsedArithmeticMeanSimulatinomaster_149_Log.csv
1.20,150,,,0,no,results/hub_16/env_1p20/master_150/parsedArithmeticMeanSimulatinomaster_150_Log.csv
1.21,151,,,0,no,results/hub_16/env_1p21/master_151/parsedArithmeticMeanSimulatinomaster_151_Log.csv
1.22,152,,,0,no,results/hub_16/env_1p22/master_152/parsedArithmeticMeanSimulatinomaster_152_Log.csv
1.23,153,,,0,no,results/hub_16/env_1p23/master_153/parsedArithmeticMeanSimulatinomaster_153_Log.csv
1.24,154,,,0,no,results/hub_16/env_1p24/master_154/parsedArithmeticMeanSimulatinomaster_154_Log.csv
1.25,155,,,0,no,results/hub_16/env_1p25/master_155/parsedArithmeticMeanSimulatinomaster_155_Log.csv
1.26,156,,,0,no,results/hub_16/env_1p26/master_156/parsedArithmeticMeanSimulatinomaster_156_Log.csv
1.27,157,,,0,no,results/hub_16/env_1p27/master_157/parsedArithmeticMeanSimulatinomaster_157_Log.csv
1.28,158,,,0,no,results/hub_16/env_1p28/master_158/parsedArithmeticMeanSimulatinomaster_158_Log.csv
1.29,159,,,0,no,results/hub_16/env_1p29/master_159/parsedArithmeticMeanSimulatinomaster_159_Log.csv
