evolution rate,geometric mean length lived,geometric mean species population time
0.05,1870.2942539955307,170450.1150515676
0.051,175.0,4932.999999999999
0.052,353.0,5086.000000000001
0.053,1598.0,49072.999999999985
0.055,396.8475777927843,8097.509740654836
0.061,186.0,488.99999999999994
0.062,743.1285218587698,65941.87558752026
0.069,168.0,608.0
0.071,152.0,520.0
0.072,271.0,3496.0
0.073,1169.1265236507293,76834.18412191514
0.075,89.0,225.0
0.076,111.00000000000001,557.0
0.079,100.0,501.99999999999994
0.08,113.99999999999999,164.0
0.085,1530.7573903414157,115577.98761931849
0.09,720.0,16462.999999999996
0.091,921.0000000000001,19503.99999999999
0.092,4001.0,462881.9999999999
0.096,73.0,244.0
0.097,1045.0177661492542,32435.479359511053
0.1,110.00000000000001,284.0
0.104,146.0,288.0
0.105,103.0,367.0
0.108,3784.9999999999995,273992.9999999999
0.114,1951.0000000000002,130384.00000000001
0.118,112.00000000000001,197.0
0.12,913.0000000000001,27415.999999999996
0.121,160.0,2508.0
0.122,76.0,107.0
0.124,104.92378186092989,208.75344308537765
0.125,146.0,734.0
0.128,160.0,519.0
0.132,676.6387514767389,34292.82665514757
0.134,98.0,144.0
0.142,198.0,622.0
0.144,94.0,150.0
0.145,93.64293886887575,251.0019920239678
0.15,101.0,231.0
0.151,246.0,3885.999999999999
0.155,199.0,8653.999999999998
0.158,124.33020550131815,600.6737883410595
0.161,97.0,99.0
0.162,311.25873481719356,3507.02309658776
0.164,103.30537256115966,177.10166571774528
0.166,62.0,151.0
0.167,71.55417527999327,240.35390573069537
0.172,194.0,1072.0
0.173,133.0,349.0
0.174,83.0,106.0
0.175,127.0,227.99999999999997
0.176,111.00000000000001,147.0
0.179,68.0,102.0
0.18,102.0,211.0
0.181,240.99170110192594,872.511317978168
0.183,90.0,219.0
0.187,63.0,189.0
0.19,92.0,111.00000000000001
0.192,558.0,15105.000000000007
0.196,70.0,156.0
0.199,2193.0,112485.99999999999
0.207,237.0,2525.0
0.21,81.0,108.0
0.211,64.0,87.0
0.212,72.0,146.0
0.213,286.0,11521.000000000002
0.219,102.4987804805501,210.49465551410088
0.222,105.0,359.99999999999994
0.224,74.83314773547882,111.65572085656873
0.225,875.0000000000002,27100.000000000007
0.229,70.0,102.0
0.244,258.27117531772683,4007.470024841108
0.245,119.0,247.00000000000003
0.246,119.0,505.0
0.251,106.0,636.0
0.253,119.0,308.0
0.254,75.1997340420829,138.76599006961322
0.256,63.0,97.0
0.263,76.0,140.0
0.264,109.00000000000001,160.0
0.266,86.0,151.0
0.273,782.0000000000001,18316.999999999993
0.276,99.0,108.0
0.277,104.0,166.0
0.279,60.0,148.0
0.282,105.0,107.0
0.283,64.0,620.0000000000001
0.288,79.0,93.0
0.289,135.8590668078876,588.2571279680025
0.291,82.0,109.00000000000001
0.292,81.82909018191513,169.57889019568444
0.294,83.02409288875127,147.78362561528934
0.295,91.0,204.99999999999997
0.296,92.0,245.00000000000003
0.298,66.0,91.0
0.301,135.0,216.0
0.303,72.0,93.0
0.307,82.26785520481252,330.3377059919137
0.308,126.0,144.0
0.315,61.0,95.0
0.333,97.0,100.0
0.336,104.0,224.00000000000003
0.337,48.0,82.0
0.341,75.0,96.0
0.351,89.0,94.0
0.357,90.0,195.0
0.362,115.99999999999999,315.99999999999994
0.365,97.12878049270464,771.9779789605402
0.367,172.0,520.0
0.372,960.0000000000001,29035.000000000004
0.373,90.0,236.0
0.374,80.0,110.00000000000001
0.376,95.0,165.0
0.377,81.0,111.00000000000001
0.384,110.00000000000001,157.0
0.386,119.0,308.0
0.388,120.0,1073.9999999999998
0.395,43.0,84.0
0.398,68.0,96.0
0.399,134.0,320.0
