evolution rate,geometric mean length lived,geometric mean species population time
0.05,1559.3736140950812,86615.52649965599
0.051,231.08772740346822,657.5326608901543
0.052,422.2508186028261,5655.652130888268
0.053,317.3937991884416,3236.6656653640293
0.054,122.53570908106748,1074.6664598841821
0.055,561.7708525755648,7842.361099334562
0.056,180.14438653480158,1950.7606208861205
0.057,357.0775394154389,1915.2346820775688
0.058,443.46405848272417,4785.671952153427
0.059,94.0,113.99999999999999
0.06,761.1698419610736,14393.793450594532
0.061,448.4227915706337,5559.864206974843
0.062,1005.8918529698685,38108.60573448041
0.063,177.7695136968091,925.2848210145887
0.064,208.2674787130033,1350.8720762978196
0.065,417.7216990849075,6782.067898903581
0.066,323.75852682977813,1523.2256487340226
0.067,253.4103741659376,2626.919566678595
0.068,719.5998888271176,11956.705399063738
0.069,276.06520968785617,1302.4250458279741
0.07,1155.0000000000002,34728.00000000001
0.071,606.757770928412,8186.893920910697
0.072,283.41838584616625,1068.108732915291
0.073,1221.5777058286824,48726.12686907
0.074,272.736136219607,1920.4832725124163
0.075,662.0,6580.999999999997
0.077,264.90899653082715,1900.1879597864515
0.078,479.39576312708647,3688.0777457758163
0.079,225.70422450566454,1693.5533833496872
0.08,299.79993328885183,1438.054240979804
0.081,442.9786298581192,3044.3202393315005
0.082,162.53359473314234,501.8992939757294
0.083,230.3505000557732,2112.3445421273045
0.084,458.59043051549014,3826.4174737813987
0.085,1030.0976636376809,42160.587796300446
0.086,747.0000000000001,7783.999999999997
0.087,455.06043554675244,4107.924049930815
0.088,182.25604985928993,627.743806679482
0.089,197.61802697954695,1543.823304315238
0.09,337.20087112634695,1473.4755081888209
0.091,272.2274870955442,2009.5898345709115
0.092,396.0681759495453,7319.477576985939
0.093,279.619533173602,3026.262316109196
0.094,811.2410246036623,52699.138057467346
0.095,109.00000000000001,1584.9999999999998
0.096,217.7797052068902,6375.859941999982
0.097,1057.680738699553,36512.445562790184
0.098,173.88665062471503,1557.4030336424078
0.099,244.4236042489564,3032.510075084817
0.1,302.1170833395912,1656.2443218924038
0.101,775.4001723844402,13199.96145401203
0.102,267.97076186301615,1240.8552706578168
0.103,345.8219536854501,2876.2623547859453
0.105,253.11817144124032,2598.2697923989913
0.106,99.0,102.0
0.107,197.37365455001944,1415.9244875256938
0.108,682.0759986768796,25126.262913116723
0.109,434.33344871076207,7492.617906167877
0.11,231.3202457158768,1207.6420496241672
0.111,109.00000000000001,153.0
0.112,240.00792987298013,1170.816528990217
0.113,225.56859180465395,1344.6628043264889
0.114,252.99999999999997,2433.0
0.115,123.12321580896055,315.5359984977324
0.116,210.21112554023608,609.2352361790812
0.117,167.30109306572064,1124.2222915338493
0.118,77.22693830523129,183.44481459011044
0.119,177.0,327.0
0.12,654.0582949347994,15019.790492519824
0.121,113.99030347207125,519.7190129858404
0.122,237.04575753101582,1233.6626578152568
0.123,162.11046035202972,771.5339723628282
0.124,179.65830237625516,602.2764189385892
0.125,109.18333206126292,186.33303518163387
0.126,208.37466256721328,1344.208317188969
0.127,277.09150907528556,3621.592104800297
0.128,294.6640819149803,1632.234483622001
0.129,209.18110466984362,1818.5529876891273
0.13,135.05654882144782,207.58384479810772
0.131,88.0,100.0
0.132,446.2235286037267,5620.987751910967
0.133,173.75073305075196,473.05509298128857
0.134,122.37457661131921,559.9328629122979
0.136,333.526610632495,3642.1387947193894
0.138,80.0,86.0
0.139,430.99999999999994,5218.999999999999
0.14,240.0,8343.0
0.141,161.15056064834496,1617.0449788592912
0.142,137.8549861408692,563.5297593111246
0.143,488.78383049359246,10834.565633907501
0.144,80.49844718999243,118.05930712993364
0.145,260.3480361261872,1603.1763397115783
0.146,110.0166303379281,500.72409832566234
0.147,78.80355321938218,121.01652779682617
0.148,182.8694461355288,1556.313264775422
0.149,66.0,238.0
0.15,208.80153316744884,2072.7089250960594
0.151,60.0,100.0
0.152,201.00947951628947,831.909771827468
0.154,119.87858557594026,327.83373860966066
0.155,153.95828442165723,899.0820545103112
0.156,72.0,137.0
0.157,148.0,258.0
0.158,246.0,539.0
0.159,85.0,128.0
0.16,214.26227880332846,1196.3982010202471
0.161,114.36862981146349,241.82492450817975
0.162,135.71404356393933,339.86265627348575
0.163,82.0,102.0
0.165,77.48548251124207,115.09995655950527
0.166,96.31163035708443,140.38696590715134
0.167,308.9420280974924,6823.344393218913
0.168,76.30203142774116,139.2982411949268
0.169,182.63110614241248,1442.9099575991766
0.17,148.58797711066902,526.2546471793037
0.171,163.20729765563487,801.2361920063997
0.172,98.3226902841472,150.62001148518465
0.173,88.0,188.0
0.174,74.23107704019986,145.6853799237797
0.175,147.0510115572144,428.7260197375476
0.176,296.27717068176906,4512.103393139982
0.177,70.0,95.0
0.178,186.6814669373827,1489.4097098542816
0.179,120.83873551142447,240.4121461157901
0.18,87.0,187.0
0.181,112.99999999999999,186.0
0.182,104.26603398070489,242.73345800245812
0.183,202.4500715193103,1286.9737208986733
0.184,103.02993442949462,282.98392530237624
0.185,91.84770002564028,321.27869521647403
0.186,196.9104180702236,1530.274683782252
0.187,90.59801322324898,163.48700254148648
0.188,84.0,149.0
0.19,129.3307347000845,443.35645930609263
0.191,85.7523677184575,142.72591489539585
0.192,188.48621691160932,753.9633108861149
0.193,146.0265811494125,636.0216442315354
0.194,159.00481602397298,682.0696681573723
0.195,152.0,444.00000000000006
0.196,144.138821973818,221.65739328973442
0.197,83.90470785361212,104.98095065296371
0.198,111.00450441310929,322.03105440314295
0.199,54.0,89.0
0.2,193.30287116336373,1495.463807652997
0.201,76.0,101.0
0.202,73.3116818205638,331.13555420755773
0.203,211.11244441561405,819.5322103547205
0.204,113.99999999999999,208.0
0.205,94.62549828537912,191.27342140610494
0.206,86.11620056644395,121.11977542911809
0.207,138.48225780101194,387.6362986824994
0.208,94.31466151717686,172.35488741261779
0.209,159.1791443625703,1229.1069929017572
0.21,190.4969447226664,722.6240898279829
0.211,204.0787533947527,1153.6115963138773
0.212,75.55674578414651,147.25938746585214
0.213,81.39330135017316,651.8582211135783
0.214,69.85657708997913,123.7121096118385
0.215,65.41634134195704,130.03407390844689
0.216,84.0,91.0
0.217,125.19284033213991,205.1569907955494
0.218,126.0,214.0
0.219,102.26067812921964,221.19890480402708
0.22,131.9751079504191,416.7145750885651
0.221,149.0,459.99999999999994
0.224,72.07399799658265,178.18757317370583
0.225,72.75211802191347,217.27775210939419
0.226,121.58947322856532,223.42784070030305
0.227,147.0,355.0
0.228,163.0,645.0
0.229,61.91930232165088,206.920274502041
0.23,77.68364933124971,167.95743645114138
0.231,64.0,81.0
0.232,95.53009996854395,170.6458320616123
0.233,107.6735110312923,408.37098609706095
0.234,87.00251016670806,138.57604203498545
0.235,94.7156135012084,203.7227036183331
0.236,96.29122493768578,149.8365776437783
0.237,128.52339328116818,647.7389484831492
0.238,86.3500554380258,127.62695747663824
0.24,84.0,152.0
0.241,94.56711433782826,155.58364062224535
0.242,84.38009243891595,103.60984509205676
0.243,103.92304845413263,415.1722534081486
0.244,74.0,139.0
0.245,193.62612657670493,590.2081693851638
0.246,128.1518583392579,390.351539268297
0.247,109.00000000000001,261.0
0.248,168.0,1365.0000000000002
0.249,74.0,95.0
0.25,63.79655163094633,88.43076387773657
0.251,82.99397568498571,195.74473172987314
0.252,157.89870170460554,282.8869031963127
0.253,122.1000478253362,520.1468175177971
0.254,140.83850530901313,274.31450203179054
0.255,77.0,100.0
0.256,92.29646017177414,186.29661310974487
0.257,95.81440388211881,134.45441993043409
0.258,86.0,110.00000000000001
0.259,202.99999999999997,647.0
0.26,87.32935697531991,533.1371213465898
0.261,194.08503291083522,599.9199946659554
0.262,79.97811283176028,146.35572667795634
0.263,92.43376006633073,118.38074167701433
0.264,83.99404740813482,124.9879994239447
0.265,162.23959871689135,721.0148882193776
0.266,85.0,104.0
0.267,151.0,412.0
0.268,84.33542627509587,171.59121793875002
0.269,79.46068210127572,130.47605144240072
0.271,107.31728476472577,218.9538053371035
0.272,81.47637457756034,369.64784131676487
0.273,98.6484829732188,178.37563228343885
0.274,96.0,144.0
0.275,74.0,103.0
0.276,89.88058236001334,105.17576005193641
0.278,79.97499609252881,105.49881515922348
0.279,96.9801922214361,142.80654231730892
0.28,103.0,112.00000000000001
0.281,110.77905939300983,175.17705329180532
0.282,109.00000000000001,112.00000000000001
0.283,141.04721292443233,1313.42612200556
0.284,77.07139547199078,101.99509792141974
0.285,98.31027580291877,262.9711688963818
0.287,122.92157955402396,233.0258648612546
0.289,60.0,95.0
0.29,179.0,1240.0
0.292,69.0,109.00000000000001
0.293,72.94923598993964,150.12345392187532
0.295,79.00395425842014,577.3939159848269
0.296,100.0,162.0
0.297,85.48684109265004,119.75808949711914
0.298,100.0,300.00000000000006
0.299,114.52617290173646,272.6080426980812
0.3,110.24082555833101,273.75008910274636
0.301,78.70848381004836,143.54927379713928
0.302,83.0,100.0
0.303,99.11657623007929,332.72331336446405
0.305,251.19514326515153,1584.2727037981815
0.306,105.79697538209683,374.86797675981876
0.307,117.2263861350506,388.3957771141098
0.308,157.01273833673497,402.38041701852245
0.309,376.0,18128.000000000004
0.31,107.13837746349935,229.4524656989156
0.311,119.93331480451958,206.99999999999997
0.313,100.89103032480142,321.2942576517669
0.315,97.74968030638259,338.61482542853906
0.316,108.78627142593773,203.53406734660933
0.317,92.65527507918802,103.99519219656264
0.318,73.65610511225938,163.2043940113658
0.319,77.0,102.0
0.32,88.0,93.0
0.321,129.24628949013348,683.527939390905
0.322,69.0,85.0
0.323,130.06319656973335,501.5264926936985
0.324,162.06171663906318,616.7803498815441
0.325,77.58865896508328,138.4918770181125
0.326,78.49968128207085,100.48828595586738
0.327,88.0,198.0
0.328,101.0,104.0
0.329,70.14271166700073,117.54148203932091
0.33,69.91986249027524,315.3954532091327
0.331,79.42291860665912,113.66617790706258
0.332,89.0,239.0
0.333,81.0,142.0
0.334,75.4188305398592,92.8654941299512
0.335,75.0,163.0
0.336,101.1632344283238,372.2633476451852
0.338,89.0,106.0
0.34,83.70782520170978,131.62446581088182
0.342,88.99438184514796,441.6038949103596
0.343,78.0,109.00000000000001
0.344,239.0,381.99999999999994
0.346,95.0,271.0
0.347,93.66365383069865,259.3958457528666
0.349,89.26365441768559,167.5708805252273
0.35,80.18338022389342,115.44826771145225
0.351,82.15838362577492,111.0405331399305
0.352,71.46438965481073,109.28321824120427
0.353,72.16346768508048,543.4334737692318
0.354,70.01428425685718,151.2613632095123
0.355,80.84553172563095,115.09995655950527
0.357,60.761830123853244,127.33813254481157
0.358,50.645829048402405,84.49852069711042
0.359,89.82186989555217,153.8195446287066
0.36,90.91204540653564,114.23659658795862
0.361,80.0,90.0
0.362,100.98133207501063,264.00725613331923
0.364,108.0,440.00000000000006
0.365,88.71587983864174,353.8335112502128
0.366,60.0,85.0
0.367,54.0,92.0
0.368,99.39064030363511,179.15675030851705
0.369,72.11102550927978,161.48374531202825
0.37,87.63560920082658,120.19983361053377
0.371,70.8780555715715,93.9612032441265
0.372,72.15399140074736,121.65052724761765
0.373,89.87092608766142,187.58180963312284
0.374,64.0,98.0
0.375,109.00000000000001,157.0
0.376,119.72306508746466,183.6711201379208
0.377,72.09853707891928,222.70752616669168
0.378,113.99999999999999,159.0
0.379,74.45804187594514,97.95407086997456
0.381,68.58571279792899,104.88088481701516
0.382,78.0,86.0
0.383,100.0,189.0
0.384,81.0,148.0
0.385,97.0,142.0
0.386,118.0,193.0
0.387,73.54793192813875,101.53072612263054
0.388,77.14920608794364,233.00643767930532
0.389,90.47565541704823,180.05520948807356
0.39,118.0,260.0
0.391,77.48377044823633,123.82145653750152
0.393,61.0,113.99999999999999
0.394,123.20714265009151,510.41159861429486
0.395,137.1823603820841,396.0113634733226
0.397,115.01582694721819,456.3005005691128
0.398,94.16156116033196,274.9601042439175
0.399,83.13395893415077,98.25644345209201
0.4,57.99999999999999,105.0
