evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,348.0,9837.0
0.05,124.0,1758.0
0.05,509.0,32220.0
0.051,236.0,1910.0
0.051,393.0,17836.0
0.052,520.0,25290.5
0.052,346.0,20634.0
0.052,194.0,23222.0
0.053,263.0,10297.0
0.053,346.0,5577.0
0.053,394.0,5359.5
0.054,693.0,16047.0
0.054,692.0,62618.0
0.054,362.0,22884.0
0.054,339.6666666666667,21308.0
0.055,266.0,20172.0
0.055,346.0,86343.0
0.055,369.5,42569.5
0.055,346.0,19898.0
0.056,307.0,16957.0
0.056,351.0,53590.0
0.056,274.0,1496.0
0.056,306.0,42512.0
0.057,376.0,16002.5
0.057,347.0,102068.0
0.057,212.0,4579.0
0.058,346.0,16467.0
0.058,284.0,3110.0
0.058,693.0,29894.0
0.058,428.0,26340.0
0.059,250.0,15122.5
0.059,300.0,7415.0
0.06,345.5,24358.5
0.06,226.5,59828.5
0.06,347.0,46369.0
0.061,309.0,151860.0
0.062,509.0,19937.0
0.062,315.5,2482.0
0.062,333.25,65475.0
0.062,346.0,28172.0
0.062,182.0,1082.0
0.063,346.0,16823.0
0.064,134.0,2558.0
0.065,246.5,14196.0
0.065,345.0,24602.0
0.066,346.0,19925.5
0.066,528.0,39514.0
0.066,89.0,5336.0
0.066,346.0,27934.0
0.067,375.0,981.0
0.067,189.0,3897.0
0.067,377.0,20355.0
0.067,346.0,2337.0
0.068,90.0,4137.0
0.068,346.0,24881.0
0.068,294.0,23650.666666666668
0.069,260.0,8104.0
0.069,302.0,14032.0
0.069,213.25,10214.5
0.069,202.0,3312.0
0.07,100.5,2608.0
0.07,693.0,17671.0
0.071,582.0,1715.0
0.071,138.0,4716.0
0.071,234.0,706.0
0.072,246.66666666666666,29216.0
0.073,989.0,88575.0
0.073,429.0,57745.5
0.073,159.0,8297.0
0.073,270.0,15399.0
0.074,345.0,28548.0
0.074,160.0,10562.0
0.074,400.0,19885.0
0.074,645.0,21627.0
0.075,292.0,78727.0
0.075,513.0,883.0
0.075,257.0,14681.5
0.076,132.0,901.0
0.076,159.0,7532.0
0.076,304.0,17933.0
0.076,1184.0,53999.0
0.076,346.0,11253.0
0.077,261.0,72398.0
