enviorment change rate,planned master run,master run,apex evolution rate,fitness,max species,fit sigma left,fit sigma right,fit r2
0.5,790,790,0.187,4001.0,183.0,0.06163980883409663,0.0648801779968052,-8.702839072632683
0.51,791,791,0.065,4001.0,181.0,0.006127122432478468,0.09561155750555181,-13.699224895148694
0.52,792,792,0.052,4001.0,178.0,0.0011680551148890194,0.10144772488510603,-15.907504374049786
0.53,793,793,0.086,3532.0,177.0,0.015460096580296229,0.09129524657345695,-13.960559174813477
0.54,794,794,0.083,2572.0,172.0,0.016233671640874733,0.09718968198933693,-8.232555354336139
0.55,795,795,0.053,4001.0,176.0,0.00149108208846866,0.10065622673902964,-14.620745961619368
0.56,796,796,0.089,2080.6666666666665,186.0,0.01955361244236595,0.09814928720720877,-5.951648124180995
0.57,797,797,0.083,4001.0,176.0,0.012795212665040714,0.09066684230948306,-20.238070511832138
0.58,798,798,0.139,2044.3333333333333,179.0,0.039119749605675866,0.08166902727473083,-7.10412452969563
0.59,799,799,0.06,4001.0,183.0,0.00404653471947063,0.09835005299557081,-12.894850638958355
0.6,800,800,0.091,4001.0,175.0,0.01593272532103991,0.0889629183081341,-20.27724083835768
0.61,801,801,0.084,2123.5,173.0,0.016064860544682574,0.09892422965839609,-5.598121439489055
0.62,802,802,0.146,2525.0,188.0,0.04287561628268378,0.0780197192060576,-9.167246247063341
0.63,803,803,0.056,2230.5,175.0,0.003816928089518982,0.10894226230386553,-4.154085992520219
0.64,804,804,0.113,4001.0,175.0,0.030076402575922572,0.08394541430447579,-7.828339260378016
0.65,805,805,0.057,4001.0,180.0,0.002872656816583359,0.09911668351147723,-16.946038914111636
0.66,806,806,0.084,2237.3333333333335,180.0,0.015271529608223377,0.09804751335946599,-5.92159709437452
0.67,807,807,0.077,2381.0,177.0,0.012034000775926233,0.09913825818213357,-6.900837460146715
0.68,808,808,0.086,2395.0,182.0,0.01686927156105763,0.09689482050281117,-5.023542195773101
0.69,809,809,0.061,4001.0,184.0,0.004730645218547218,0.09620667183715347,-13.403635330573122
0.7,810,810,0.084,2229.6666666666665,175.0,0.016695936442312275,0.09877748360418144,-6.728645098285544
0.71,811,811,0.06,2964.0,173.0,0.004320055845246363,0.10165182689192431,-13.0407770251281
0.72,812,812,0.064,4001.0,180.0,0.005753586593895621,0.0962155815733349,-12.003433789764522
0.73,813,813,0.156,2028.0,177.0,0.04505161525281378,0.07648371714463925,-8.493113674211743
0.74,814,814,0.121,2869.5,176.0,0.029313128093906973,0.08345908267997867,-14.445132151551615
0.75,815,815,0.085,2627.722222222222,174.0,0.01419533016102143,0.09554181495425497,-8.296630258983043
0.76,816,816,0.071,4001.0,175.0,0.009146018150847642,0.0952096759942523,-14.69507063795493
0.77,817,817,0.078,2555.5,181.0,0.012346449654950182,0.09752134061259408,-5.670971380235917
0.78,818,818,0.071,2317.5,183.0,0.00962003522121292,0.10198256899342747,-8.019131914751739
0.79,819,819,0.069,2131.0,177.0,0.009016623010414657,0.10521323708505481,-4.290900808713783
