evolution rate,geometric mean length lived,geometric mean species population time
0.05,1023.0,96640.00000000001
0.06,550.0,56344.99999999999
0.07,1044.0000000000002,26180.000000000007
0.08,996.4637474589833,10388.95586668843
0.09,818.9203397817842,18265.845687445646
0.11,167.39064964923682,911.5858793323276
0.12,153.67498169838836,400.9600977653512
0.13,524.4245049847237,12501.802612056024
0.16,67.0,112.99999999999999
0.17,176.13660193831473,1150.6541961473363
0.19,1999.0000000000002,232382.99999999994
0.21,56.00000000000001,97.0
0.22,131.90905958272918,540.5950425225892
0.24,99.19677414109796,164.9818171799547
0.25,68.0,92.0
0.26,66.4529909033446,122.22929272478018
0.27,59.924953066314536,116.29273408085305
0.28,446.0,24792.000000000004
0.3,118.0,430.99999999999994
0.31,73.73891435405812,180.7997745187362
0.32,54.0,145.0
0.33,83.0,96.0
0.34,70.01428425685718,150.94701056993478
0.37,79.0,99.0
0.38,381.99999999999994,18820.000000000007
0.39,146.0,2220.0000000000005
0.4,145.60219778561037,520.329703169058
