evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.06,923.0,87640.0
0.061,744.0,4299.0
0.063,519.0,53755.0
0.065,925.0,120759.0
0.066,1134.0,86734.0
0.068,877.0,61722.0
0.088,1330.0,52815.5
0.089,905.0,29856.0
0.11,337.0,821.0
0.111,362.0,6505.0
0.123,433.0,28462.0
0.125,1289.0,27360.0
0.127,307.0,395.0
0.128,222.0,647.0
0.132,180.5,4233.5
0.14,63.0,205.0
0.152,86.0,262.0
0.157,1864.0,125281.0
0.16,1073.0,57739.0
0.162,78.0,229.0
0.178,748.0,28423.0
0.195,165.0,1770.0
0.197,409.0,5627.0
0.201,314.0,20564.0
0.203,241.0,4862.0
0.204,2624.0,164840.0
0.209,714.0,37594.0
0.212,216.0,2375.0
0.216,3508.0,233301.0
0.222,44.0,83.0
0.235,60.0,159.0
0.239,673.0,74418.0
0.245,1307.5,80803.0
0.251,282.0,1242.0
0.257,58.0,103.0
0.264,77.0,102.0
0.267,52.0,101.0
0.272,63.0,87.0
0.28,202.0,1977.0
0.282,132.0,303.0
0.288,93.5,178.5
0.3,98.0,216.0
0.302,138.0,556.0
0.303,52.0,101.0
0.304,145.0,201.0
0.306,284.0,2178.0
0.317,131.0,931.0
0.321,85.0,190.0
0.327,86.0,207.0
0.329,87.5,170.5
0.333,197.5,3382.5
0.342,52.0,92.0
0.343,79.0,106.0
0.344,93.0,161.0
0.348,64.0,144.0
0.352,159.0,791.0
0.369,538.0,25001.0
0.37,923.0,139698.0
0.384,263.0,4181.0
0.385,269.0,5742.0
0.39,426.0,11867.0
0.393,99.0,163.0
0.395,74.0,161.0
0.396,71.0,95.0
