evolution rate,geometric mean length lived,geometric mean species population time
0.05,855.9999999999999,31405.0
0.05,1388.9999999999998,115075.00000000004
0.05,753.7406715840666,91124.08027519405
0.051,693.0,166324.0
0.054,2051.0,222162.00000000003
0.054,145.0,281.0
0.055,376.0,3692.999999999999
0.055,376.99999999999994,30382.000000000004
0.056,319.0,14603.000000000004
0.058,693.0,25332.999999999996
0.058,318.0,1309.9999999999998
0.06,438.99999999999994,16563.000000000004
0.061,1059.0000000000002,16512.0
0.061,40.0,49.0
0.062,302.0,7225.0
0.063,693.0,32537.999999999993
0.063,693.0,100278.00000000001
0.064,1267.0,39143.99999999999
0.064,391.4920177985753,16130.298013366022
0.066,154.0,1487.0
0.066,288.0,8033.999999999997
0.067,1060.0,93356.00000000003
0.068,1211.0000000000002,98144.99999999996
0.069,340.0,23585.000000000004
0.069,270.0,509.99999999999994
0.07,693.0,44588.000000000015
0.071,575.0,39626.00000000001
0.071,614.0,54105.999999999985
0.072,122.0,233.0
0.072,588.9999999999999,70607.99999999999
0.073,855.0000000000001,125039.00000000003
0.073,1155.0000000000002,82730.99999999999
0.078,693.0,98721.99999999997
0.079,693.0,136482.00000000003
0.08,350.0,17668.999999999993
0.081,971.9999999999999,6377.000000000003
0.082,725.5828641381976,48461.37058167814
0.082,97.0,103.0
0.084,1093.0,78732.99999999999
0.085,573.0,17016.99999999999
0.085,925.0000000000002,79982.00000000003
0.087,692.0000000000001,47617.99999999999
0.088,992.9999999999998,109045.0
0.088,693.0,84092.99814491099
0.089,530.0,30432.999999999985
0.09,585.5219893394269,35971.631711669674
0.092,565.0000000000001,20426.000000000004
0.092,482.0,17062.999999999996
0.093,693.0,133636.00000000003
0.093,693.0,12357.000000000002
0.094,693.4998197548433,43516.85177031998
0.094,694.0,110858.00000000004
0.095,104.0,114.99999999999999
0.096,56.99999999999999,139.0
0.097,1172.0,101040.99999999999
0.097,729.9589029527622,74920.94633678887
0.099,77.0,570.0000000000001
0.099,1510.9999999999998,84551.00000000003
0.1,1387.0,103730.99999999997
0.101,1324.4934880927128,82431.23012548093
0.102,693.0,23309.000000000004
0.102,2080.0000000000005,143813.0
0.102,657.0,24765.99999999999
0.103,986.0,66926.0
0.103,693.0,124274.99999999997
