evolution rate,length lived,species population time,population
0.143333,56,151,2
0.367344,126,197,1
0.141158,119,773,6
0.366645,79,160,2
0.340292,119,227,1
0.224051,94,332,3
0.054418,86,104,1
0.340323,159,760,4
0.291558,256,4636,18
0.330837,82,90,1
0.178039,1403,91926,65
0.287823,507,5738,11
0.291731,998,73781,73
0.358336,82,102,1
0.051496,455,66098,145
0.075196,454,35753,78
0.347555,146,1406,9
0.370616,188,507,2
0.250318,1660,103040,62
0.218811,2274,172860,76
0.099769,454,47422,104
0.376667,66,610,9
0.22741,323,18425,57
0.219371,81,159,1
0.168534,295,1089,3
0.062448,169,1792,10
0.367319,55,107,1
0.127837,368,11369,30
0.364121,1550,116990,75
0.306407,182,1016,5
0.29903,92,141,1
0.19,323,7783,24
0.143333,1411,83784,59
0.274561,160,2662,16
0.387168,94,207,2
0.198435,1080,63269,58
0.237366,275,2375,8
0.149184,857,36494,42
0.321975,1046,85689,81
0.282951,594,29123,49
0.194649,354,6615,18
0.144551,414,21268,51
0.132806,262,6659,25
0.07328,454,21142,46
0.272789,142,2867,20
0.248164,697,146823,210
0.228772,265,1483,5
0.171058,92,2537,27
0.378717,369,4779,12
0.289846,423,9425,22
0.303676,84,101,1
0.330846,119,203,1
0.065296,608,86946,143
0.250466,90,164,1
0.161585,234,1409,6
0.150886,454,90375,199
0.166715,193,518,2
0.094943,118,9108,77
0.062142,289,9601,33
0.120416,455,13211,29
0.219626,158,3817,24
0.178464,610,9207,15
0.155329,75,93,1
0.282137,104,142,1
0.152556,909,34529,37
0.333429,277,2447,8
0.368189,65,87,1
0.243794,357,2556,7
0.228374,163,673,4
0.12468,454,38871,85
0.062315,114,4265,37
