evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,494.5,45489.0
0.054,170.33333333333334,7290.666666666667
0.055,87.0,206.0
0.056,780.0,41506.0
0.057,89.0,5738.0
0.058,474.0,76156.0
0.059,142.0,2527.0
0.062,345.3333333333333,23370.0
0.063,390.0,21360.0
0.064,782.0,88173.0
0.065,150.0,768.0
0.066,356.0,3617.5
0.069,242.0,1578.0
0.071,221.0,2169.0
0.073,333.0,14797.0
0.074,390.0,23509.0
0.075,346.0,22962.0
0.076,267.0,5445.0
0.077,390.0,23976.0
0.079,505.25,103184.25
0.081,442.4,21253.8
0.082,342.0,14646.0
0.085,593.0,9460.0
0.09,322.0,43582.0
0.092,51.0,132.0
0.094,390.0,1310.0
0.097,211.0,390.0
0.098,914.0,10038.0
0.1,390.0,16061.0
0.101,233.0,44071.0
0.102,457.25,20881.75
0.103,1072.0,108106.0
0.105,650.5,26112.0
0.106,373.3333333333333,26994.333333333332
0.108,42.0,167.0
0.109,570.0,21721.5
0.113,389.0,69672.0
0.115,390.0,27484.0
0.116,135.0,174.5
0.117,390.0,18221.0
0.118,150.0,1626.0
0.12,124.66666666666667,3632.0
0.123,390.0,18149.0
0.126,235.5,4457.5
0.127,309.5,9842.5
0.128,140.0,704.0
0.129,292.0,13161.0
0.13,399.0,26207.0
0.132,262.0,15966.333333333334
0.133,218.0,7174.0
0.134,308.0,14633.0
0.136,233.0,12937.0
0.137,418.5,22092.0
0.138,112.0,283.0
0.139,107.0,338.0
0.14,439.5,30455.5
0.143,404.0,68179.66666666667
0.144,63.0,92.0
0.145,90.0,104.0
0.146,334.0,12831.0
0.147,297.0,50790.333333333336
0.148,53.0,89.0
0.149,374.0,37351.0
0.15,179.5,7136.0
0.151,240.0,941.0
0.152,345.0,23785.0
0.153,333.5,8645.0
0.154,692.0,14606.0
0.155,358.5,26488.0
0.157,120.5,227.0
0.16,1152.25,86363.25
0.164,472.25,24729.25
0.165,224.0,2202.5
0.166,780.0,25620.0
0.167,3909.0,303596.0
0.169,3127.0,205694.0
0.17,136.0,148.0
0.171,713.0,40023.0
0.172,177.5,1100.0
0.174,124.0,254.0
0.175,223.0,2598.0
0.176,3546.0,284604.0
0.177,361.6666666666667,4824.666666666667
0.178,191.25,2039.75
0.181,204.0,3792.0
0.182,309.3333333333333,5491.0
0.183,458.5,21708.0
0.184,1283.3333333333333,146996.66666666666
0.185,891.3333333333334,84643.66666666667
0.186,873.0,27304.0
0.187,624.6666666666666,61031.0
0.188,87.5,262.0
0.19,75.0,161.0
0.191,182.0,343.0
0.192,194.5,2098.0
0.194,307.5,13877.0
0.196,93.0,200.0
0.199,2106.0,219281.0
0.201,1424.5,106937.0
0.202,74.0,136.0
0.203,763.0,29821.0
0.204,804.0,28116.0
0.205,152.0,959.0
0.207,873.0,32151.0
0.208,382.0,6290.0
0.21,235.0,12606.0
0.211,82.0,99.0
0.212,172.0,625.0
0.213,77.5,392.5
0.214,113.0,158.0
0.215,653.0,26918.666666666668
0.216,1252.25,75840.5
0.218,393.6666666666667,10870.333333333334
0.22,370.0,15046.0
0.221,99.0,103.0
0.222,71.0,146.0
0.225,155.5,719.5
0.226,206.0,7172.0
0.227,806.75,30709.75
0.228,568.0,10430.0
0.229,62.0,90.0
0.231,619.5,25445.5
0.232,120.0,294.0
0.233,178.0,266.0
0.234,331.0,17948.5
0.236,464.0,24369.0
0.237,92.0,219.5
0.238,88.0,150.0
0.239,347.6666666666667,31643.333333333332
0.244,754.0,35641.0
0.245,350.3333333333333,9709.0
0.246,1379.0,84157.66666666667
0.247,2191.0,136407.0
0.248,166.0,2433.0
0.249,1287.0,63533.0
0.25,168.0,459.0
0.251,81.0,154.0
0.253,233.5,10417.0
0.254,273.5,7687.5
0.256,390.0,19363.0
0.257,363.0,10406.0
0.258,636.5,43207.25
0.259,67.0,79.0
0.26,1268.6666666666667,128432.33333333333
0.261,1159.0,144058.0
0.262,88.0,203.0
0.263,227.0,2146.0
0.265,442.6666666666667,14452.333333333334
0.266,411.3333333333333,41291.666666666664
0.267,213.5,4122.0
0.268,279.0,3470.0
0.272,124.0,550.6666666666666
0.274,728.0,133327.0
0.275,1251.0,134154.0
0.277,189.0,1122.0
0.279,146.5,3859.0
0.281,871.3333333333334,37023.333333333336
0.282,1128.0,78170.66666666667
0.284,318.0,7550.0
0.286,119.0,478.5
0.287,601.0,40883.5
0.289,1040.3333333333333,68319.33333333333
0.29,390.0,14072.0
0.293,307.0,1351.0
0.295,61.0,116.0
0.296,232.0,3728.0
0.297,999.75,61010.25
0.298,341.0,9898.0
0.299,54.0,103.0
0.3,489.6666666666667,22950.0
0.301,373.0,42700.0
0.302,232.5,4642.0
0.303,556.0,71409.0
0.305,1040.0,35619.0
0.307,150.0,2992.0
0.309,183.0,4505.0
0.31,103.0,224.0
0.312,68.0,95.0
0.313,109.5,274.5
0.316,113.5,231.5
0.317,295.0,2551.0
0.319,81.0,139.0
0.32,387.5,20851.0
0.321,895.5,53228.5
0.322,75.0,147.0
0.323,157.0,1047.0
0.324,85.0,199.0
0.325,58.0,87.0
0.328,403.0,12227.0
0.329,274.0,3261.0
0.331,397.0,11900.0
0.332,156.0,504.0
0.333,109.0,163.0
0.334,253.66666666666666,4281.666666666667
0.335,80.0,133.0
0.338,73.0,97.0
0.339,53.0,98.0
0.34,171.0,818.0
0.343,185.33333333333334,4130.666666666667
0.346,63.0,90.0
0.347,114.0,258.6666666666667
0.348,55.0,92.0
0.349,235.0,6165.5
0.352,63.0,90.0
0.353,62.0,101.0
0.354,361.0,9169.0
0.355,131.0,1257.0
0.356,94.0,273.0
0.357,171.5,422.0
0.358,72.0,84.0
0.36,297.0,6051.0
0.361,95.0,146.0
0.362,85.0,230.0
0.363,292.5,17238.5
0.365,659.2,35696.4
0.366,1431.0,106540.0
0.367,335.5,8384.5
0.368,102.0,419.0
0.37,254.0,4476.0
0.371,420.0,6551.0
0.372,221.5,2124.0
0.373,124.0,460.0
0.377,203.66666666666666,7629.0
0.378,89.0,147.0
0.379,126.5,589.5
0.382,112.66666666666667,439.3333333333333
0.384,1311.0,211478.0
0.386,212.0,2606.0
0.387,711.0,29777.0
0.388,106.0,542.0
0.389,133.0,316.0
0.39,140.0,2275.5
0.391,157.0,2199.0
0.394,195.33333333333334,1918.6666666666667
0.395,198.0,4592.0
0.396,905.0,38005.0
0.397,71.0,101.0
0.399,80.0,150.0
