evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,366.6666666666667,8562.166666666666
0.06,331.3333333333333,25017.2
0.07,456.3333333333333,36829.88888888889
0.08,318.44444444444446,24383.88888888889
0.09,342.875,28308.375
0.1,452.6,68454.1
0.11,359.9,19576.7
0.12,300.6,32275.8
0.13,286.44444444444446,11916.555555555555
0.14,208.6153846153846,6953.384615384615
0.15,303.25,17155.333333333332
0.16,985.6,105834.6
0.17,1029.0,104650.0
0.18,1210.6923076923076,101658.15384615384
0.19,674.1176470588235,51654.64705882353
0.2,1333.5,103277.3
0.21,828.6875,64575.1875
0.22,435.5,34283.6
0.23,1220.6,122987.7
0.24,983.5,74530.57142857143
0.25,526.9411764705883,33401.294117647056
0.26,546.75,38234.833333333336
0.27,505.0,22359.714285714286
0.28,468.6923076923077,34654.07692307692
0.29,228.2,5385.133333333333
0.3,174.22222222222223,1484.2222222222222
0.31,332.125,20254.375
0.32,432.1111111111111,23094.666666666668
0.33,197.58333333333334,6153.5
0.34,323.72222222222223,16038.944444444445
0.35,239.8,5074.7
0.36,235.42857142857142,13250.5
0.37,203.1875,3740.1875
0.38,277.09090909090907,13075.0
0.39,413.8333333333333,36630.916666666664
0.4,129.0,935.6
