evolution rate,length lived,species population time,population
0.19,58,139,2
0.384355,96,214,2
0.074998,88,142,1
0.189907,193,343,1
0.311614,1014,26409,26
0.378236,96,250,2
0.350749,66,102,1
0.261801,49,94,1
0.151077,351,14874,42
0.301581,407,22260,54
0.276176,59,108,1
0.231526,112,393,3
0.252608,940,47936,50
0.350928,79,100,1
0.244606,272,5520,20
0.373281,83,213,2
0.199143,3858,442703,114
0.152569,72,139,1
0.208545,330,3949,11
0.365559,90,256,2
0.063015,472,24675,52
0.120794,351,3893,11
0.351813,205,7168,34
0.197453,351,13774,39
0.08507,205,3019,14
0.090199,350,135538,387
0.111696,351,17856,50
0.213424,826,28117,34
0.09515,351,67190,191
0.130837,313,134201,428
0.396071,84,473,5
0.382247,78,113,1
0.137897,816,41821,51
0.180615,314,13901,44
0.095271,671,16952,25
0.319919,146,442,3
0.211738,111,511,4
0.058564,214,10263,47
0.378119,333,14669,44
0.056916,196,1132,5
0.177251,2493,205900,82
0.113674,818,71702,87
0.073288,1407,163093,115
0.290617,316,13078,41
0.291937,187,4644,24
0.365517,86,139,1
0.191451,3766,382052,101
0.212544,447,6839,15
0.193272,750,33915,45
0.119158,253,43052,170
0.353333,97,755,7
0.137982,185,1813,9
0.085523,332,14695,44
0.10408,145,6228,42
0.212131,344,4980,14
0.203168,666,44283,66
0.128477,703,111109,158
0.234378,167,787,4
0.2438,43,64,1
0.063772,546,17210,31
0.396063,692,132972,192
0.14675,248,1110,4
0.193578,421,10027,23
0.268517,118,151,1
0.271667,58,197,3
0.160641,66,87,1
0.392574,152,734,4
0.363065,101,388,3
0.100241,96,1016,10
0.239931,657,38842,59
0.244447,117,440,3
0.208849,133,347,2
0.330058,57,104,1
0.360539,142,529,3
0.381231,108,370,3
0.199068,255,6257,24
0.288464,588,107303,182
0.245943,812,31289,38
0.175137,658,106399,161
0.173164,703,52497,74
0.1492,351,27756,79
0.188387,1727,100499,58
0.137779,351,12279,34
0.05434,258,20195,78
0.16338,53,100,1
0.050721,351,45521,129
0.343899,72,96,1
0.388126,606,21587,35
0.090687,367,49422,134
0.118119,304,112584,370
0.199978,87,150,1
0.378952,75,89,1
0.299444,239,7281,30
0.277222,738,28926,39
0.149812,350,7658,21
0.255441,62,338,5
0.094132,351,13048,37
0.206671,96,105,1
0.117729,350,6978,19
0.149472,351,182345,519
0.218627,673,56701,84
0.108299,263,6443,24
0.369175,91,146,1
0.166452,222,1053,4
0.20328,91,252,2
0.118405,289,423,1
0.369902,181,4051,22
0.222393,516,26685,51
0.145228,99,161,1
0.128733,531,19447,36
0.235452,2461,206770,84
0.364487,223,2388,10
0.299339,185,2110,11
0.288995,688,135760,197
0.206402,847,43043,50
0.10608,358,19782,55
0.315163,311,7327,23
0.069723,203,6789,33
0.140346,119,458,3
0.292164,73,104,1
0.183419,187,3686,19
0.106706,351,29610,84
0.284228,609,19768,32
0.200682,52,91,1
0.131603,86,128,1
0.188007,244,713,2
0.226562,77,104,1
0.283932,121,361,2
0.170658,200,2183,10
0.296564,199,4914,24
0.245213,206,826,4
0.313733,68,140,2
0.244795,54,106,1
0.319982,1439,114540,79
0.289508,961,43059,44
0.283333,60,247,4
0.177791,388,34841,89
0.289005,953,63988,67
0.160769,89,2425,27
0.05994,364,29788,81
0.254675,100,147,1
0.081857,351,16886,48
0.386859,675,33010,48
0.14364,107,2349,21
0.104715,351,66995,190
0.089859,128,329,2
0.247103,307,3601,11
0.336003,59,89,1
0.200516,62,102,1
0.071699,271,810,2
0.12,198,2578,13
0.313283,307,12937,42
0.260155,74,98,1
0.305303,168,737,4
0.110248,352,48914,138
0.063511,351,24003,68
0.146766,377,15673,41
0.073064,260,3734,14
0.123023,350,62322,178
0.094604,323,5377,16
0.107742,290,59890,206
0.202543,61,116,1
0.205581,77,96,1
0.340844,643,26355,40
0.362622,99,487,4
0.391043,59,97,1
0.192481,1975,218949,110
0.104608,263,18913,71
0.305962,182,433,2
0.352874,85,156,1
0.276205,119,160,1
0.080022,369,18108,49
0.117825,61,97,1
0.316369,138,1870,13
0.189721,771,35800,46
0.078364,89,545,6
0.085546,158,1337,8
0.257732,85,272,3
0.170234,70,175,2
0.344717,57,86,1
0.194968,89,101,1
0.28486,730,35780,49
0.38407,128,960,7
0.208911,90,159,1
0.136711,703,88201,125
0.384817,67,102,1
0.351946,68,88,1
0.058155,144,741,5
0.095985,702,54145,77
0.367689,84,107,1
0.114274,350,82940,236
0.190554,87,191,2
0.112217,206,306,1
0.258169,1127,61142,54
0.098756,264,18797,71
0.055679,131,8595,65
0.068417,264,24259,91
0.0543,350,32452,92
0.115545,351,40566,115
0.104275,351,36701,104
0.192231,1591,97980,61
0.246453,71,136,1
0.36871,82,192,2
0.143333,48,93,1
0.077193,559,16376,29
0.125397,100,1326,13
0.102153,351,11387,32
0.132196,280,43615,155
0.0948,177,9796,55
0.218791,738,30614,41
0.101608,350,29360,83
0.195401,715,49129,68
0.212059,66,107,1
0.112572,382,6858,17
0.31911,81,109,1
0.286957,701,28313,40
0.197029,57,103,1
0.087689,119,270,2
0.106982,515,12396,24
0.294363,115,577,5
0.287374,103,160,1
0.318877,98,460,4
0.393607,116,199,1
0.247577,246,1330,5
0.382776,111,115,1
0.393435,238,6599,27
0.359057,64,112,1
0.098931,203,316,1
0.222354,3520,254919,72
0.142104,65,103,1
0.129937,350,95618,273
0.084207,354,35580,100
0.064548,351,7457,21
0.070037,110,4789,43
0.210098,159,1032,6
0.33444,319,1595,5
0.070137,690,51828,75
0.056112,352,33426,94
0.3593,124,256,2
0.366247,74,88,1
0.121507,321,30713,95
0.292273,258,1832,7
0.347273,104,394,3
0.071227,702,103417,147
0.298326,190,592,3
0.194856,512,20931,40
0.384915,236,2177,9
0.335082,595,98682,165
0.072466,290,78800,271
0.079693,343,16744,48
0.305266,66,151,2
0.136281,98,264,2
0.213333,458,5194,11
0.093198,182,642,3
0.240043,656,42579,64
0.211375,66,93,1
0.109744,431,36202,83
0.143333,758,162269,214
0.074169,351,28722,81
0.286155,351,9540,27
0.233008,351,18519,52
0.152103,264,3285,12
0.076772,276,13550,49
0.214486,40,44,1
0.385146,55,101,1
0.281932,310,4599,14
0.054462,257,18981,73
0.080716,351,27790,79
0.100579,350,19214,54
0.26,48,90,1
0.186125,12,32,2
0.232757,326,15262,46
0.219839,94,211,2
0.378053,184,845,4
0.339912,82,142,1
0.25486,60,83,1
0.219946,99,163,1
0.317778,289,1814,6
0.083507,305,38811,127
0.095919,276,13337,48
0.128071,351,19018,54
0.311365,81,140,1
0.102783,148,7659,51
0.067041,352,60723,172
0.077812,342,19252,56
0.106195,58,679,11
0.137933,559,98730,176
0.229493,693,100114,144
0.23395,70,160,2
0.071913,524,28783,54
0.126302,340,7538,22
0.07216,227,13331,58
0.292696,82,99,1
0.104746,90,872,9
0.32448,150,567,3
0.12133,217,3974,18
0.128506,601,39394,65
0.379006,117,442,3
0.293396,87,446,5
0.304065,100,150,1
0.33703,188,2107,11
0.270569,53,88,1
0.343001,702,70527,100
0.217798,1389,90408,65
0.112024,350,15015,42
0.099922,351,3068,8
0.189711,4001,431316,107
0.360316,514,15832,30
0.276676,332,6851,20
0.053889,351,64090,182
0.274398,1759,143625,81
0.233329,480,7253,15
0.262602,264,4385,16
0.293862,195,937,4
0.183199,636,51673,81
0.140761,60,92,1
0.145701,351,30247,86
0.083174,352,61901,175
0.063732,121,6900,57
0.124773,173,7054,40
0.103162,124,249,2
0.257875,59,69,1
0.326612,86,251,2
0.271717,669,81597,121
0.059236,161,5575,34
0.147024,351,17262,49
0.241698,114,564,4
0.210817,253,618,2
0.300156,91,153,1
0.197555,57,85,1
0.11071,351,78499,223
0.334952,709,36147,50
0.08098,383,57371,149
0.059432,255,4205,16
0.232409,306,1701,5
0.282721,159,1379,8
0.133249,351,77065,219
0.267987,91,197,2
0.313182,699,39861,57
0.105879,351,27573,78
0.144436,350,44317,126
0.110233,219,9528,43
0.083084,128,5134,40
0.341667,52,144,2
0.126331,352,33374,94
0.1081,352,130249,370
