enviorment change rate,master run,apex x,apex y,sigma left,sigma right,r2,equation
0.5,992,0.171,4001.0,0.05655642060816487,0.06498167163522325,-6.6136392630670695,y=4001*exp(-((x-0.171)^2)/(2*0.0565564^2)) for x<=0.171; y=4001*exp(-((x-0.171)^2)/(2*0.0649817^2)) for x>0.171
0.51,993,0.166,2977.0,0.048625603223735055,0.07430198354760671,-6.239753815952726,y=2977*exp(-((x-0.166)^2)/(2*0.0486256^2)) for x<=0.166; y=2977*exp(-((x-0.166)^2)/(2*0.074302^2)) for x>0.166
0.52,994,0.159,4001.0,0.043450339169360995,0.07236182366088764,-10.167971481220224,y=4001*exp(-((x-0.159)^2)/(2*0.0434503^2)) for x<=0.159; y=4001*exp(-((x-0.159)^2)/(2*0.0723618^2)) for x>0.159
0.53,995,0.082,3288.0,0.014984558285943892,0.10037113497339088,-7.034356146367241,y=3288*exp(-((x-0.082)^2)/(2*0.0149846^2)) for x<=0.082; y=3288*exp(-((x-0.082)^2)/(2*0.100371^2)) for x>0.082
0.54,996,0.164,3749.0,0.04786400104359232,0.07396809786258436,-8.721795154251883,y=3749*exp(-((x-0.164)^2)/(2*0.047864^2)) for x<=0.164; y=3749*exp(-((x-0.164)^2)/(2*0.0739681^2)) for x>0.164
0.55,997,0.189,3522.0,0.05785201307364896,0.06420932844253949,-9.605792098047486,y=3522*exp(-((x-0.189)^2)/(2*0.057852^2)) for x<=0.189; y=3522*exp(-((x-0.189)^2)/(2*0.0642093^2)) for x>0.189
0.56,998,0.06,4001.0,0.0037671822646810453,0.1071027897258333,-5.0829552263946205,y=4001*exp(-((x-0.06)^2)/(2*0.00376718^2)) for x<=0.06; y=4001*exp(-((x-0.06)^2)/(2*0.107103^2)) for x>0.06
0.57,999,0.178,4001.0,0.05128847457462133,0.06677216006831507,-10.4724842582629,y=4001*exp(-((x-0.178)^2)/(2*0.0512885^2)) for x<=0.178; y=4001*exp(-((x-0.178)^2)/(2*0.0667722^2)) for x>0.178
0.58,1000,0.251,3106.0,0.08114235170182353,0.04484572965145015,-11.415152982421715,y=3106*exp(-((x-0.251)^2)/(2*0.0811424^2)) for x<=0.251; y=3106*exp(-((x-0.251)^2)/(2*0.0448457^2)) for x>0.251
0.59,1001,0.158,3694.0,0.04495397274586023,0.0759384314539962,-11.525101182783159,y=3694*exp(-((x-0.158)^2)/(2*0.044954^2)) for x<=0.158; y=3694*exp(-((x-0.158)^2)/(2*0.0759384^2)) for x>0.158
0.6,1002,0.156,4001.0,0.04196245541872011,0.0739957937931706,-8.355819991643347,y=4001*exp(-((x-0.156)^2)/(2*0.0419625^2)) for x<=0.156; y=4001*exp(-((x-0.156)^2)/(2*0.0739958^2)) for x>0.156
0.61,1003,0.154,4001.0,0.04369070084999082,0.07421401486432742,-10.437983595672783,y=4001*exp(-((x-0.154)^2)/(2*0.0436907^2)) for x<=0.154; y=4001*exp(-((x-0.154)^2)/(2*0.074214^2)) for x>0.154
0.62,1004,0.203,3882.0,0.06010223733251552,0.05985876999623173,-9.656862469395389,y=3882*exp(-((x-0.203)^2)/(2*0.0601022^2)) for x<=0.203; y=3882*exp(-((x-0.203)^2)/(2*0.0598588^2)) for x>0.203
0.63,1005,0.188,4001.0,0.052829652900794034,0.06367449822670035,-13.298609429789694,y=4001*exp(-((x-0.188)^2)/(2*0.0528297^2)) for x<=0.188; y=4001*exp(-((x-0.188)^2)/(2*0.0636745^2)) for x>0.188
0.64,1006,0.191,3171.0,0.057369236409252636,0.0663073985944729,-8.823745979288443,y=3171*exp(-((x-0.191)^2)/(2*0.0573692^2)) for x<=0.191; y=3171*exp(-((x-0.191)^2)/(2*0.0663074^2)) for x>0.191
0.65,1007,0.182,3298.0,0.05193088680568838,0.06621211226623082,-8.970588837790794,y=3298*exp(-((x-0.182)^2)/(2*0.0519309^2)) for x<=0.182; y=3298*exp(-((x-0.182)^2)/(2*0.0662121^2)) for x>0.182
0.66,1008,0.158,4001.0,0.041997298248289995,0.07279128222236346,-10.997897546288378,y=4001*exp(-((x-0.158)^2)/(2*0.0419973^2)) for x<=0.158; y=4001*exp(-((x-0.158)^2)/(2*0.0727913^2)) for x>0.158
