evo rate,enviormentChangeRate,fitness
0.05,0.5,1363.2
0.051,0.5,1301.8333333333333
0.052,0.5,1315.142857142857
0.053,0.5,890.3333333333334
0.054,0.5,1244.75
0.055,0.5,951.0
0.056,0.5,629.5714285714286
0.057,0.5,909.5
0.058,0.5,998.0
0.059,0.5,1369.3333333333333
0.06,0.5,2449.5
0.061,0.5,1284.1666666666667
0.062,0.5,1095.5
0.063,0.5,949.4
0.064,0.5,667.1428571428571
0.065,0.5,1322.5
0.066,0.5,1001.0
0.067,0.5,1415.4
0.068,0.5,1526.6666666666667
0.069,0.5,1581.0
0.07,0.5,974.3333333333334
0.071,0.5,566.3333333333334
0.072,0.5,973.5
0.073,0.5,896.3333333333334
0.074,0.5,959.25
0.075,0.5,737.5
0.076,0.5,1742.0
0.077,0.5,949.2
0.078,0.5,881.0
0.079,0.5,693.0
0.08,0.5,1498.75
0.081,0.5,885.75
0.082,0.5,935.4
0.083,0.5,736.6666666666666
0.084,0.5,800.3333333333334
0.085,0.5,1756.8333333333333
0.086,0.5,999.0
0.087,0.5,800.5
0.088,0.5,1255.0
0.089,0.5,2404.0
0.09,0.5,662.6666666666666
0.091,0.5,1056.6
0.092,0.5,1261.857142857143
0.093,0.5,1104.3333333333333
0.094,0.5,1000.0
0.095,0.5,922.0
0.096,0.5,1414.6666666666667
0.097,0.5,1636.6
0.098,0.5,1674.5
0.099,0.5,930.0
0.1,0.5,760.5
0.101,0.5,917.0
0.102,0.5,1999.0
0.103,0.5,1057.0
0.104,0.5,1175.6666666666667
0.105,0.5,581.75
0.106,0.5,370.0
0.107,0.5,795.5
0.108,0.5,1998.0
0.109,0.5,838.25
0.11,0.5,1049.2
0.111,0.5,216.0
0.113,0.5,728.4
0.114,0.5,1042.0
0.116,0.5,962.0
0.117,0.5,470.0
0.119,0.5,689.0
0.12,0.5,1209.5
0.122,0.5,961.5
0.123,0.5,1126.2
0.125,0.5,2999.0
0.127,0.5,578.0
0.128,0.5,656.0
0.129,0.5,926.5
0.13,0.5,815.5
0.131,0.5,482.0
0.132,0.5,413.6666666666667
0.133,0.5,995.0
0.134,0.5,864.0
0.136,0.5,569.3333333333334
0.137,0.5,796.5
0.138,0.5,1199.0
0.139,0.5,713.0
0.141,0.5,473.5
0.142,0.5,831.5
0.143,0.5,397.0
0.144,0.5,998.0
0.145,0.5,304.5
0.147,0.5,585.0
0.15,0.5,1414.5
0.151,0.5,903.0
0.152,0.5,999.0
0.153,0.5,800.5
0.154,0.5,1678.0
0.155,0.5,844.6666666666666
0.156,0.5,889.5
0.157,0.5,2998.0
0.158,0.5,616.0
0.159,0.5,760.6666666666666
0.16,0.5,999.0
0.161,0.5,1032.5
0.162,0.5,1607.0
0.163,0.5,292.3333333333333
0.164,0.5,144.0
0.165,0.5,1867.0
0.166,0.5,3549.0
0.17,0.5,2991.0
0.171,0.5,3618.0
0.174,0.5,157.0
0.175,0.5,798.5
0.183,0.5,80.0
0.187,0.5,3587.0
0.188,0.5,1001.0
0.19,0.5,1286.0
0.197,0.5,20.0
0.2,0.5,445.5
0.202,0.5,477.0
0.204,0.5,721.0
0.207,0.5,32.0
0.209,0.5,777.0
0.213,0.5,157.33333333333334
0.214,0.5,222.0
0.217,0.5,289.0
0.219,0.5,1972.0
0.22,0.5,78.0
0.223,0.5,131.0
0.227,0.5,396.0
0.228,0.5,97.0
0.234,0.5,113.0
0.235,0.5,1043.3333333333333
0.24,0.5,500.0
0.241,0.5,1745.0
0.242,0.5,100.0
0.243,0.5,87.0
0.244,0.5,57.0
0.248,0.5,49.0
0.25,0.5,76.0
0.251,0.5,724.5
0.256,0.5,938.0
0.257,0.5,78.0
0.258,0.5,129.0
0.262,0.5,56.0
0.264,0.5,113.0
0.268,0.5,1004.5
0.269,0.5,583.0
0.272,0.5,1449.0
0.273,0.5,315.5
0.277,0.5,92.0
0.281,0.5,785.0
0.283,0.5,162.0
0.286,0.5,147.0
0.294,0.5,70.0
0.296,0.5,151.0
0.298,0.5,315.0
0.299,0.5,1081.0
0.303,0.5,276.5
0.306,0.5,194.0
0.307,0.5,59.0
0.311,0.5,114.0
0.312,0.5,220.0
0.313,0.5,89.0
0.317,0.5,736.0
0.327,0.5,153.0
0.33,0.5,68.0
0.331,0.5,270.0
0.332,0.5,176.0
0.333,0.5,113.0
0.337,0.5,335.0
0.341,0.5,344.5
0.342,0.5,50.0
0.344,0.5,110.0
0.346,0.5,67.0
