evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,998.0,115286.0
0.051,1270.2,112175.0
0.052,1021.5,104723.0
0.053,424.1666666666667,25562.166666666668
0.054,1062.75,93493.75
0.055,722.5,53627.25
0.056,941.0,76714.0
0.057,758.0,61045.666666666664
0.058,230.5,11124.0
0.059,1745.0,415551.0
0.06,999.0,67437.0
0.061,811.5,62228.75
0.062,1085.4,135099.0
0.063,734.0,61130.75
0.065,686.5,36163.0
0.066,1086.4,92097.6
0.067,781.6666666666666,60635.666666666664
0.068,916.0,132792.0
0.069,1006.7142857142857,160599.85714285713
0.07,1723.0,117304.0
0.071,772.6666666666666,95649.33333333333
0.072,692.5,41557.75
0.073,986.25,60841.0
0.075,999.0,101234.0
0.076,689.3333333333334,44821.0
0.077,1021.0,221611.33333333334
0.078,626.0,36779.75
0.079,561.3333333333334,33183.666666666664
0.08,1381.5,107569.0
0.081,169.66666666666666,9416.666666666666
0.082,473.25,33020.5
0.083,731.5,53604.0
0.084,601.6666666666666,62153.333333333336
0.085,1130.8,78365.6
0.086,706.75,54540.0
0.087,598.5,30852.5
0.088,602.0,46123.0
0.089,1317.25,126491.0
0.09,1211.4,168976.2
0.091,668.0,47494.5
0.092,1083.2,120347.2
0.093,636.0,34814.0
0.094,1000.0,193219.0
0.095,248.0,13290.0
0.096,1283.8333333333333,167498.5
0.097,706.0,130191.0
0.098,957.5,101056.0
0.099,919.8571428571429,129595.57142857143
0.1,1288.25,109595.5
0.101,644.0,43588.666666666664
0.102,947.6666666666666,96244.0
0.103,547.0,28803.0
0.104,1110.5,202171.0
0.105,959.0,87993.0
0.106,662.8,90468.6
0.107,1773.0,226912.0
0.108,1375.5,162719.5
0.109,1000.0,125101.0
0.11,757.3333333333334,54818.333333333336
0.112,206.0,563.0
0.113,709.0,57957.0
0.114,664.0,70308.66666666667
0.115,731.5,126004.5
0.116,806.0,91416.0
0.117,699.3333333333334,48488.0
0.118,2245.0,158115.0
0.119,1929.0,253081.0
0.12,863.0,54974.666666666664
0.121,720.0,71422.33333333333
0.122,458.0,33801.0
0.123,997.0,167932.0
0.125,618.0,74822.66666666667
0.126,588.5,43051.5
0.128,530.5,61647.5
0.129,643.75,51505.0
0.13,1333.5,136457.5
0.131,641.3333333333334,78080.33333333333
0.132,346.0,20355.0
0.134,696.0,25081.0
0.135,999.0,69241.0
0.137,835.0,45939.0
0.138,871.5,36406.0
0.139,710.0,49578.0
0.142,2999.0,266466.0
0.143,248.0,6770.0
0.144,999.0,60043.0
0.145,484.5,28171.25
0.146,998.0,46748.0
0.148,1046.5,82330.5
0.149,596.0,92974.0
0.15,100.0,265.0
0.151,1306.5,124640.5
0.153,1000.0,257139.0
0.155,192.0,2332.0
0.157,3010.0,241184.0
0.158,1973.0,154378.0
0.159,92.0,197.0
0.16,400.0,3508.0
0.164,1999.0,197061.0
0.165,1000.0,112724.0
0.166,266.0,8081.0
0.167,3923.0,342802.0
0.169,2418.0,241100.5
0.17,309.0,19345.0
0.171,3462.0,338961.0
0.173,702.5,32898.5
0.174,1207.0,74913.0
0.175,999.0,45172.0
0.176,141.0,249.0
0.178,2585.0,129622.0
0.182,231.5,2041.5
0.185,59.0,85.0
0.186,67.0,134.0
0.189,415.0,18987.0
0.192,2250.5,153221.0
0.194,2424.0,250180.5
0.197,723.0,24495.0
0.2,2086.0,120762.0
0.204,2268.0,233855.0
0.209,1546.0,87796.0
0.211,652.0,14499.0
0.213,855.0,109007.0
0.215,74.0,147.0
0.216,1276.5,76369.0
0.217,124.0,908.0
0.218,97.0,460.0
0.22,166.0,1302.0
0.221,1133.0,54144.0
0.223,1327.0,91640.0
0.224,92.0,225.5
0.225,184.0,638.0
0.226,586.0,140680.0
0.233,909.0,176997.0
0.234,92.0,288.0
0.235,261.5,44260.0
0.237,1177.0,181827.0
0.244,113.0,458.0
0.246,567.0,15111.0
0.25,112.0,344.0
0.254,82.0,108.0
0.258,351.0,7246.0
0.26,591.0,11612.5
0.264,459.0,11485.0
0.265,253.0,1190.0
0.266,1368.0,99648.0
0.267,776.0,137871.0
0.269,91.0,126.0
0.27,169.0,2597.5
0.273,236.0,3999.0
0.277,334.0,9418.0
0.278,138.0,356.0
0.282,109.0,343.0
0.285,392.0,13279.0
0.29,85.0,142.0
0.291,62.0,127.0
0.296,102.0,444.3333333333333
0.297,157.0,2339.0
0.3,679.6666666666666,83423.0
0.304,384.5,42087.0
0.309,98.0,153.0
0.31,85.5,152.0
0.313,79.0,197.0
0.314,89.0,142.0
0.315,148.0,676.0
0.327,94.0,345.0
0.328,421.0,23247.0
0.334,567.0,23035.0
0.335,247.0,12536.0
0.336,74.0,96.0
0.344,47.0,81.0
0.346,101.0,208.0
0.349,91.0,164.0
0.35,84.0,156.0
0.351,129.0,539.0
0.353,60.0,118.0
0.354,458.0,16667.0
0.355,56.0,102.0
0.357,90.0,527.0
0.36,84.0,100.0
0.362,248.0,1365.0
0.363,63.0,145.0
0.366,133.0,485.0
0.369,130.0,374.0
0.37,72.0,115.0
0.374,94.0,169.0
0.376,69.0,98.0
0.378,468.0,17328.0
0.381,96.5,156.0
0.384,70.5,101.5
0.388,455.0,3828.0
0.391,431.0,6005.0
0.398,436.0,7914.0
