evolution rate,geometric mean length lived,geometric mean species population time
0.05,387.66462491308334,19254.598302658444
0.06,563.1471809275608,32035.694716209753
0.07,464.5926391259312,56225.82472070133
0.08,257.0,13599.000000000007
0.09,457.31549432550906,42028.997461923274
0.1,660.3983646254736,35920.99004760308
0.11,206.2498484847928,5519.8148519674105
0.12,162.06347185428407,2384.7236606855745
0.13,440.1001390534783,24954.224592063663
0.14,498.00000000000006,42590.0
0.15,522.2785857042707,52491.44600426645
0.16,424.1684909445761,45764.46511627688
0.18,145.42008114424914,1461.7533991751143
0.19,187.92210444280775,1650.811105344545
0.2,179.0,312.00000000000006
0.21,166.49324310613932,1367.3850957210261
0.22,201.45470955031058,1090.1110035221182
0.24,250.87247756579436,5568.670936588009
0.25,259.27361354134354,2219.598076738438
0.27,175.0,980.0000000000002
0.29,56.99999999999999,241.0
0.3,92.0,157.0
0.31,321.4902797908515,2713.8662457829414
0.33,28.000000000000004,71.0
0.34,127.34693409053281,1005.3187672271432
0.36,365.0,16821.999999999993
0.37,124.0,206.0
0.38,93.0,158.0
0.39,147.0,1700.0
