evolution rate,geometric mean length lived,geometric mean species population time
0.05,412.0,31305.99999999999
0.05,393.4971410315454,33878.31374197953
0.05,532.5173703253868,44239.929800052516
0.05,499.9999999999999,33991.0
0.05,705.6925676241746,64121.35369750079
0.05,192.35384061671346,9152.126802006183
0.051,880.9794535258559,130261.84610029322
0.051,416.4208327639643,44413.69331743693
0.051,498.49974924768014,84593.26106138712
0.051,564.7291914800371,49323.28842580431
0.051,164.0,8606.0
0.052,1145.0,100524.00000000003
0.052,531.5634752305597,46015.448835112664
0.052,312.6570943484704,33781.36180588664
0.052,499.0,69023.00000000003
0.052,524.6503597635286,52294.594175688966
0.053,230.08696774167893,12022.011175389935
0.053,719.0,139302.99999999994
0.053,619.839419248922,69611.07137834551
0.053,335.5698861538233,15641.689876579574
0.053,275.99999999999994,15362.999999999995
0.053,425.57101561946433,16226.43930286615
0.054,540.2915879411782,42316.06968989439
0.054,628.070432753826,105923.40213693432
0.054,377.7750653497395,21829.46174324965
0.054,285.6151256498857,13921.55932358154
0.054,168.8194301613413,2346.6518702185035
0.055,339.2145100968763,18174.895506908833
0.055,179.0,7528.000000000003
0.055,499.9999999999999,93035.00000000001
0.055,337.99999999999994,37565.0
0.056,498.49974924768014,53685.05518298366
0.056,421.27854350227693,26837.783168272654
0.056,559.9317433814363,88556.55275169133
0.056,397.69726058320913,17728.408513645933
0.056,354.8464456634728,23888.094021918107
0.057,388.0,38471.000000000015
0.057,260.1674660763894,3819.9167213874275
0.057,258.89434329275787,7506.094734686289
0.057,102.0,329.0
0.057,686.6789642911745,59473.542840493334
0.058,281.91752697818157,8520.414665873832
0.058,366.6561135622041,47441.72141589133
0.058,498.00000000000006,36785.0
0.058,499.0,34358.99999999999
0.058,582.4141467056304,45175.48428649988
0.058,321.0,11050.000000000004
0.059,316.3036515755074,17419.120012216452
0.059,501.0,81601.00000000003
0.059,498.49974924768014,79807.22533079317
0.059,331.99999999999994,24377.000000000007
0.059,557.8596016295799,44280.47402147623
0.059,536.0657684575348,29218.43609539456
0.06,493.469350618658,27067.339359456815
0.06,500.0994029932058,37713.07605611545
0.06,414.8986523699038,13264.449118523922
0.06,278.7383714910152,20655.116293948016
0.06,525.0,22613.99999999999
0.06,457.5802361588127,34817.07422087978
0.061,781.0000000000001,55588.000000000015
0.061,448.1963855275944,82047.98432624659
0.061,462.5125961020381,45373.051339469646
0.061,498.9989979949859,99115.34621843374
0.061,1225.3570908106744,92381.22136018769
0.061,432.57947246719874,23721.702236559653
0.062,499.0,40503.00000000001
0.062,807.7026811854502,152344.7658155882
0.062,629.9995002935483,98913.64566460026
0.062,25.0,364.00000000000006
0.062,680.8347817202056,55598.90632017865
0.063,507.5364983012314,25283.863462667705
0.063,490.35927281757426,102043.05882075499
0.063,190.0,14196.999999999995
0.063,498.4977432245807,63800.899703687595
0.063,837.257427557379,84520.36464663417
0.064,474.739725183949,40674.03836828201
0.064,620.4575426810942,47066.75643076044
0.064,411.7037770047781,34671.96748094923
0.064,526.0063457434001,84843.7132607767
0.064,434.4581441864005,49434.10515932427
0.064,543.4280081114701,48889.41552115346
0.065,499.0,76379.99999999997
0.065,361.4000553403389,15526.097610153036
0.065,265.26625127582207,14457.845802128697
0.065,499.9999999999999,59048.434814142216
0.065,349.0,9285.0
0.066,452.86753029997635,44778.92608136109
0.066,302.55047765432124,38476.60934421784
0.066,681.1079209640714,63477.367636032344
0.066,358.02268559363006,25385.043605447856
0.066,499.0,52320.000000000015
0.066,614.5120015101414,89587.3650466404
0.067,631.4277472522094,80958.33916280643
0.067,568.1911630067642,43322.258197930234
0.067,490.9500992972708,73636.4598823165
0.067,225.99999999999997,37475.99999999999
0.067,203.2289349477579,3151.705411360648
0.068,213.3187568708078,3583.1107191696256
0.068,362.1439680025299,11030.565988775174
0.068,135.92645070036957,6210.016425099051
0.068,483.42941573718906,41322.5615130524
0.069,459.14853643477124,43592.83484336085
0.069,515.2358683166382,70672.28704379109
0.069,468.8852409773206,62426.81403128871
0.069,228.89954128394407,18228.2315379194
0.069,374.33641949020483,22336.758588935536
0.07,353.5678641633235,22313.020541413807
0.07,499.0,106592.0
0.07,596.5271599745183,97579.22623717273
0.07,303.0,63540.00000000002
0.07,499.0,68809.99999999999
0.07,426.90748412273126,38465.875786208235
0.071,377.3963433845114,72015.46114550685
0.071,829.75900115636,40077.7800033884
0.071,486.00000000000006,42651.000000000015
0.071,466.05431433871394,29368.243001218776
0.072,280.61886923344395,7951.301512405661
0.072,483.2092613594742,30078.590882548626
0.072,421.0486907710319,16374.633736361859
0.072,295.48261918166685,10798.320535638419
0.072,147.44692526912627,12166.450446329556
0.073,352.3880063958758,34967.26880461972
0.073,498.00000000000006,37013.99999999999
0.073,750.2479590108861,39177.78263250741
0.073,386.20177464746587,36479.98421271971
0.073,492.16663844677646,41745.760503313395
0.073,516.7517786019293,37157.807331234224
0.074,403.09304136886306,7500.3551915892585
0.074,999.0,126446.00000000003
0.074,508.3989248747292,57915.88152747971
0.074,499.0,77757.00000000001
0.074,550.930984324267,65141.8012176785
0.074,444.08107367912,91819.31600703641
0.075,499.499749749687,47308.12809655439
0.075,285.8942018247526,7257.800000192678
0.075,498.49974924768014,41652.17113188699
0.075,183.83144453547655,3484.1538427572336
0.075,998.9994994993742,76801.28873918716
0.075,486.4318990092234,30369.738023766797
0.076,600.918295431333,42957.06595022412
0.076,482.70073544588683,82418.16825190917
0.076,189.07670401189037,10895.84347354531
0.076,342.00000000000006,24181.000000000007
0.076,389.8717737923585,63584.58577359769
0.077,1220.4544235652556,128660.5672340986
0.077,328.3047364873069,19429.98620689165
0.077,343.0410635727559,23328.774014635776
0.077,268.0,19793.000000000007
0.077,566.4484525814105,33685.37283607784
0.077,810.7663041838874,105770.11491910179
0.078,499.9999999999999,145699.00000000006
0.078,234.97135014947278,30920.698687196942
0.078,499.9999999999999,183190.99999999994
0.078,763.5521769011975,24500.28150796976
0.078,499.499749749687,73459.14706828551
0.078,499.0,30126.000000000004
0.079,141.8273598428738,2612.5665541761805
0.079,499.0,265083.0
0.079,669.1487129181376,75773.39197897901
0.079,349.7430441072576,23238.77812056047
0.079,510.7768100057733,36406.593772754866
0.08,133.89548162652838,7891.064947141167
0.08,706.4608749680723,35344.90132341285
0.08,435.9054243655434,41907.97333440454
0.08,470.5365097398268,51157.0243735041
0.08,498.9993319964338,66699.29218019085
0.081,356.69964301422783,34752.31628057849
0.081,331.28537546954885,22332.58381826877
0.081,696.7704199261725,54695.524686889374
0.081,75.0,417.0
0.081,552.896011922676,30850.522297037383
0.082,414.0142763869608,42585.95952973024
0.082,415.9326868617085,28988.055471176405
0.082,395.4580205418155,33130.78548917975
0.082,412.1277494834247,20121.88391571106
0.082,498.00000000000006,56771.822288878524
0.083,268.9888473524507,9325.174207488028
0.083,348.0,20290.999999999993
0.083,480.8829494877677,42745.35818583486
0.083,409.99999999999994,147612.00000000006
0.083,498.9989979949859,75125.04340098577
0.083,533.2360558345977,51137.75092101764
0.084,498.9989979949859,76357.09228355937
0.084,376.9461280897112,14842.535414277674
0.084,121.0,10368.999999999996
0.084,398.97522092004715,46735.31298284946
0.084,258.0,11433.000000000004
0.085,506.9368797000275,50523.63610232344
0.085,312.59924659852976,27557.099827839556
0.085,173.20508075688772,12788.211368287586
0.085,260.0,14925.0
0.085,397.89993738804037,26950.715606053483
0.086,610.3186680394026,34210.73401013888
0.086,531.9473658173334,57259.39773521899
0.086,353.3649840125604,29130.626662471
0.086,640.2374559489627,51514.785877454655
0.086,330.99848942253504,21040.41161669609
0.086,282.0,9141.0
0.087,499.0,86677.00000000001
0.087,810.5763381693299,82953.08851995808
0.087,214.26152244395163,9426.21779930848
0.087,337.0,27108.00000000001
0.087,657.698259082385,63622.09416547057
0.087,295.03050689716815,18104.13726196308
0.088,229.15335523663646,21133.756632304463
0.088,228.36983873332093,16671.830946385533
0.088,452.86753029997635,39408.28699651891
0.088,555.7503364711001,31983.548409502946
0.088,499.0,68931.00000000001
0.088,309.0,3137.0
0.089,499.9999999999999,195333.99999999994
0.089,526.0000000000001,87747.00000000001
0.089,389.99999999999994,18302.000000000004
0.089,445.6455991031438,7739.366640752978
0.089,546.3540329377579,42891.71357288134
0.09,604.8991877193899,53037.844177178704
0.09,660.5172712533563,95088.16907073878
0.09,530.754180388624,67262.10059907439
0.09,344.1235243339229,3793.2308129087005
0.09,599.2446257919187,80084.99599279983
0.09,706.7531393633848,40293.32450915412
0.091,421.43277057561664,20914.61699241622
0.091,400.6720947593549,31257.88211601759
0.091,624.6980506260129,78478.03461883978
0.091,644.0263080311494,40676.913050728384
0.091,413.063426951898,12745.505800230096
0.092,103.0,231.0
0.092,492.1200392297597,35269.81895847224
0.092,498.49974924768014,70337.64330001394
0.092,235.2232981658067,22955.289346902166
0.092,203.35990575118257,5471.336930669924
0.093,415.00000000000006,57951.00000000001
0.093,254.66841186138498,12264.37442350811
0.093,343.39506966579887,19731.9683680308
0.093,676.8751731301719,43718.609721719164
0.093,628.6997622657872,38742.83104965694
