evolution rate,geometric mean length lived,geometric mean species population time
0.05,419.6488258260346,31569.4742176312
0.051,414.81832200218315,31263.41707395874
0.052,407.5723228603983,28803.659049366754
0.053,428.08616825019436,33294.83452277942
0.054,410.05406904850565,29210.064693737506
0.055,418.42132937270173,30646.74114803093
0.056,397.86878326486175,29768.791792694297
0.057,411.961214083115,29191.646842681854
0.058,435.16799589666783,32882.57118789821
0.059,421.7790985244223,31354.33123816003
0.06,411.34798242561163,29079.090747606682
0.061,426.4337234537949,33559.72736503463
0.062,425.491324239402,31209.761867366524
0.063,418.1489038858576,29756.15199599397
0.064,408.57443693388086,31507.4320422706
0.065,400.8451554330578,29121.66250814854
0.066,411.3904991889814,31703.425936467225
0.067,426.49556642768147,33376.49297631519
0.068,423.2206527016216,30547.687522807326
0.069,427.2269534261162,33367.504536396766
0.07,409.72266415892807,30052.747490350317
0.071,410.76761088758013,29964.97820127699
0.072,424.84975662069155,32761.135612861257
0.073,416.4281181244971,31583.64824239569
0.074,413.33497393052073,30931.842109010002
0.075,444.3140438648708,35335.44418279631
0.076,425.1020211290198,32159.847063141653
0.077,448.77355537972915,34741.82652208212
0.078,428.5957165575165,33747.38653965614
0.079,435.2715741708846,34185.04475036766
0.08,450.5445885844174,34987.99743674509
0.081,422.9180386776715,34356.0628410209
0.082,405.5637260027851,30836.585655395156
0.083,422.12967354841345,31654.407411819877
0.084,423.203568863981,31433.080059575525
0.085,435.3735678647711,33211.20895638299
0.086,403.53208250316663,29557.314054582395
0.087,426.2337169887385,32007.335389263757
0.088,414.13862048918884,29810.766120115575
0.089,426.1078195225102,31857.445101021047
0.09,425.0631174264672,31846.611396969376
0.091,410.5960299289995,32035.678866966566
0.092,403.4179063810801,29231.45013694286
0.093,418.3345504818738,29961.290835449934
0.094,404.52087038516254,28852.72319808157
0.095,433.2345696979012,31775.15797904024
0.096,426.4184861814619,32562.809615993236
0.097,406.1849054493651,26203.41274165684
0.098,412.00404195030416,29295.184677510435
0.099,439.27367710094245,33669.63830640518
0.1,426.85993549059174,29376.42886088589
0.101,428.61389783638214,30374.022408528588
0.102,411.7605050800541,26709.62435868152
0.103,421.96992102250556,28390.83934997449
0.104,403.8513740472257,25847.26823197202
0.105,415.3463851747558,29412.427971134115
0.106,408.0671238355893,26592.44717235674
0.107,417.4770505169762,28274.190690498148
0.108,408.935327752165,28079.609637125857
0.109,422.24235492960736,29085.28452671633
0.11,439.2021712858145,31798.510622657774
0.111,406.87231187546394,26705.25209745637
0.112,412.8664065883356,28409.315635119863
0.113,397.43937179695996,24419.450633981236
0.114,398.80529832880273,23976.036067441368
0.115,413.3851997527038,27142.833636414434
0.116,399.2127692720069,23663.87675563769
0.117,410.4053900331107,28014.48074695893
0.118,411.43952974685004,27044.255007492713
0.119,405.3812922697291,26138.427760765982
0.12,408.0758643467374,24376.404227225255
0.121,382.97396088918106,23223.306739627613
0.122,406.36037668190295,25081.05930990189
0.123,413.16261983238974,25282.162811066668
0.124,393.094640421393,23173.266089587436
0.125,404.0700120957984,24494.893490682087
0.126,411.09358529378824,25591.40171165631
0.127,404.4456466030014,24739.358303965153
0.128,423.59998677686866,24723.64530129593
0.129,388.6521563937143,21201.243451907863
0.13,430.580435919525,26733.808363018183
0.131,377.052266113008,20292.04544007764
0.132,385.77660040361803,18889.863578715453
0.133,366.9339252203775,17724.23849145265
0.134,385.53892309049775,21616.705081011725
0.135,418.8519369474526,23357.878075977394
0.136,387.3737083381078,18867.778747851044
0.137,405.8569674249336,23441.54895816107
0.138,407.4562918064141,22260.710015000946
0.139,371.8276752310013,19308.49269224297
0.14,367.27009932170984,17797.788927146885
0.141,371.89528157007487,18978.09395696553
0.142,395.3634420613451,21914.641834296584
0.143,370.90605191281753,18145.364599082033
0.144,392.22498650582503,21435.702819833416
0.145,394.3991586073528,22954.753479347273
0.146,372.00009493599697,17074.852860363804
0.147,405.1798771187819,22273.443706524162
0.148,381.67176110158016,19717.41095205717
0.149,370.0457133140678,16811.974335851377
0.15,424.2241331527737,23764.4335994843
0.151,381.4718155273731,18079.461756519297
0.152,358.277166280901,15816.002221457025
0.153,414.66924722802236,21038.07618970132
0.154,410.91773888979003,18826.23470424769
0.155,435.4912440598366,22789.55683565283
0.156,421.5982241394089,19615.550565951926
0.157,410.77037113489456,19711.241370323
0.158,432.25837099178995,20260.00975895024
0.159,467.0140261500398,22552.845433825074
0.16,434.15592733966736,19734.77756325791
0.161,419.310325271975,17931.716947585977
0.162,457.5024193412579,22037.783484930587
0.163,503.5019003774897,25231.976809435713
0.164,429.9076792188301,17355.323245094016
0.165,451.52517682310673,19711.014083759037
0.166,464.56583910049443,20940.75759350555
0.167,445.590099034962,16558.30527964254
0.168,432.6614029579421,17763.022829930593
0.169,498.8614127931789,20720.4206134338
0.17,453.21944756502705,18553.496481000857
0.171,506.59212509414937,21715.777111875377
0.172,445.5399611824438,17296.742657251147
0.173,423.12322807811444,14603.056413010625
0.174,422.113736879696,13798.011770171803
0.175,497.4025063505426,18782.23861569637
0.176,420.93042216972634,13174.953574142575
0.177,428.1781497254397,13834.497259751122
0.178,407.46703293544056,10949.409769356103
0.179,438.1291208941145,14427.43457424174
0.18,425.5166961248758,13812.331740555688
0.181,418.93898801307057,12395.111516640136
0.182,411.91518600187703,13376.564738255733
0.183,427.3933636534413,12673.025055900134
0.184,441.4787509734623,13348.360098087147
0.185,512.3938157353268,19114.49437425685
0.186,461.28271874129314,15417.154193312126
0.187,442.13873935964614,14505.219991988582
0.188,429.06386049405285,13772.429763665215
0.189,415.7434369932335,12930.634893031594
0.19,414.60143479175696,11518.920031660042
0.191,444.00704553619096,14129.093627304746
0.192,461.86685647252614,14252.613964055885
0.193,420.364263735215,11972.05368412764
0.194,383.19650388280456,8837.809443008302
0.195,396.4402929043784,10386.681635434286
0.196,410.14061439839634,11873.344418152261
0.197,485.53764085305045,16111.316497830185
0.198,393.8735442670998,9584.868947383755
0.199,387.13412370601236,9131.137120022104
0.2,485.15866166101074,16510.392219152003
0.201,364.64138434168484,8889.903590072608
0.202,415.44392618957477,9428.256031687633
0.203,393.2060557695952,9426.01935951554
0.204,434.82638644919183,11529.374693466112
0.205,355.15075467998736,8395.521988027529
0.206,351.47694303026924,7440.954447431167
0.207,406.45541225849706,8858.631101187144
0.208,340.5315075301051,6478.5643427459945
0.209,347.11160372352975,7176.393212684169
0.21,308.98337099574655,5773.851115121204
0.211,336.27767885430757,6453.500761253474
0.212,353.9538338789262,7839.272627042012
0.213,339.94158022639124,6238.974293680866
0.214,402.7726008161467,9222.105001437712
0.215,363.1859288196817,7901.72854461253
0.216,341.15440299422045,7086.645366063813
0.217,332.194542117493,6461.095485416985
0.218,365.91661915918945,7645.017648545733
0.219,387.4772843321447,7999.234426825024
0.22,348.54573205004635,6587.191314826808
0.221,383.99399959852883,8647.629030084463
