evolution rate,geometric mean length lived,geometric mean species population time
0.05,113.78927893259541,3542.0434779940238
0.05,499.0,32553.000000000007
0.051,499.0,265274.99999999994
0.051,999.0,58732.000000000015
0.051,434.99999999999994,69936.99999999999
0.051,330.0,3375.0
0.052,499.9999999999999,153928.0
0.052,173.0,4902.000000000001
0.053,106.0,7627.000000000003
0.053,269.9148013725813,17315.772232274256
0.053,464.00000000000006,68875.99999999997
0.054,235.0,15497.999999999998
0.054,623.3867178565806,27837.580336660005
0.055,499.0,28886.000000000015
0.055,485.3122706052258,51891.94493367928
0.055,593.0,239701.00000000003
0.056,171.44678474675456,4711.279550185914
0.057,464.06680553558226,32556.421747483233
0.057,409.85326892970556,23790.264511649235
0.057,139.74619851716895,5334.07461515116
0.057,730.0000000000001,61670.000000000015
0.058,499.0,37787.00000000001
0.059,321.0,28338.999999999993
0.059,473.00000000000006,32157.00000000001
0.059,1000.0000000000002,62263.000000000015
0.059,499.0,92755.99999999997
0.06,507.920269333682,91509.27952945538
0.06,499.0,131827.00000000003
0.06,218.00000000000003,8084.0
0.061,498.00000000000006,36046.0
0.061,495.0,112656.00000000004
0.062,996.9999999999999,147043.99999999997
0.062,162.0,12987.999999999996
0.062,499.0,44629.00000000001
0.063,308.0,20422.0
0.064,786.0,51961.00000000002
0.065,383.00000000000006,143739.00000000006
0.066,40.0,1832.9999999999995
0.066,431.5553266963577,69346.73406152592
0.066,1000.0000000000002,212520.99999999997
0.067,999.0,49842.00000000001
0.068,609.0,65860.0
0.068,701.1952369053397,93634.63020413175
0.069,499.9999999999999,31724.0
0.07,504.0,61394.00000000001
0.07,444.37596694690865,39868.36008666522
0.07,499.9999999999999,39868.00000000001
0.07,167.0,9705.000000000004
0.071,498.00000000000006,53048.00000000002
0.072,81.0,2660.000000000001
0.072,347.0,12752.000000000002
0.072,486.3126566315132,60038.90050625509
0.072,331.99999999999994,8287.999999999996
0.073,999.0,40163.0
0.073,488.8977398188705,28572.281672978108
0.074,502.72258751721114,38007.61081678246
0.074,666.9999999999999,48254.00000000002
0.075,160.0,10366.000000000004
0.076,494.00000000000006,3495.0000000000005
0.077,646.0,22272.000000000007
0.077,617.4431147887228,46966.862051876524
0.077,996.9999999999999,248133.0
0.078,499.0,9289.000000000004
0.08,1499.0,134178.00000000003
0.08,507.53666781904326,42092.50206616234
0.081,498.00000000000006,309862.99999999977
0.081,461.5192303685731,44649.794848352874
0.081,499.9999999999999,103164.99999999997
0.082,361.00000000000006,37300.000000000015
0.082,114.99999999999999,227.0
0.083,592.0,55006.999999999985
0.083,252.99999999999997,18429.000000000004
0.084,429.0,214570.00000000006
0.085,499.0,51166.0
0.085,285.0,16711.000000000007
0.086,499.0,103915.99999999999
