evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,341.0,68163.33333333333
0.051,565.75,99329.75
0.052,336.5,79415.0
0.053,303.75,30834.75
0.054,541.0,25267.333333333332
0.055,515.75,94179.25
0.056,247.5,25162.0
0.057,412.875,34411.5
0.058,499.0,37787.0
0.059,573.25,53878.75
0.06,433.25,81168.25
0.061,496.5,74351.0
0.062,552.6666666666666,68220.33333333333
0.063,308.0,20422.0
0.064,786.0,51961.0
0.065,383.0,143739.0
0.066,477.25,104623.0
0.067,999.0,49842.0
0.068,693.25,93258.75
0.069,500.0,31724.0
0.07,412.0,39065.8
0.071,498.0,53048.0
0.072,346.6,30897.0
0.073,659.0,33219.0
0.074,566.6666666666666,41552.0
0.075,160.0,10366.0
0.076,494.0,3495.0
0.077,726.5,92068.25
0.078,499.0,9289.0
0.08,806.0,94238.5
0.081,481.0,128285.25
0.082,238.0,18763.5
0.083,422.5,36718.0
0.084,429.0,214570.0
0.085,392.0,33938.5
0.086,499.0,60781.0
0.087,266.3333333333333,50983.0
0.088,464.5,27541.5
0.089,585.1666666666666,70501.66666666667
0.09,672.5,181030.0
0.091,499.0,33286.0
0.092,577.2,56313.4
0.093,426.0,58900.5
0.094,431.0,32598.666666666668
0.095,237.0,10141.0
0.096,351.5,33635.5
0.097,490.25,60144.0
0.098,427.2,46969.8
0.099,312.6666666666667,19675.333333333332
0.1,499.0,118894.0
0.102,497.5,74093.5
0.103,891.0,168447.0
0.104,499.0,29919.0
0.105,748.0,37927.0
0.106,499.5,93076.0
0.107,939.0,83035.0
0.108,450.5,114228.5
0.109,687.5,127745.0
0.11,726.0,82304.66666666667
0.111,519.0,35347.8
0.112,557.6666666666666,87833.0
0.113,399.75,51057.5
0.114,360.75,20288.5
0.116,713.0,103960.0
0.117,664.3333333333334,93528.66666666667
0.119,149.5,7849.0
0.12,533.8,61208.2
0.121,998.5,149544.0
0.122,500.0,37742.0
0.123,499.0,67035.0
0.124,433.0,16841.5
0.125,498.0,80823.0
0.127,361.0,21785.5
0.128,99.0,2270.0
0.13,490.0,32981.0
0.132,499.0,37121.0
0.134,289.6666666666667,55097.666666666664
0.135,400.0,144923.0
0.136,407.3333333333333,44057.0
0.138,405.5,19241.5
0.139,364.0,10956.0
0.141,578.3333333333334,93980.66666666667
0.143,498.3333333333333,71741.0
0.144,459.0,40136.0
0.146,466.0,34305.0
0.147,567.75,70201.75
0.149,680.0,134929.0
0.15,450.0,66512.0
0.152,425.3333333333333,39551.0
0.153,312.0,12999.0
0.154,748.5,152009.0
0.156,91.0,4691.0
0.157,498.5,119414.5
0.158,922.0,68455.0
0.16,499.0,18585.0
0.162,374.0,26621.2
0.163,483.5,15357.75
0.164,168.0,6385.0
0.165,277.0,21586.0
0.166,168.0,5414.0
0.167,1439.5,130615.5
0.168,500.5,30219.25
0.169,518.3333333333334,77702.0
0.17,264.0,5175.0
0.171,1046.0,157720.0
0.173,999.0,241288.0
0.174,751.0,41627.0
0.175,66.0,84.0
0.176,260.3333333333333,22186.333333333332
0.179,574.0,62505.0
0.18,91.0,259.0
0.182,536.0,90503.5
0.183,435.0,37086.666666666664
0.184,526.0,14856.0
0.185,408.6666666666667,47830.666666666664
0.187,748.0,88341.5
0.189,67.0,117.0
0.19,564.0,26957.0
0.191,1999.0,181330.0
0.192,57.0,185.0
0.194,490.0,22103.0
0.196,765.5,42345.5
0.197,1231.3333333333333,98315.66666666667
0.199,2499.0,329893.0
0.201,999.0,71557.0
0.202,56.0,151.0
0.203,58.0,107.0
0.204,508.0,8361.0
0.206,289.0,5643.0
0.207,1222.5,69170.0
0.208,275.6666666666667,35188.666666666664
0.209,320.0,14253.333333333334
0.21,514.0,33648.5
0.211,388.0,3810.0
0.212,1498.0,239945.0
0.214,260.5,27352.5
0.216,497.0,122448.0
0.217,460.25,32002.0
0.219,181.6,4052.0
0.22,253.5,6033.5
0.221,521.0,19510.0
0.223,529.0,52218.0
0.224,356.0,10249.5
0.225,1526.0,279265.0
0.228,1298.0,225221.0
0.236,1629.0,107559.0
0.237,58.0,152.0
0.238,543.0,31438.0
0.24,75.5,132.0
0.244,196.5,2379.0
0.245,1498.0,100193.0
0.246,245.0,3369.0
0.247,283.0,1350.0
0.248,59.0,163.0
0.249,609.0,19641.0
0.25,616.5,22594.0
0.251,74.0,93.0
0.252,998.0,81210.0
0.253,121.0,897.0
0.254,801.5,49603.5
0.257,1619.0,218650.0
0.258,61.0,185.0
0.259,477.0,15021.0
0.263,816.0,98156.5
0.267,948.6,101397.6
0.268,499.0,7655.0
0.269,500.0,46250.0
0.272,118.0,586.0
0.273,142.0,796.0
0.277,1090.0,74750.0
0.279,698.0,32173.0
0.282,1993.0,225353.0
0.283,997.0,49344.0
0.285,339.0,8005.0
0.286,105.0,276.0
0.29,102.0,544.0
0.292,2499.0,242818.0
0.294,425.0,29289.0
0.296,188.0,3761.0
0.297,78.0,99.0
0.299,179.5,940.0
0.3,107.0,340.0
0.301,603.5,66562.5
0.302,115.0,247.0
0.304,212.0,2552.0
0.305,1525.0,97834.0
0.306,357.0,10441.0
0.307,78.5,358.5
0.308,270.0,1215.0
0.31,381.5,14685.5
0.311,143.0,413.0
0.312,102.0,181.0
0.315,336.0,27663.5
0.316,254.0,10332.0
0.32,25.0,34.0
0.322,83.0,134.0
0.323,209.0,1088.0
0.326,217.0,3299.0
0.328,491.0,16294.0
0.331,469.3333333333333,31912.0
0.334,362.0,20866.0
0.335,123.5,455.0
0.336,354.0,21184.333333333332
0.337,112.0,627.5
0.339,99.0,492.0
0.342,50.0,142.0
0.349,132.0,206.0
0.354,395.0,8996.0
0.356,91.0,140.0
0.358,92.0,208.0
0.36,333.5,12306.0
0.361,96.0,159.0
0.364,555.0,41813.0
0.365,80.0,283.0
0.366,420.0,9672.0
0.368,321.0,28872.0
0.369,181.75,11775.25
0.37,660.0,84857.5
0.371,477.0,82391.0
0.373,168.5,1551.5
0.374,537.0,19612.0
0.376,46.0,75.0
0.378,280.0,15640.0
0.38,142.0,668.0
0.385,90.0,138.0
0.387,102.0,206.0
0.392,159.5,1222.5
0.393,81.0,363.0
0.395,150.0,391.0
0.396,74.0,95.0
0.397,114.33333333333333,366.6666666666667
0.399,60.0,131.0
