evolution rate,geometric mean length lived,geometric mean species population time
0.05,186.25205739210432,7419.356929808232
0.051,517.210469831921,43791.31355261781
0.052,294.10882339705483,27469.165549757774
0.053,244.6635718983408,19921.69781793483
0.054,450.326651717417,22900.565550344403
0.055,513.8063245807958,65711.183241195
0.056,171.44678474675456,4711.279550185914
0.057,347.2411098159588,19944.947991090517
0.058,499.0,37787.00000000001
0.059,524.646378870317,47896.968323405476
0.06,409.29555858773676,54656.30100960627
0.061,496.49773413380245,63724.39231565886
0.062,431.95340932728527,44008.40019850811
0.063,308.0,20422.0
0.064,786.0,51961.00000000002
0.065,383.00000000000006,143739.00000000006
0.066,293.78744925417004,36995.94159521877
0.067,999.0,49842.00000000001
0.068,676.9140699180398,85749.73889972319
0.069,499.9999999999999,31724.0
0.07,383.6397750077064,32764.27275515129
0.071,498.00000000000006,53048.00000000002
0.072,294.27728764136714,15891.139085081866
0.073,620.3934192254156,32006.535244224233
0.074,552.4091672438017,41155.20982625634
0.075,160.0,10366.000000000004
0.076,494.00000000000006,3495.0000000000005
0.077,703.9314925228423,59089.00930651423
0.078,499.0,9289.000000000004
0.08,665.3512486372103,56243.700243711624
0.081,479.8933563921624,89348.08729226598
0.082,203.75230060050856,2909.828173621254
0.083,387.0090438219758,31839.03269573372
0.084,429.0,214570.00000000006
0.085,377.114041106931,29240.981960255704
0.086,498.99999999999994,54245.10077439643
0.087,209.89389197338832,18367.221911000262
0.088,238.65875219652017,15659.413462834433
0.089,423.5013650254861,24333.756419293964
0.09,649.4659344415226,138695.34936687682
0.091,499.0,33285.99999999999
0.092,546.0200649020242,46854.5265206581
0.093,419.5235392680606,58475.79191426141
0.094,389.87504214996267,27818.756605735416
0.095,237.0,10140.999999999998
0.096,319.05485421789155,25218.06007606454
0.097,490.00946431962655,54821.55286498859
0.098,367.4660355299126,20935.752538577
0.099,280.96816211177827,15571.830872842813
0.1,499.0,118894.00000000003
0.102,497.4997487436552,70103.79827084974
0.103,631.0625959443327,60248.181657208544
0.104,499.0,29918.999999999993
0.105,704.9851062256564,36422.59673609228
0.106,499.499749749687,86529.7998090831
0.107,939.0,83035.00000000003
0.108,447.77226354476215,113979.80781699887
0.109,612.8817177890036,108483.2152915832
0.11,611.4479354458188,58039.62048806477
0.111,457.1886585858673,27553.858015678925
0.112,551.9632318154715,73087.56186284147
0.113,336.81885211336504,17405.63070929382
0.114,269.44334452447526,10011.85425877701
0.116,680.1271939865366,103307.31551540778
0.117,627.4381494886408,72147.8956529553
0.119,148.69431730903503,1902.2555033433334
0.12,408.7052186004505,30263.656837265255
0.121,864.5819799186194,148423.3991222408
0.122,499.9999999999999,37742.00000000001
0.123,499.0,67034.99999999999
0.124,258.9980694908748,2190.0273970889043
0.125,498.00000000000006,80823.00000000001
0.127,241.86153063271556,2716.2787044042448
0.128,98.5900603509299,1108.3947852638066
0.13,490.00000000000006,32980.99999999999
0.132,499.0,37121.0
0.134,196.3964538940485,5747.0427233395585
0.135,387.55515736472915,61113.634158017485
0.136,139.53930197034833,1390.5737286191306
0.138,394.3348830626071,19118.574999199067
0.139,364.00000000000006,10955.999999999996
0.141,504.03846708161694,45339.24851272221
0.143,498.3331104672206,62818.44048129533
0.144,459.0,40135.99999999999
0.146,466.0000000000001,34305.000000000015
0.147,509.3239622197031,28630.58521626466
0.149,601.0623927680055,84752.19726355186
0.15,450.0,66512.0
0.152,390.986370187907,29183.931414865965
0.153,312.00000000000006,12999.0
0.154,705.3382167442795,133115.049757719
0.156,91.0,4691.0
0.157,498.49974924768014,119251.2745759977
0.158,922.0000000000002,68455.0
0.16,499.0,18584.999999999996
0.162,233.25227554955373,2351.7687670035857
0.163,373.87347089003123,4947.665966061336
0.164,168.0,6384.999999999999
0.165,209.6854787532985,2557.1546687676127
0.166,168.0,5414.000000000001
0.167,404.49721877906654,6442.860234399005
0.168,282.7400910537434,6533.011099443972
0.169,342.2280007871233,11290.258458429846
0.17,264.0,5175.0
0.171,1046.0,157719.99999999994
0.173,999.0,241287.99999999997
0.174,751.0000000000001,41626.99999999999
0.175,66.0,84.0
0.176,233.8127413151936,7104.3921536776725
0.179,388.0038659601216,14932.916660853638
0.18,91.0,259.0
0.182,347.6089757184069,7791.370611131263
0.183,428.46214673966597,15869.75317850411
0.184,526.0000000000001,14856.000000000004
0.185,386.50305784691767,29420.735889818876
0.187,695.2179514368137,40993.339117471296
0.189,67.0,117.0
0.19,564.0,26957.00000000001
0.191,1999.0000000000002,181329.99999999994
0.192,56.99999999999999,185.0
0.194,490.00000000000006,22102.999999999993
0.196,729.3380560480853,32106.959993122968
0.197,962.7617500063963,75602.72630591485
0.199,2498.9999999999995,329892.99999999977
0.201,999.0,71556.99999999999
0.202,56.00000000000001,151.0
0.203,57.99999999999999,107.0
0.204,508.0000000000001,8360.999999999998
0.206,236.5692287682403,2538.0797859799445
0.207,1218.605760695394,69120.55175561032
0.208,139.9422891388425,1100.3841809586136
0.209,107.11589620036679,489.99272514535994
0.21,513.7810817848396,32217.187369477193
0.211,388.0,3810.0
0.212,1497.9999999999998,239945.00000000003
0.214,179.79988876526036,2241.5164509768824
0.216,497.0,122447.99999999999
0.217,304.8852554007582,5695.561370340252
0.219,155.6505871634853,1015.866800612275
0.22,196.21926510921398,1273.819453454845
0.221,521.0,19510.000000000007
0.223,529.0,52217.999999999985
0.224,312.78746777964113,3064.97471441446
0.225,1526.0,279265.0
0.228,1092.4298604487153,199564.98394257444
0.236,1629.0000000000002,107558.99999999994
0.237,57.99999999999999,152.0
0.238,543.0,31437.999999999993
0.24,74.28324171709257,124.0927072796786
0.244,157.49920634720672,959.3289321186975
0.245,1497.9999999999998,100192.99999999996
0.246,245.00000000000003,3369.0000000000005
0.247,283.0,1350.0
0.248,59.0,163.0
0.249,607.9350294233752,17963.229999084237
0.25,488.1802945633917,6929.921428126005
0.251,74.0,93.0
0.252,998.0000000000002,81209.99999999999
0.253,121.0,896.9999999999999
0.254,357.205823020846,3210.4068278023587
0.257,1619.0000000000005,218650.0
0.258,61.0,185.0
0.259,476.99999999999994,15020.999999999998
0.263,444.9719092257398,9735.565520297214
0.267,650.7190133028414,28216.037886042028
0.268,499.0,7655.0
0.269,499.9999999999999,46249.999999999985
0.272,118.0,586.0
0.273,126.24975247500487,577.3317936853989
0.277,1090.0,74749.99999999997
0.279,698.0000000000001,32172.999999999996
0.282,1993.0,225353.00000000003
0.283,996.9999999999999,49343.999999999985
0.285,322.97368313842543,4951.355874909416
0.286,105.0,275.99999999999994
0.29,102.0,544.0
0.292,2498.9999999999995,242817.99999999997
0.294,425.0,29289.0
0.296,188.0,3761.0
0.297,77.89736837660179,98.91915891272023
0.299,166.32498309033434,521.609049001261
0.3,107.0,340.0
0.301,594.2070346268209,58731.099989698836
0.302,114.99999999999999,247.00000000000003
0.304,212.0,2552.0000000000005
0.305,1524.9999999999998,97833.99999999999
0.306,356.99999999999994,10441.000000000002
0.307,73.14369419163897,279.5031305728077
0.308,270.0,1214.9999999999998
0.31,380.0263148783252,13989.472970773417
0.311,143.0,413.0
0.312,102.0,181.0
0.315,258.698180870069,4706.374008270769
0.316,254.0,10331.999999999998
0.32,25.0,34.00000000000001
0.322,83.0,134.0
0.323,209.0,1088.0000000000002
0.326,176.67201249773547,810.0598743302868
0.328,491.0,16294.000000000005
0.331,177.98209221013605,1490.9801106708144
0.334,362.0,20866.000000000004
0.335,120.62338081814818,441.9966063218134
0.336,313.8872301174367,8682.941880477985
0.337,100.21975853094041,388.8444419044716
0.339,99.0,492.0
0.342,50.0,142.0
0.349,132.0,206.0
0.354,395.00000000000006,8995.999999999996
0.356,91.0,140.0
0.358,92.0,208.0
0.36,288.9636655359978,6650.738304880144
0.361,96.0,159.0
0.364,555.0,41812.99999999999
0.365,80.0,283.0
0.366,420.0,9671.999999999996
0.368,321.0,28871.999999999993
0.369,119.77344777490177,588.0663607463531
0.37,626.6984920996698,75994.5162495295
0.371,476.99999999999994,82391.00000000001
0.373,168.4399002611911,1399.6149470479374
0.374,537.0,19612.000000000004
0.376,46.0,75.0
0.378,280.0,15640.0
0.38,142.0,667.9999999999999
0.385,90.0,138.0
0.387,102.0,206.0
0.392,156.15377036754506,1124.963999423982
0.393,81.0,362.99999999999994
0.395,150.0,391.0
0.396,74.0,95.0
0.397,109.8567833140829,334.17763388638826
0.399,60.0,131.0
