evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,697.75,54332.75
0.05,412.0,106243.5
0.05,496.0,88307.66666666667
0.05,256.0,24487.333333333332
0.05,381.5,31971.0
0.051,589.8333333333334,94413.66666666667
0.051,456.3333333333333,24163.333333333332
0.051,711.1666666666666,42173.5
0.051,344.0,22762.666666666668
0.051,684.0,59461.8
0.051,424.1666666666667,57829.666666666664
0.052,512.8,55453.2
0.052,642.5714285714286,60870.71428571428
0.052,485.5,46444.166666666664
0.052,383.5,49629.75
0.052,551.0,65312.6
0.052,662.6,78232.2
0.053,460.0,63051.333333333336
0.053,258.0,26001.666666666668
0.053,541.8,32216.2
0.053,527.8571428571429,86968.42857142857
0.053,325.0,16631.25
0.053,563.4,37973.6
0.054,408.6666666666667,71078.0
0.054,487.85714285714283,50042.142857142855
0.054,438.3333333333333,42988.333333333336
0.054,338.0,24584.25
0.054,502.90909090909093,43546.454545454544
0.054,354.8,42367.6
0.055,556.3333333333334,64523.666666666664
0.055,396.5,50505.0
0.055,547.2,53394.8
0.055,605.75,51087.5
0.055,353.5,41366.5
0.055,664.0,97937.75
0.056,334.2,34479.0
0.056,419.0,44965.666666666664
0.056,782.4,70503.4
0.056,476.2,38120.6
0.056,561.1666666666666,61089.5
0.056,789.0,167641.25
0.057,584.0,88685.55555555556
0.057,548.0,70116.71428571429
0.057,444.25,25659.0
0.057,599.0,48077.8
0.057,444.75,58883.75
0.057,533.0,78030.5
0.058,556.0,86515.0
0.058,765.6,85279.2
0.058,445.6666666666667,87164.16666666667
0.058,701.75,74156.0
0.058,478.6666666666667,43355.88888888889
0.058,492.4,51143.0
0.059,364.3333333333333,60468.666666666664
0.059,254.0,40967.25
0.059,372.0,19186.0
0.059,402.42857142857144,64708.142857142855
0.059,397.0,38879.333333333336
0.059,466.2,58515.4
0.06,503.57142857142856,30550.714285714286
0.06,417.25,100579.0
0.06,500.0,86735.0
0.06,705.75,63942.0
0.06,378.8333333333333,22825.5
0.06,358.6,49007.2
0.061,989.3333333333334,99225.33333333333
0.061,372.1666666666667,32666.833333333332
0.061,543.0,76513.0
0.061,655.75,100489.75
0.061,663.75,48420.75
0.061,488.0,46090.666666666664
0.062,515.5,55670.833333333336
0.062,318.1666666666667,30102.833333333332
0.062,377.5,67682.0
0.062,462.25,82714.25
0.062,430.6666666666667,28549.666666666668
0.062,707.8888888888889,70750.88888888889
0.063,498.55555555555554,67123.11111111111
0.063,542.8,89716.6
0.063,499.5,86216.0
0.063,423.14285714285717,52728.42857142857
0.063,429.875,45886.0
0.063,647.6666666666666,46090.666666666664
0.064,414.0,56389.4
0.064,450.7,49392.2
0.064,587.8,50123.6
0.064,409.42857142857144,26484.285714285714
0.064,398.3333333333333,46313.333333333336
0.064,436.75,39817.25
0.065,326.25,26168.5
0.065,634.6,58568.0
0.065,436.75,44446.0
0.065,1395.5,62685.5
0.065,602.3333333333334,72741.83333333333
0.065,393.8888888888889,50953.333333333336
0.066,738.6666666666666,103117.0
0.066,405.0,70882.0
0.066,376.2,59627.2
0.066,393.85714285714283,51108.0
0.066,335.1666666666667,59325.333333333336
0.066,579.75,70850.75
0.067,672.8,77630.0
0.067,658.6666666666666,88169.0
0.067,368.375,35754.25
0.067,499.0,99039.0
0.067,661.25,100581.5
0.067,683.0,47802.0
0.068,436.2,70817.4
0.068,532.8333333333334,41025.0
0.068,575.8,73674.0
0.068,411.6666666666667,53745.833333333336
0.068,611.8,50100.6
0.068,446.3333333333333,45941.666666666664
0.069,435.85714285714283,56248.71428571428
0.069,463.25,61655.75
0.069,506.1666666666667,56119.0
0.069,406.625,28890.875
0.069,665.6666666666666,71737.33333333333
0.069,498.6666666666667,59963.0
0.07,519.6666666666666,61262.333333333336
0.07,594.3333333333334,56111.333333333336
0.07,634.25,72188.0
0.07,396.0,58020.833333333336
0.07,470.0,60276.6
0.07,406.6,65742.0
0.071,752.4,85986.6
0.071,514.0,62521.5
0.071,524.5714285714286,82491.28571428571
0.071,470.25,64740.75
0.071,317.0,102006.0
0.071,385.0,52035.5
0.072,305.25,20885.75
0.072,509.2857142857143,57055.71428571428
0.072,699.1666666666666,100548.66666666667
0.072,426.44444444444446,71276.22222222222
0.072,538.8333333333334,56502.166666666664
0.072,574.6,69903.0
0.073,573.75,54616.0
0.073,491.44444444444446,48034.555555555555
0.073,452.75,57841.5
0.073,758.5,48875.0
0.073,411.1666666666667,52384.666666666664
0.073,565.4,98168.2
0.074,420.0,42555.25
0.074,241.25,23430.5
0.074,679.6,97026.0
0.074,573.5,61501.5
0.074,467.8333333333333,38942.166666666664
0.074,611.0,48274.0
0.075,419.75,50311.75
0.075,448.25,30879.5
0.075,481.1111111111111,69488.66666666667
0.075,502.6,61909.4
0.075,490.5,58732.0
0.075,543.0,70583.5
0.076,580.1428571428571,76946.42857142857
0.076,312.0,29987.0
0.076,693.375,71787.375
0.076,527.8571428571429,49443.71428571428
0.076,586.7777777777778,97570.0
0.076,704.0,166408.0
0.077,252.5,10678.75
0.077,455.6666666666667,77503.66666666667
0.077,377.5,49900.5
0.077,546.0,75820.0
0.077,608.4,55796.2
0.077,608.8,51661.4
0.078,397.6666666666667,56965.5
0.078,810.25,87867.25
0.078,570.5,86836.66666666667
0.078,375.0,28884.6
0.078,590.625,66792.125
0.078,577.0,48871.25
0.079,694.6666666666666,30643.333333333332
0.079,544.8333333333334,65826.0
0.079,457.75,35744.25
0.079,577.4,78964.6
0.079,315.3333333333333,37939.833333333336
