evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,490.33557046979865,51879.76510067114
0.06,511.0632911392405,58611.15189873418
0.07,500.44625407166126,61018.094462540714
0.08,522.0063492063492,57066.29206349207
0.09,498.446875,60274.1875
0.1,480.18666666666667,55221.096666666665
0.11,494.05263157894734,54444.850877192985
0.12,519.8181818181819,58041.88181818182
0.13,478.29441624365484,45879.01015228427
0.14,513.4950980392157,54766.705882352944
0.15,454.2565445026178,47269.30890052356
0.16,696.1309523809524,68307.5
0.17,705.1437125748503,77914.50299401197
0.18,727.1985815602837,72365.41134751773
0.19,764.1459854014598,77398.37956204379
0.2,740.4598540145986,66843.25547445256
0.21,658.0683760683761,64898.333333333336
0.22,676.8055555555555,57206.75
0.23,644.109243697479,51844.24369747899
0.24,497.12048192771084,42034.56626506024
0.25,627.829268292683,54407.5243902439
0.26,541.0,39586.82474226804
0.27,488.1951219512195,37499.80487804878
0.28,523.6129032258065,38408.56989247312
0.29,386.8,24555.157894736843
0.3,388.5,28142.380952380954
0.31,403.2906976744186,21456.81395348837
0.32,360.609756097561,30977.256097560974
0.33,305.11538461538464,24332.9358974359
0.34,294.41379310344826,18855.919540229886
0.35,286.4927536231884,19367.536231884056
0.36,216.17073170731706,11677.0
0.37,278.9710144927536,13482.173913043478
0.38,300.3333333333333,21731.608695652172
0.39,274.22222222222223,15651.74074074074
0.4,218.77777777777777,9213.133333333333
