evolution rate,geometric mean length lived,geometric mean species population time
0.05,415.8649689693501,26473.98225784416
0.06,400.78947903390196,24822.076473755656
0.07,474.17058952550167,36881.447853352896
0.08,413.55832089580906,29121.3375540058
0.09,429.19001795014424,31288.887412925862
0.1,421.2136919217116,30487.144635280198
0.11,409.78148674947255,17462.803425601785
0.12,366.13218792747597,21750.735396273765
0.13,364.23813346018426,19750.08867547604
0.14,417.7103423307261,24860.947244350114
0.15,464.00822187146247,24435.577483862726
0.16,336.43659137773795,13491.480073202492
0.17,414.64065669604827,10929.572765325782
0.18,368.13616863391456,11219.611383585643
0.19,395.51059758074445,11236.518575124206
0.2,267.9696453158993,3994.0729720258887
0.21,299.1007314654686,5968.09917359697
0.22,372.8107274193537,7348.076374487596
0.23,368.7372160267274,8259.820014847612
0.24,365.09672196522325,11997.175112816223
0.25,323.15227691597113,5736.68757921903
0.26,308.80507239822697,5003.132575550844
0.27,146.45286186851916,756.1556949800214
0.28,153.30178530267028,870.0949767216974
0.29,184.42227223131496,1564.1909662746973
0.3,279.5690599797307,3669.079656141757
0.31,161.4512182275004,1253.1622283903187
0.32,136.4785265726506,876.2243191116249
0.33,147.81550576263245,1065.4038374423026
0.34,247.32710379494964,4097.068787420286
0.35,206.8727993656064,2714.988918300775
0.36,265.62724518461476,3731.016216238001
0.37,293.60614624941104,3982.79419697239
0.38,168.92456445203385,1551.249036074688
0.39,150.37295719417028,1066.1105529334682
0.4,220.219213143103,2403.6411799306375
