evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,450.8762376237624,44541.57920792079
0.06,455.1774647887324,44585.00281690141
0.07,476.74858757062145,45926.983050847455
0.08,485.5887573964497,49306.70118343195
0.09,467.8057971014493,50007.782608695656
0.1,513.9358974358975,51489.192307692305
0.11,450.8804347826087,46316.260869565216
0.12,460.71031746031747,45836.968253968254
0.13,460.7616822429907,46044.392523364484
0.14,394.81666666666666,35810.775
0.15,513.4840425531914,54614.48936170213
0.16,734.2864864864865,72520.62702702703
0.17,645.812030075188,51475.13533834586
0.18,762.6917808219179,62000.82876712329
0.19,778.6212121212121,63715.61363636364
0.2,768.2808219178082,57766.11643835616
0.21,680.1619718309859,53516.105633802814
0.22,672.6946564885496,46384.29007633588
0.23,655.6506849315068,49777.34246575343
0.24,517.3095238095239,37933.706349206346
0.25,455.8932038834951,31570.320388349515
0.26,545.4814814814815,37262.71296296296
0.27,490.14925373134326,27994.589552238805
0.28,438.1981981981982,25895.72972972973
0.29,403.8897637795276,22439.251968503937
0.3,367.6909090909091,20722.727272727272
0.31,362.3917525773196,15101.103092783505
0.32,357.1834862385321,23881.467889908257
0.33,272.8165137614679,13016.045871559632
0.34,282.22330097087377,16561.495145631066
0.35,329.83168316831683,16941.940594059404
0.36,268.05607476635515,13782.317757009347
0.37,202.990099009901,11115.910891089108
0.38,223.30555555555554,11610.407407407407
0.39,242.71559633027522,12720.036697247706
0.4,220.61904761904762,8602.380952380952
