evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,641.0,45346.0
0.054,426.0,1778.0
0.054,499.0,64102.0
0.055,436.0,35941.0
0.056,136.0,178.0
0.057,499.0,92686.0
0.058,519.0,37328.0
0.061,256.0,18168.0
0.061,341.0,8135.0
0.062,516.5,29824.0
0.062,487.0,28520.0
0.063,1181.0,71862.0
0.063,499.0,76803.0
0.065,566.0,89132.0
0.067,998.0,57518.0
0.069,248.0,16844.0
0.069,499.0,38475.0
0.071,337.0,23399.0
0.071,361.0,35236.0
0.072,999.0,91644.0
0.075,354.0,27698.0
0.077,500.0,26121.0
0.079,999.0,80782.0
0.09,499.0,48650.0
0.09,545.0,37984.0
0.091,864.0,42744.0
0.092,522.0,57630.0
0.093,500.0,54007.0
0.094,316.0,27645.0
0.096,411.0,78439.0
0.098,223.0,23374.0
0.1,999.0,206745.0
0.104,315.0,9461.0
0.105,499.0,17412.0
0.105,73.0,685.0
0.107,135.0,9253.0
0.109,132.0,2975.0
0.109,474.0,2621.0
0.11,549.0,44863.0
0.114,353.0,2296.0
0.114,421.0,24430.0
0.117,63.0,69.0
0.119,999.0,164162.0
0.119,1037.0,41599.0
0.12,514.0,6916.0
0.127,105.0,225.0
0.127,73.0,86.0
0.128,500.0,130579.0
0.129,130.0,2801.0
0.133,499.0,200060.0
0.133,843.0,58796.0
0.139,357.0,138107.0
0.14,623.0,42316.0
0.142,476.0,153955.0
0.142,547.0,32985.0
0.143,1000.0,49585.0
0.146,153.0,723.0
0.149,420.0,23892.0
0.15,322.0,15786.0
0.152,271.0,4237.0
0.153,1499.0,221403.0
0.155,55.0,443.0
0.165,2017.0,326286.0
0.167,46.0,90.0
0.167,146.0,690.0
0.169,198.0,925.0
0.173,54.0,97.0
0.174,127.0,362.0
0.179,1500.0,90278.0
0.181,464.0,47615.0
0.183,239.0,1696.0
0.187,549.0,64770.0
0.197,126.0,1667.0
0.199,231.0,1888.0
0.201,54.0,99.0
0.202,43.0,82.0
0.202,3998.0,490860.0
0.208,106.0,253.0
0.213,51.0,90.0
0.218,60.0,148.0
0.227,196.0,2158.0
0.235,1000.0,94716.0
0.237,60.0,149.0
0.237,57.0,98.0
0.241,56.0,103.0
0.244,251.0,4864.0
0.248,56.0,109.0
0.248,56.0,186.0
0.254,334.0,36626.0
0.256,1000.0,125569.0
0.28,90.0,149.0
0.283,56.0,146.0
0.295,49.0,96.0
0.301,148.0,950.0
0.315,214.0,2062.0
0.317,136.0,643.0
0.319,1755.0,227956.0
0.322,680.0,15679.0
0.326,119.0,139.0
0.329,127.0,298.0
0.336,121.0,214.0
0.34,97.0,179.0
0.342,54.0,128.0
0.357,499.0,44606.0
0.357,377.0,11010.0
0.365,53.0,104.0
0.365,45.0,87.0
0.373,84.0,166.0
0.373,102.0,312.0
0.377,510.0,58167.0
0.389,245.0,4942.0
0.399,68.0,176.0
