evolution rate,length lived,species population time,population
0.248333,52,141,2
0.293603,123,152,1
0.285761,394,35634,90
0.057398,406,88785,218
0.075585,275,14377,52
0.1408,167,9329,55
0.053885,747,11269,15
0.05,14,128,9
0.1571,433,44636,103
0.264574,516,18154,35
0.174827,1429,114808,80
0.129985,87,156,1
0.213327,173,286,1
0.384185,145,191,1
0.135513,66,106,1
0.129102,1466,129482,88
0.360465,1057,50795,48
0.301803,146,220,1
0.245229,168,310,1
0.186469,4001,249622,62
0.376413,286,2386,8
0.120817,151,864,5
0.143131,551,26936,48
0.23117,211,1049,4
0.19922,79,144,1
0.330687,813,11211,13
0.123232,107,318,2
0.093181,499,29816,59
0.133618,398,11940,30
0.113331,144,2570,17
0.061667,115,8176,71
0.092365,499,227724,456
0.106609,498,132669,266
0.097948,499,111705,223
0.169817,999,72834,72
0.218211,109,326,2
0.308603,1037,36304,35
0.113874,674,9477,14
0.096667,498,51335,103
0.089021,500,90666,181
0.223127,1604,122850,76
0.143732,109,350,3
0.182984,196,484,2
0.173257,350,4353,12
0.159904,179,1451,8
0.106829,499,45521,91
0.123246,149,5550,37
0.061667,10,71,7
0.05,1010,191492,189
0.33135,57,106,1
0.202179,90,150,1
0.347779,119,2217,18
0.333289,110,752,6
0.208092,394,10844,27
0.173005,740,27365,36
0.229958,277,668,2
0.091136,163,2873,17
0.37485,91,325,3
0.311929,64,109,1
0.378353,116,204,1
0.173025,2906,223647,76
0.058423,312,97599,312
0.27915,290,3630,12
0.249474,76,149,1
0.308814,53,96,1
0.241432,554,8890,16
0.190109,341,5369,15
0.191663,59,106,1
0.316446,1168,55588,47
0.150262,498,52091,104
0.06314,209,13546,64
0.057129,460,121477,264
0.13936,500,157537,315
0.131591,1100,133663,121
0.05199,480,43052,89
0.17082,559,25907,46
0.125188,211,2659,12
0.221777,150,276,1
0.192424,2260,161483,71
0.30176,282,1812,6
0.054803,74,110,1
0.324692,127,296,2
0.384936,75,210,2
0.378858,229,5051,22
0.161824,294,3518,11
0.283398,454,14830,32
0.116984,499,19890,39
0.115927,649,76033,117
0.116535,806,40852,50
0.088654,261,10141,38
0.076102,378,19855,52
0.194809,181,463,2
0.239238,402,44902,111
0.27996,1456,145613,100
0.064744,499,66772,133
0.106263,186,13929,74
0.15629,504,77072,152
0.259435,236,1838,7
0.317107,101,669,6
0.246352,764,170032,222
0.168906,238,3108,13
0.395161,749,21842,29
0.243877,778,41542,53
0.304569,65,104,1
0.216464,1972,116874,59
0.081691,8,14,1
0.073333,658,34098,51
0.111214,1000,93284,93
0.076968,300,17898,59
0.107628,201,17202,85
0.072595,499,98673,197
0.051332,610,36522,59
0.139309,153,1858,12
0.054022,404,26697,66
0.108333,450,32356,71
0.311004,159,559,3
0.13048,330,9599,29
0.187837,269,1394,5
0.121797,77,197,2
0.105126,143,588,4
0.121907,499,31554,63
