evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,466.7010067114094,44304.642953020135
0.051,453.8877887788779,42816.793399339935
0.052,454.7829560585885,42998.40412782956
0.053,442.99104066161266,42707.61199172984
0.054,459.2111416781293,44993.30123796424
0.055,455.55447605829283,43348.57737682165
0.056,446.23262618873446,43522.21360643746
0.057,455.50382741823245,44697.446068197634
0.058,459.49307479224376,46775.05609418282
0.059,457.46174496644295,43070.32818791946
0.06,448.5169147496617,44208.20027063599
0.061,470.7785765636233,46426.32494608196
0.062,488.451503990178,47471.7394106814
0.063,445.6325515280739,42969.84719260839
0.064,458.8484848484849,42356.02892561984
0.065,462.1977077363897,43335.63108882521
0.066,446.7680865449628,42679.60513860717
0.067,447.54610436025735,42835.506075768404
0.068,449.35704514363886,42885.551299589606
0.069,457.20028308563343,44385.44161358811
0.07,465.3062234794908,44973.79915134371
0.071,449.88669950738915,42410.332864180156
0.072,443.206734006734,41695.80942760943
0.073,516.7858599592114,51265.09415363698
0.074,457.98468708388816,43313.97736351531
0.075,464.2337217272104,44220.813570939
0.076,450.3845070422535,44010.538028169016
0.077,460.2880658436214,42647.17283950617
0.078,466.60661268556004,46158.49932523617
0.079,464.6606304493628,42791.37156270959
0.08,452.79259776536315,44180.844273743016
0.081,460.11919611919615,45975.96604296604
0.082,453.64821066846724,43324.821742066175
0.083,460.0609756097561,43438.380918220944
0.084,450.8266129032258,43774.531586021505
0.085,524.9691424470757,50515.76139217797
0.086,455.5914051841746,44531.30013642565
0.087,445.4689608636977,45811.14574898785
0.088,463.9920265780731,45624.39734219269
0.089,461.23738062755797,45394.347203274214
0.09,449.35617416131333,42631.21556031406
0.091,458.8448844884488,45438.98415841584
0.092,450.22532334921715,44801.65078284547
0.093,468.6852233676976,44445.40274914089
0.094,453.24417009602195,41501.88340192044
0.095,462.6537678207739,46761.92803801765
0.096,471.62525050100203,45771.14295257181
0.097,532.0393194706994,50717.27485822306
0.098,458.95816464237515,45073.21120107962
0.099,446.037508846426,42706.04175513093
0.1,468.4776119402985,43936.958777540865
0.101,443.94847457627117,42820.78644067796
0.102,448.30434782608694,42758.825374198146
0.103,455.7927994121969,45088.94783247612
0.104,460.2922122674018,44983.97312198484
0.105,455.9308314937454,45829.74687270052
0.106,459.0937279774489,45329.97040169133
0.107,449.0094752186589,43817.45699708455
0.108,539.1593045112782,50952.96757518797
0.109,459.51043219076007,44881.21982116244
0.11,443.95892457057505,42416.224047796866
0.111,443.6546546546547,41976.41366366366
0.112,445.9133126934984,43213.55263157895
0.113,450.8458049886621,43448.43990929705
0.114,435.83910700538877,43261.321785989225
0.115,445.54905193734544,42605.24319868095
0.116,459.22977346278316,45154.36974110032
0.117,436.79291338582675,41526.26220472441
0.118,441.84156862745095,42584.170980392155
0.119,442.8948233360723,41896.56532456861
0.12,512.7474460839954,48413.09818388195
0.121,440.32342954159594,42527.51528013582
0.122,448.00868055555554,44493.236979166664
0.123,439.4816666666667,42644.26833333333
0.124,442.00352733686066,41606.46031746032
0.125,451.5842013888889,45795.44704861111
0.126,448.5343777197563,44409.363794604
0.127,447.7942754919499,42560.96601073345
0.128,462.6814404432133,45451.91320406279
0.129,440.2629272567923,42740.577563540755
0.13,441.6511627906977,44148.28
0.131,433.10624417520967,41099.9394221808
0.132,490.3350993377483,44733.32251655629
0.133,443.2950971322849,41533.532839962994
0.134,421.4338374291115,39222.99527410208
0.135,437.01244444444444,41903.60888888889
0.136,459.1756756756757,45007.31981981982
