evolution rate,geometric mean length lived,geometric mean species population time
0.05,342.8875486298847,24172.25759552233
0.051,408.77634167220265,20495.528875393113
0.052,484.625711761167,39912.87018775395
0.053,354.12073296826225,22696.92194098553
0.054,349.63202179154297,21037.351931039568
0.055,415.1222708899746,33603.063253090804
0.056,469.84549965959275,39252.828165199455
0.057,506.02258731335723,41945.03700166161
0.058,470.7922683240328,40421.096532283045
0.059,309.6432696299476,23346.085700890795
0.06,390.1704422807184,24131.60535087573
0.061,490.1302849757553,43077.979545251066
0.062,383.199135849254,26641.333770731846
0.063,414.18372833887753,34346.95108787893
0.064,338.3780365643589,20870.113025268496
0.065,410.59072033169,26052.878480233638
0.066,375.27886611006716,32301.960036554778
0.067,457.3841097784364,33397.60067025362
0.068,427.1490241148099,29435.985273986305
0.069,400.3760994630979,27292.847044755297
0.07,404.72165545979425,29760.17359301372
0.071,403.5079662039785,30739.008972406707
0.072,440.90542537835694,39001.457249985964
0.073,423.40602280691223,31651.42951053443
0.074,398.16443317612703,31317.210096621664
0.075,461.8255494014605,35699.436631217526
0.076,547.5929659137381,54844.26295360878
0.077,423.0535223920933,31328.5849403964
0.078,464.0470918747913,45541.8955127637
0.079,452.99978512161425,40310.19976974589
0.08,384.0824494808579,25057.231552401292
0.081,416.7506644920574,27567.997768179855
0.082,530.9076513423545,37473.69235404917
0.083,350.7364756431897,19004.773326957282
0.084,496.6188172729071,36315.709122153115
0.085,402.0005793483152,34048.05869358927
0.086,383.0917498205115,22564.8229160995
0.087,482.30968452898566,42389.79844357698
0.088,447.8312982570578,36998.596035698785
0.089,400.6054887070637,35811.30231686318
0.09,458.37146360191997,41901.33358266263
0.091,408.8691412977681,26628.29350986253
0.092,379.23824645816916,27175.408157186877
0.093,453.33879160436146,39240.80335299814
0.094,429.9305728137049,35665.42883788924
0.095,447.0819689761755,38401.34208508094
0.096,377.3716561180077,26909.863641425043
0.097,325.6909197460742,24227.26248759045
0.098,413.6077930373858,34259.21409298526
0.099,401.76261419493574,27960.516773167165
0.1,440.14170037105987,29228.083162271814
0.101,451.51494752579185,19473.994752343046
0.102,315.69119529138317,15801.088169582488
0.103,386.70714703525016,32752.717257891454
0.104,402.3764980959883,31653.136255510515
0.105,412.8098703027776,27542.25912959298
0.106,421.80762689569156,37232.759359540796
0.107,460.71965094647567,27089.16757720206
0.108,314.44013141868226,10166.563077414241
0.109,310.7021796234169,9654.40988906928
0.11,468.1709298291076,40640.671505445775
0.111,337.5262945261545,20141.763734685283
0.112,500.5086780861783,52809.54265732184
0.113,349.071874825267,19556.530472320777
0.114,412.1800863683736,25406.329715202974
0.115,334.84791095064224,17870.299712525924
0.116,512.5582218119275,39213.3102315655
0.117,407.5909346062689,26064.68569470331
0.118,495.5749009662824,42465.205892329475
0.119,470.8029206047494,43975.822170633895
0.12,319.41293795195287,12042.183083373022
0.121,543.8111012690371,65092.09170984293
0.122,308.41683248573315,8678.997496957023
0.123,504.0607213398715,29246.542657051792
0.124,423.97475599667524,24346.971157347205
0.125,413.30772240049737,20512.216016802908
0.126,197.32878002406923,4053.011632473959
0.127,409.2687638597501,20364.066530098684
0.128,353.08561597829555,16059.362550239124
0.129,367.4221964098167,19315.564665358834
0.13,393.94993064366435,24126.67056430906
0.131,417.4532157249028,23482.788117744094
0.132,510.2505268465868,27591.302521229285
0.133,347.9834957117832,15237.801471087036
0.134,440.9057047168467,30158.11719283459
0.135,473.0734376177449,35861.06244067971
0.136,355.63736929392564,16791.319539170432
0.137,483.97011885716915,37019.346216171536
0.138,399.5730329519635,21359.34572682358
0.139,499.36494387737145,26547.151594228955
0.14,399.3351738682786,25977.633223262357
0.141,413.1969628378701,25413.91882027651
0.142,477.6657413555231,28178.84274934243
0.143,301.56772782669117,10407.513199632564
0.144,333.5774553279737,11323.900551550374
0.145,435.6739302034489,27752.354653159942
0.146,449.32680707039464,35479.66968396016
0.147,308.39533903131957,11688.211575264217
0.148,309.5229291510053,10247.30715287369
0.149,318.17243802385116,9531.818887561976
0.15,328.3109524604562,8259.346586006077
0.151,479.4300904641149,41518.290362910695
0.152,466.7143929665896,27589.827201621414
0.153,301.13813434338596,12330.294972410018
0.154,396.63926625667074,17150.924644779247
0.155,410.80555046748526,35361.297474219915
0.156,295.8669837576079,9099.584460962378
0.157,505.7063696522808,32956.43098561394
0.158,552.8632613186071,38302.36878097736
0.159,469.40715739194604,32189.283579361392
0.16,469.35067511199253,21549.485389077425
0.161,436.7878450871643,14832.94707452925
0.162,496.0012823024344,19525.7540656752
0.163,445.7583165172775,18112.90489736991
0.164,1067.0286362676325,72830.17237011497
0.165,369.05246936608364,12933.826063593884
0.166,602.2156072055882,42069.69873569595
0.167,380.7460123416907,16045.58429180876
0.168,540.8155191141954,26423.38177564046
0.169,476.1086378133161,19418.794785970727
0.17,398.1233066330847,19706.849781624307
0.171,463.3437177784891,19996.805806261367
0.172,529.7773153884267,30447.237439951943
0.173,276.54527406799076,4962.916422801941
0.174,272.4343396825322,3827.0190263563195
0.175,529.4233688124634,19859.91551348684
0.176,607.6410260908202,29799.61238474918
0.177,437.57506861277085,10542.663792274605
0.178,286.57948348678576,5614.47082961009
0.179,446.01295281551046,13663.843818451547
0.18,433.79264002297066,13058.202770578766
0.181,583.3276318628763,27384.60755243061
0.182,396.8080516115961,10105.797825189396
0.183,391.8608928979916,15713.81090310476
0.184,413.682360641488,17760.719168263306
0.185,184.82225797976608,1813.2791377095732
0.186,508.5634738609799,25979.837731309835
0.187,433.15840740870533,11481.545319577313
0.188,391.6922440298239,11265.269666549217
0.189,331.7093819525444,5043.4072293703575
0.19,264.0412141126578,5367.745955082255
0.191,791.4146193719291,50611.61882276074
0.192,462.5484041259401,12879.808414504754
0.193,467.8134678749573,14636.202716657766
0.194,244.71385840544517,3325.782951647741
0.195,457.5050866796166,13775.708763653913
0.196,366.7957034925805,13678.019299436224
0.197,542.2559629977432,15628.679628547812
0.198,578.0078145100879,21433.264348323555
0.199,269.2990580637772,4141.260273785658
0.2,472.0823327064445,14287.92353850703
0.201,318.0995630623852,6039.123824946467
0.202,268.62366393870667,3707.1602398795067
0.203,417.21015183087815,7576.490888934707
0.204,297.61224557034285,7371.684339925146
0.205,303.88447636874156,3782.9543641745054
0.206,228.2634196179515,4475.768111380132
0.207,411.3749456320078,7536.091325148643
0.208,306.7232327798033,5088.995500918036
0.209,579.6805083081576,24061.54299758254
0.21,300.15938025444393,4538.189933674844
0.211,264.7523235173199,2952.296472595613
0.212,397.6296243039732,7350.7677947826805
0.213,505.36816328850887,31503.942446069734
0.214,535.0267370832012,20127.79052373673
0.215,337.95089779133644,7324.91793604343
0.216,463.59812196371377,8952.85096530877
0.217,263.9174449156359,3301.128348818698
0.218,335.99514450644307,4715.451776955891
0.219,662.5095478787863,28038.396824400275
0.22,816.0215002002512,40431.15329936762
0.221,391.4546954594664,9116.817705280579
0.222,284.4313083469257,5457.944898056963
0.223,251.438710428544,3923.051565817078
0.224,255.41116114253967,4490.534922716761
0.225,443.58230371040247,13458.399499545212
0.226,450.94068122735047,10656.908238143411
0.227,443.2175430853841,10350.940168064146
0.228,315.8271255475379,5058.3941907780445
0.229,342.2811752030793,8334.074899933357
0.23,303.6984612665961,4337.805193581244
0.231,415.7206443829847,9692.537221844563
0.232,622.0541266492647,19502.330277686797
0.233,263.1743239499018,4409.617298454028
0.234,216.10711959300056,2487.7919801716366
0.235,208.65328337990076,2188.754628140391
0.236,467.23135865531054,14182.92137269055
0.237,227.26186293350779,2811.8653629666132
0.238,288.49506649966406,5151.6851102597875
0.24,227.36002368115945,3441.1928659323357
0.241,225.60497001964222,3752.9269750420044
0.242,303.55886655731854,5217.371709369827
0.243,240.26763083391427,4123.8446941558295
0.244,428.2573496675563,6833.7019164980775
0.245,327.88466847145384,4531.441458983748
0.246,517.383486783746,8555.847160007317
0.247,333.1836919068515,6129.4648856343865
0.248,196.3843970594796,2189.3657206435055
0.249,417.63129530706254,12478.953352555709
0.25,361.9569222450361,6237.98568567236
0.251,429.2524072024283,6199.028904389406
0.252,268.1114675239632,3133.2677003535346
0.253,217.25250091300325,2590.383668910599
0.254,226.5893616797186,2863.9165311238185
0.255,573.0292283378718,18564.417640712498
0.256,276.47554050019403,4850.698912402825
0.257,191.70343612831843,1573.8878813147508
0.258,461.3432949555545,14474.956720886817
0.259,324.9779273089447,5455.556712539416
0.26,441.3118260835382,10622.897284193778
0.261,261.115522360437,3327.4470852927693
0.262,306.6950688790924,4494.03272151658
0.263,211.20916071971894,1384.672125078706
0.264,287.8876537466134,6010.039572203827
0.265,349.9572003547011,4068.0645286637096
0.266,253.84869304710094,2647.048797288473
0.267,319.8658215425272,4111.318559858321
0.268,409.5382022242791,9851.566067340578
0.269,202.38181570970147,1897.9932887112889
0.27,297.67043928811285,7057.006105488646
0.271,323.59618311676576,5305.60423254187
0.272,279.0890391759129,3650.218577591827
0.273,230.06561217431621,2080.8170699026437
0.274,298.24619122070726,5098.751892304998
0.275,208.49492401034914,2941.8560644442505
0.276,611.5554093264732,15447.347776036398
0.277,277.01783303786493,4220.237138918391
0.278,440.8525645034869,10771.011073227139
0.279,302.2891620990204,4751.482745365002
0.28,202.19548152404005,2299.986798210677
0.281,377.47997965419887,11227.203363044913
0.282,298.7089257937152,4942.633973937032
0.283,280.706945616693,2930.0163173301726
0.284,133.49272084941174,635.068540691947
0.285,221.5959537428394,2463.2504344805916
0.286,369.55919529783387,8157.027767306212
0.287,249.71773442084805,4521.181937516162
0.288,196.24971845899734,1366.3988744581281
0.289,194.39549349551513,2930.5216797574117
0.29,148.62623120687263,1230.229822335109
0.291,233.9059371679681,2148.959774582822
0.292,123.66119837596588,790.5684847228214
0.293,316.24049819513266,4531.185194021908
0.294,318.41131921303145,5988.573327055368
0.295,166.8402803548892,1835.7399850529505
0.296,195.3281584658717,2925.00401678012
0.297,327.05548084129003,7289.907630099759
0.298,140.31875406190971,677.4653325106476
0.299,254.84860528458796,3994.8529643482843
0.3,542.6004965463648,16964.355330335777
0.301,246.46975812092114,4858.227923180664
0.302,167.56521129814863,1091.4620090375072
0.303,352.98938087702146,4485.749540566983
0.304,178.24653133797847,814.5358704983472
0.305,371.58710498886705,10149.112104506385
0.306,282.7805256473987,3276.302733191503
0.307,284.3943103795769,4377.84457290326
0.308,433.1613156927971,15824.803254244453
0.309,161.77354452884413,1218.6251455515537
0.31,187.8603512419352,950.0360400239748
0.311,179.08098379940284,1286.8369768391462
0.312,225.19780608438253,2255.901167663867
0.313,231.15314326133407,3475.8628239038126
0.314,222.8283841094133,2022.769322693338
0.315,186.62717206915488,1782.3724686612736
0.316,255.23626318814343,4271.79994023099
0.317,230.48373576952187,2050.027230031093
0.318,134.22183035637954,904.3812259521559
0.319,183.99040308908178,1214.6803677879345
0.32,376.0728513895859,9860.549016333685
0.321,445.1845371827309,25440.769333729637
0.322,215.42916599100383,3101.160790808463
0.323,177.10199313924159,2065.64513330399
0.324,232.4623139092644,2700.1370914735753
0.325,153.87376051943806,914.940386978739
0.326,204.05277654438106,2034.9095434388933
0.327,291.02791898209216,4650.920171659547
0.328,291.9600079651998,4290.041347993335
0.329,267.63393336380875,7881.906327580787
0.33,120.26894487902385,537.1277359246029
0.331,163.09164885602854,1192.345239625868
0.332,130.15726926075354,795.2842851937669
0.333,159.12949592748683,995.0158213894607
0.334,200.69763679769773,1832.014010480987
0.335,148.2495643300911,510.4809529130086
0.336,299.1151015361598,8442.963989773174
0.337,101.6194003440997,379.292834345641
0.338,287.33888253530563,2770.319667057536
0.339,174.42897242046797,1439.7106720100885
0.34,202.58625120779197,2544.6083280103835
0.341,177.55867072735242,1183.3880295708739
0.342,155.69278350580987,1326.8676612937818
0.343,213.43850524358191,2018.5322535118278
0.344,114.75658547810907,527.753964422496
0.345,175.96388850254277,1272.1055228947173
0.346,173.3882790322607,1219.238577887958
0.347,415.45786484791563,8961.107272749208
0.348,223.91691162197054,2533.16210288716
0.349,188.86381914937837,2242.2373020191258
0.35,190.0706876161923,2220.3753010302617
0.351,93.3845422540031,236.44993432673536
0.352,169.15239076268566,982.6651690762143
0.353,194.03718940973278,1431.2927414388375
0.354,125.63308745563613,758.5421480849607
0.355,146.38335547056533,759.8800967397967
0.356,91.64831839860756,229.8930089550065
0.357,123.96673754145635,682.6187840319614
0.358,194.63481681269232,1694.5382931143404
0.359,305.3066801224274,7524.315935380126
0.36,205.56829049174786,2690.0612421447986
0.361,124.85956167669816,708.2961292930728
0.362,95.07966850501643,282.274620682602
0.363,172.33378593571072,1280.1026186527683
0.364,162.65438752800796,1107.7000998289702
0.365,176.8814861957489,751.1528382578557
0.366,138.79978783802028,843.6220473877922
0.367,168.01487963446394,1298.2350644986602
0.368,151.8375596805652,1542.3421890140332
0.369,265.84657961004507,4826.8460463602405
0.37,178.98534165525874,1291.094330929729
0.371,238.89457890861405,3271.6115822152738
0.372,209.35672987066488,2227.066958472238
0.373,121.94156477712954,577.0525119235825
0.374,272.39036205405165,3541.2658993920077
0.375,106.61930982435616,444.4656572955915
0.376,153.72619552646722,1603.5348696862343
0.377,147.0397957106698,908.1977344927319
0.378,105.86454606425042,311.3113892562675
0.379,151.75395723605533,1086.9763146817343
0.38,334.4603697470568,4768.827095940296
0.381,102.83897246750642,348.93375814275265
0.382,119.75511611602055,793.7655033903243
0.383,228.7601586705606,2073.7066778136887
0.384,403.8851327595437,6885.165603110292
0.385,203.1032909993029,1998.0469616318305
0.386,224.438645321319,2224.349494511879
0.387,109.48239070780306,392.9721709956934
0.388,152.61049292161,836.832230815879
0.389,274.61181988652623,4249.604261310747
0.39,191.30736552731886,1770.0136387034497
0.391,128.70227024951433,409.6033588439037
0.392,164.66145285816225,1176.8685426498046
0.393,102.59833232723805,808.7469921913929
0.394,178.07449644443003,1645.0325266493376
0.395,270.4971434383464,3473.0181400479873
0.396,142.16252589897417,875.9942068824769
0.397,111.95063756327217,429.71032409630885
0.398,162.44571614323783,1182.1622033089907
0.399,181.30732978338324,1769.4302201565386
0.4,305.2048492406371,6819.390002045639
