evolution rate,geometric mean length lived,geometric mean species population time
0.05,458.0695345058754,47980.758110713956
0.051,483.2605007345712,28232.152606493924
0.052,439.5655066011175,26462.455248299942
0.053,523.0172066282603,43573.32031011683
0.054,420.476816574629,29365.419255867
0.055,389.3662990261381,42317.879752967514
0.056,460.1437973835379,31651.26493377292
0.057,390.2429196012423,26741.647856927222
0.058,791.9867423132789,105656.99410829363
0.059,338.6102348044363,23969.62174647139
0.06,667.8512680305905,39337.85076710606
0.061,375.9574444002938,21153.09452538801
0.062,352.37138204701023,23464.542954429555
0.063,598.8203077095231,44371.48378117115
0.064,448.2550714940108,28236.01809742432
0.065,408.63560275326887,58048.227639298886
0.066,419.5676091912033,25784.674563699053
0.067,409.6510505883382,20241.92936307374
0.068,559.7867668470077,54386.163151432665
0.069,290.3332920654641,9500.903363739168
0.07,403.5073644322388,44224.77726041534
0.071,713.9577654707966,79464.9123296805
0.072,454.18933726322354,66402.29678382179
0.073,344.45771720013425,14079.910708994708
0.074,515.9427607863935,30313.277130872222
0.075,411.27160680194567,21111.067510435325
0.076,304.0373383126634,17539.6468433323
0.077,328.2519484328477,13549.360174682008
0.078,359.6282844018431,22739.75424832371
0.079,499.9999999999999,90097.0
0.08,407.72181789948434,42057.70100468223
0.081,582.0702788267741,51599.60020121475
0.082,228.7270061307002,6683.723654711002
0.083,433.87141707746866,40511.69881704649
0.084,588.45679253,39987.3363144131
0.085,481.28099646729413,26841.544748384655
0.086,519.9689243389472,46569.0383174517
0.087,571.1273471922113,34695.95501429502
0.088,299.11583424154264,15441.206937798714
0.09,521.878452708036,44841.91652848305
0.091,639.7367914077646,44150.92408041671
0.092,420.76971243416335,42251.37998027398
0.093,499.0,104457.78697636662
0.094,474.749001457244,25550.475640239692
0.095,566.4424066045902,78570.06625299486
0.096,414.00994044883987,48482.86725418867
0.097,887.8538610862493,98697.66846289902
0.098,286.4020181580755,20430.771334016754
0.099,572.9194018132048,33878.41678128287
0.1,309.64920575673995,11533.437709261938
0.101,232.8054444320161,9895.9247878318
0.102,551.1715501025918,45078.13209668688
0.103,401.99814556026024,18318.19750639457
