evolution rate,geometric mean length lived,geometric mean species population time
0.05,407.6358856764129,30787.376304111775
0.06,398.389198435554,28053.709248916577
0.07,440.7761202024844,34056.36080435328
0.08,434.09939132683564,35481.36014088758
0.09,400.71874501901664,27908.019377469365
0.1,439.9402947851433,32591.327250767335
0.11,422.45208377891447,28533.921392936998
0.12,406.43318569897104,25002.06608819707
0.13,387.4412030767536,23011.23645528807
0.14,385.60859736034104,20664.944703231147
0.15,386.7560847598227,17431.392803866882
0.16,389.9091745669063,17028.07561984969
0.17,463.9995930079385,19253.094923265708
0.18,526.3235525215015,23154.99209623175
0.19,425.7356156604923,11987.868868241178
0.2,389.8256693882806,10173.751120323514
0.21,431.4108733882653,10370.113722948025
0.22,381.34501359659237,9132.057162524849
0.23,303.4020285977086,5674.82399616919
0.24,303.2889928776592,4457.608656665997
0.25,262.2331014992072,3629.8936940850995
0.26,276.3082327742334,3794.6822537888856
0.27,269.58478901186277,3378.1133012323808
0.28,245.17143103998822,3008.359400022629
0.29,238.6017477082497,3017.806943918207
0.3,242.76879306160058,2739.169535541048
0.31,212.2280948895281,2198.9368965766566
0.32,228.46026621132864,2537.0506485156407
0.33,224.02493162334537,2290.86297131337
0.34,186.52856406369506,1374.7740838818029
0.35,204.01891877223287,2059.18585155108
0.36,202.01927952064307,1851.5583056926869
0.37,196.41624950278606,1962.8417485990794
0.38,195.2149903718639,1936.744243190417
0.39,170.9218370580194,1234.0356469814942
0.4,155.1730038922144,1043.4471440817676
