evolution rate,geometric mean length lived,geometric mean species population time
0.05,613.1331171039408,52748.23923636575
0.05,497.9989959829237,33030.6786185207
0.05,520.4427934543343,28946.265785045507
0.05,281.7179440504278,27277.607483062002
0.05,243.54686121563626,9564.64144187801
0.05,318.9143479109399,34559.11145322853
0.05,403.0,15127.000000000004
0.05,413.99999999999994,46058.0
0.05,441.0,18851.000000000007
0.051,486.6057241091937,48033.941069733075
0.051,552.2063284580039,54271.35049100784
0.051,373.4796268275903,24000.76862060022
0.051,663.9992469875249,47170.56246219671
0.051,358.6909151472641,33515.68352135888
0.051,405.96030396384214,56329.44687172231
0.051,413.0,25981.000000000007
0.051,499.0,73354.00000000001
0.051,498.00000000000006,101081.00000000001
0.052,335.0734718944784,26209.76184507989
0.052,588.6425061104574,59154.60550117803
0.052,458.8023578795064,18268.95042373067
0.052,521.0546510531007,68811.10798450986
0.052,413.47150522076754,16241.145889439213
0.052,443.2329029233166,49502.54164212926
0.052,461.00000000000006,48848.99999999999
0.052,170.5960140214302,3434.747152266088
0.053,739.9623273702606,47062.707679071966
0.053,599.1977438446426,36084.88132710248
0.053,486.07550940613544,38800.063057082196
0.053,280.17983919169507,25362.070718223178
0.053,329.1457932144037,13182.441582221341
0.053,243.60191318305567,6960.041184541938
0.053,67.0,294.0
0.053,499.9999999999999,79043.99999999999
0.054,549.7030149878926,44651.964858162326
0.054,479.39720456760807,29392.477178070465
0.054,488.99999999999994,43470.0
0.054,585.630969010347,37638.83647835271
0.054,324.773168068664,23715.36828122268
0.054,316.19499972795757,22651.47689294682
0.054,499.9999999999999,94508.99999999999
0.054,467.0,39787.99999999999
0.055,276.66557370541267,12929.887489905088
0.055,523.7942725274706,32212.151261235118
0.055,482.2177931184208,50121.46112195852
0.055,384.8273243874911,31598.006373941684
0.055,326.10824814275946,16060.843004976312
0.055,624.4522200632371,35134.05955292078
0.055,509.0,72885.99999999999
0.055,498.00000000000006,25530.00000000001
0.055,1077.0000000000002,71686.00000000001
0.056,434.3063434950035,93058.34543983685
0.056,438.8968192153227,38928.26424103192
0.056,524.0399513889402,78906.41705383157
0.056,267.9867128031395,24288.609387036955
0.056,618.008848582866,44422.263383659476
0.056,582.5172006439371,46050.88225581246
0.057,424.07628073257297,36639.82341332821
0.057,489.1577931003317,21710.580126506902
0.057,397.3555331808584,24004.820027695594
0.057,547.6153860448505,60241.004718489625
0.057,780.603962739847,79649.88928925683
0.057,516.1338014092247,41022.538793032065
0.058,423.4476272349116,40814.33653665499
0.058,574.3849756702086,131179.7971165653
0.058,869.9999999999998,73375.00000000003
0.058,197.636171646979,17250.044290659927
0.058,330.42775061685757,26412.315920122568
0.058,499.9999999999999,101851.00000000003
0.058,928.0000000000001,56580.000000000015
0.058,596.0,30791.000000000007
0.059,390.42337452877814,75342.77339022019
0.059,338.2687247081911,25403.06753204419
0.059,516.7649252363623,49462.49938623622
0.059,531.4454953120381,43492.93671929615
0.059,631.8227599572525,34851.658611893916
0.059,379.99395771946786,30408.835610160793
