evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,476.59090909090907,44318.86363636364
0.051,502.25,55852.96428571428
0.052,515.5333333333333,58989.1
0.053,513.1875,47574.21875
0.054,492.25,46899.59375
0.055,507.9583333333333,43241.458333333336
0.056,555.28125,81057.6875
0.057,573.3939393939394,64306.30303030303
0.058,496.1111111111111,72122.72222222222
0.059,486.16,58742.68
0.06,547.9411764705883,58026.882352941175
0.061,534.7142857142857,60803.892857142855
0.062,572.2258064516129,64796.1935483871
0.063,498.0357142857143,56828.96428571428
0.064,482.05405405405406,66216.86486486487
0.065,463.44827586206895,38246.8275862069
0.066,525.5555555555555,65130.25925925926
0.067,518.04,56166.12
0.068,592.5151515151515,66313.57575757576
0.069,505.2142857142857,65532.357142857145
0.07,502.0769230769231,51467.96153846154
0.071,522.1923076923077,64887.11538461538
0.072,493.23333333333335,51146.23333333333
0.073,609.4411764705883,57143.82352941176
0.074,492.962962962963,50781.03703703704
0.075,394.89473684210526,44958.0
0.076,475.53125,53758.8125
0.077,449.60869565217394,61281.565217391304
0.078,480.67857142857144,66291.82142857143
0.079,549.68,54999.16
0.08,523.4285714285714,50811.392857142855
0.081,491.5357142857143,57344.607142857145
0.082,454.25,55688.5
0.083,498.7567567567568,57975.72972972973
0.084,493.81081081081084,61536.67567567567
0.085,434.625,56621.40625
0.086,577.6875,61394.8125
0.087,448.2258064516129,41158.967741935485
0.088,522.2758620689655,45382.8275862069
0.089,410.34615384615387,38788.03846153846
0.09,533.0,49939.066666666666
0.091,538.3548387096774,73758.90322580645
0.092,554.4,68590.6
0.093,481.62857142857143,51306.42857142857
0.094,405.6333333333333,58927.8
0.095,622.375,56601.09375
0.096,498.65384615384613,75100.73076923077
0.097,493.62068965517244,63867.06896551724
0.098,601.8260869565217,68180.21739130435
0.099,481.5769230769231,55683.03846153846
0.1,597.3571428571429,69023.67857142857
0.101,425.10714285714283,60146.92857142857
0.102,497.59090909090907,55661.954545454544
0.103,419.11764705882354,41371.705882352944
0.104,534.1875,44859.6875
0.105,413.73333333333335,48019.46666666667
0.106,495.0,51571.82608695652
0.107,598.7586206896551,58162.1724137931
0.108,486.27272727272725,54726.27272727273
0.109,539.1153846153846,58370.346153846156
0.11,433.2307692307692,45837.96153846154
0.111,506.84615384615387,59147.846153846156
0.112,421.375,31150.791666666668
0.113,545.0833333333334,63041.291666666664
0.114,458.7368421052632,42414.10526315789
0.115,432.16,41582.24
0.116,561.0,56603.56
0.117,570.9333333333333,66522.16666666667
0.118,461.2608695652174,42024.52173913043
0.119,502.6470588235294,36023.294117647056
0.12,521.6666666666666,59642.1
0.121,479.96153846153845,49982.769230769234
0.122,523.25,62094.25
0.123,488.625,43888.375
0.124,426.95652173913044,51233.17391304348
0.125,619.0,86797.95652173914
0.126,577.0,53990.0
0.127,403.2105263157895,46127.47368421053
0.128,564.5454545454545,62695.13636363636
0.129,409.7647058823529,41586.17647058824
0.13,519.1851851851852,62775.40740740741
0.131,370.9130434782609,51440.913043478264
