evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,497.5,71029.0
0.05,438.0,21495.0
0.05,275.0,33167.0
0.05,498.0,84783.0
0.05,353.5,16777.5
0.051,396.5,24397.5
0.051,420.0,26078.0
0.052,439.0,109929.0
0.052,604.5,60602.0
0.052,490.0,72989.0
0.052,327.0,78112.5
0.052,448.5,14634.0
0.053,190.5,12360.0
0.053,544.0,27653.5
0.053,460.3333333333333,37548.333333333336
0.054,444.0,95635.0
0.054,499.0,87295.0
0.054,430.0,32737.0
0.055,499.0,69860.0
0.055,217.5,17758.0
0.055,289.0,35867.0
0.055,500.0,84787.0
0.056,226.0,28019.0
0.056,557.0,76262.0
0.056,499.0,29721.0
0.056,499.0,78964.0
0.057,250.0,10826.0
0.057,601.5,50375.5
0.057,891.0,55940.0
0.057,1515.0,154332.0
0.058,653.0,102594.33333333333
0.058,441.0,15296.333333333334
0.058,499.0,79832.0
0.059,348.0,18492.0
0.059,347.5,17885.0
0.059,499.0,51180.0
0.059,998.0,41106.0
0.06,518.0,67473.5
0.06,326.0,52153.5
0.06,555.0,98906.0
0.06,259.0,3109.0
0.06,336.5,3232.0
0.061,182.0,7765.0
0.061,499.0,52840.0
0.061,1005.0,95926.0
0.061,363.0,31243.5
0.062,295.85714285714283,24555.14285714286
0.062,524.8,54422.8
0.062,172.0,8911.0
0.062,205.0,12003.0
0.062,425.6666666666667,27399.0
0.063,499.0,47452.0
0.063,212.0,20098.0
0.063,499.0,374109.0
0.063,318.0,16280.0
0.063,498.5,32618.0
0.064,545.25,61680.0
0.064,875.0,27288.0
0.064,139.0,9029.0
0.064,500.0,71900.0
0.065,487.5,38336.5
0.065,343.0,22199.0
0.065,73.0,248.0
0.065,171.5,10898.0
0.065,688.4,77403.4
0.066,510.0,42548.0
0.066,401.0,28905.0
0.066,361.0,65075.0
0.066,461.0,30874.0
0.067,478.0,58445.0
0.067,749.0,47686.0
0.067,126.0,3189.0
0.068,389.0,43299.666666666664
0.068,311.5,48509.0
0.068,940.0,39516.0
0.068,899.0,118086.0
0.069,231.0,13131.0
0.069,955.0,97111.0
0.07,97.0,3774.0
0.07,499.0,110061.0
0.07,270.5,25607.5
0.07,329.0,42238.25
0.071,374.0,27432.0
0.071,461.75,34651.0
0.071,153.0,8355.0
0.071,63.0,223.0
0.072,397.0,12970.0
0.072,125.0,6432.0
0.072,499.0,60634.0
0.072,429.0,35799.5
0.072,184.0,7928.0
0.072,603.5,92460.0
0.073,297.0,22429.0
0.073,892.0,114151.0
0.073,618.0,40239.5
0.073,748.0,90547.0
0.073,436.6666666666667,36273.666666666664
0.074,163.0,1334.0
0.074,1499.0,139187.0
0.074,390.0,27508.0
0.075,459.0,112909.5
0.075,270.5,18829.0
0.075,309.0,37606.0
0.076,712.0,2985.0
0.076,491.6666666666667,43388.0
0.076,397.6666666666667,37091.0
0.076,685.0,37104.0
0.077,587.0,105244.5
0.077,187.5,10117.5
0.077,46.0,68.0
0.077,498.0,32334.0
0.078,499.0,104628.0
0.078,529.0,72637.0
0.078,347.5,17111.5
0.078,379.0,20230.0
0.078,499.0,27493.0
0.079,692.0,58462.0
0.079,574.0,38525.0
0.079,499.0,25189.0
0.079,351.0,21480.0
0.08,499.0,19023.0
0.08,616.5,147983.5
0.08,499.0,27850.0
0.08,103.0,133.0
0.08,235.0,14631.5
0.08,316.0,24066.0
0.081,590.0,46948.0
0.081,379.0,19001.0
0.081,347.5,16127.0
0.081,590.0,12675.0
0.082,419.0,23610.0
