evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,491.7,58379.65714285714
0.06,471.96774193548384,47434.37903225807
0.07,451.12,43979.72
0.08,472.14516129032256,42250.37903225807
0.09,496.3692307692308,48502.553846153845
0.1,494.9830508474576,49611.55084745763
0.11,409.4237288135593,42794.101694915254
0.12,486.39639639639637,48194.3963963964
0.13,429.4102564102564,42830.14102564102
0.14,443.60674157303373,42514.30337078652
0.15,548.0864197530864,55795.851851851854
0.16,816.1754385964912,77639.42105263157
0.17,754.2063492063492,71417.19047619047
0.18,814.3035714285714,70679.46428571429
0.19,682.609756097561,53733.39024390244
0.2,640.8297872340426,56646.12765957447
0.21,685.1914893617021,51349.34042553192
0.22,672.574074074074,46090.77777777778
0.23,457.5833333333333,35195.8125
0.24,591.5909090909091,50245.681818181816
0.25,741.9803921568628,64066.41176470588
0.26,432.1333333333333,26046.28888888889
0.27,494.2439024390244,38756.365853658535
0.28,390.25,20851.840909090908
0.29,459.05405405405406,33512.72972972973
0.3,274.7352941176471,11093.911764705883
0.31,545.7777777777778,42296.22222222222
0.32,291.3333333333333,14415.02564102564
0.33,230.609756097561,8507.560975609756
0.34,236.87234042553192,9254.106382978724
0.35,175.70454545454547,5492.363636363636
0.36,267.5952380952381,15268.714285714286
0.37,185.5,7183.304347826087
0.38,258.8205128205128,10875.692307692309
0.39,195.35714285714286,8070.119047619048
0.4,167.05,9839.1
