evolution rate,geometric mean length lived,geometric mean species population time
0.05,433.47059027449524,35813.46111675781
0.06,388.99408013493814,23124.77259160019
0.07,361.79045641579944,19754.41587169103
0.08,375.6598827067815,19503.889275614314
0.09,409.138766317556,25252.258483589565
0.1,416.29220209076516,25202.136766199885
0.11,315.084166642523,13387.840963392244
0.12,372.73722321058307,16798.96535964679
0.13,335.4168273569151,14908.06126413166
0.14,326.886619303084,13049.450051761218
0.15,391.8619887524,15917.41105747864
0.16,457.42151059955233,14557.400289210424
0.17,346.62426686339234,6223.454614890873
0.18,375.3350518748453,7331.087286541469
0.19,345.65135494788365,5337.721625893416
0.2,323.96076355814347,5429.223883288788
0.21,334.972969991153,5383.787794757861
0.22,320.89014766728,5090.736465672819
0.23,229.99459139715853,2425.7496177075154
0.24,286.01273003340646,4134.41385080589
0.25,341.06354020237643,5790.782780762629
0.26,226.90210755361022,2211.1524181712225
0.27,229.31930548787454,2444.259542967605
0.28,214.5645298598302,2141.07018429297
0.29,216.07760400398627,1813.1211582764972
0.3,178.41448793754964,1494.0987013471301
0.31,231.01492241421897,2092.486720785504
0.32,180.52151781592377,1366.6457171975283
0.33,154.554696582053,967.4220682676074
0.34,165.3293100960777,1000.5916101275542
0.35,134.53826294072326,802.7133303844431
0.36,149.07558583290896,920.5088689308774
0.37,143.068595067303,913.1800598996641
0.38,152.690794849012,911.2478163327106
0.39,142.41721489889977,847.9782612682774
0.4,121.76952262940956,688.6241596169638
