evolution rate,geometric mean length lived,geometric mean species population time
0.05,368.9937021082763,25966.798807620467
0.05,366.8897794602051,26012.90010068422
0.05,370.5374103545819,25869.27064862183
0.05,353.8961655985795,22817.614260820625
0.05,372.35468758678417,26450.68530174755
0.05,366.56607927292833,26110.60974382787
0.051,398.85105165346374,24873.280494928516
0.051,383.6051278610137,24144.20527456409
0.051,398.18235098880706,25208.42371488603
0.051,389.8608248215935,23217.02599479772
0.051,397.56319139993263,25516.280066977215
0.051,388.80598761178516,24892.86700179571
0.052,389.1200882408758,23976.77240334296
0.052,392.46685655608246,23237.7839867751
0.052,401.70034543661586,25038.571325573914
0.052,386.55340735134996,23664.822467559407
0.052,376.7152115765328,23036.729937781587
0.052,388.61969021882805,24232.988333196638
0.053,374.47109252921433,22415.563141806517
0.053,375.44272535789446,24341.25186167145
0.053,388.71105845211235,24183.543089081024
0.053,382.18556818044203,22408.734556480722
0.053,397.17438956401503,25644.698791006675
0.053,379.30825364427767,22430.936078031402
0.054,401.37869426219277,24819.803921774102
0.054,406.7535083284956,25629.48097883194
0.054,386.75611554914684,23376.276050104185
0.054,375.2062650491634,22057.03715096562
0.054,399.5867257943499,25282.352406570084
0.054,396.87277534132517,26384.79321836578
0.055,392.1619901658002,24763.376017150305
0.055,388.79276177392273,23004.205352021178
0.055,383.2718775410245,24142.10796771312
0.055,388.98262237296143,24488.326193105386
0.055,390.21990739309706,24189.13866355474
0.055,399.6517387703522,25816.219000454614
0.056,382.5190515909817,23393.542280419282
0.056,386.0330282962196,23506.95691737269
0.056,378.39357857529967,22509.792544356704
0.056,375.97956511516685,22936.913994778777
0.056,387.7579102643841,24505.91624689686
0.056,395.4829424559848,23763.06907214362
0.057,373.1538994786119,21696.24295836882
0.057,378.63405267492533,23685.365351920693
0.057,374.04724973770607,22125.143795503936
0.057,398.2894529240227,23724.28744736251
0.057,383.3664545123645,24157.563622057634
0.057,389.1806828601337,24259.132964389148
0.058,378.5640723883502,24187.237851152597
0.058,382.2291001727249,24547.856650532365
0.058,374.34128781421043,22689.17365449164
0.058,392.61083284289987,24255.756682063344
0.058,387.7937364917584,24463.664247518507
0.058,385.61376979151765,23168.87577473183
0.059,378.9165418215058,23431.884213183195
0.059,384.86376006383784,24214.957078557076
0.059,390.5365934802021,24407.26818973265
0.059,379.73642397065777,22999.106085540985
0.059,378.5755616129004,22909.306980110763
0.059,388.7435822100855,23892.44752586256
0.06,375.93123681529994,22556.941384319784
0.06,379.133381960855,22359.49379246877
0.06,380.45209004645756,22630.48746163804
0.06,393.85515604650357,24471.897841824884
0.06,395.07198718532476,24200.944729513856
0.06,381.75485720770877,23189.551738086582
0.061,386.3689237685539,24574.168690857172
0.061,379.90909382893443,24202.279661977824
0.061,384.8046284902882,22421.790910242307
0.061,389.0299738907214,24723.427316288846
0.061,382.33789452839704,24007.946737289374
0.061,374.74305274389525,23308.52645879167
0.062,406.30114010397875,27730.9611840406
0.062,400.20799896769904,26469.986839035857
0.062,409.63000937605545,28156.96839110825
0.062,405.9158812161276,28704.572872975696
0.062,403.3280693417545,26451.817577348214
0.062,390.6891662877175,26366.932395387772
0.063,390.17777274749244,24009.00745149136
0.063,388.44147713286554,23711.75184879975
0.063,373.02254076345537,22144.956528280774
0.063,380.82358729070086,24370.27664028916
0.063,392.91777650277743,23280.67599655375
0.063,386.52825177114073,25722.5233073202
0.064,397.38033289891257,23886.35024606514
0.064,363.6937997253129,21189.056564385544
0.064,389.1036798039682,24218.676651098987
0.064,389.13514524797637,24190.08917498304
0.064,381.94817552287884,23897.86770218783
0.064,390.62930205646836,25173.439002558975
0.065,382.06526086468455,22683.851678444924
0.065,392.0298011004674,25856.076725587245
0.065,384.478122934087,22612.713900352883
0.065,388.06382950413666,23686.25027975
0.065,389.9759788679125,23696.8977884687
0.065,382.6181572529624,23709.11100701484
0.066,397.8582658145911,25966.46724503657
0.066,390.2701299787607,23158.79136121241
0.066,396.54976792392927,25118.466418963704
0.066,379.04932302341416,21906.637921191905
0.066,371.9031773676095,21403.32356496551
0.066,393.1614310420054,25484.70095613599
0.067,387.0154610401605,24233.886842607815
0.067,386.27857112191737,23588.916176944876
0.067,373.2978086712389,21813.6545814039
0.067,385.4636442307559,22800.866363333684
0.067,382.94124535877717,23249.594014967435
0.067,385.22311489849585,23464.521569029395
0.068,382.97337593731686,24515.994151239367
0.068,388.79928330011677,23920.17723958296
0.068,395.4108660004326,24724.7194907293
0.068,384.9808423061645,23770.16658289532
0.068,384.7644715937004,23269.739181348665
0.068,378.4254671470309,24443.5850909997
0.069,375.7860025666985,22644.77119127303
0.069,397.87115877022717,25967.158859584026
0.069,381.23629879532683,24285.466098579112
0.069,381.8658689262067,22888.297999959657
0.069,412.56295487308046,25758.95326618794
0.069,394.23291794419924,24213.23308739771
0.07,385.60206271373374,23325.970930420768
0.07,377.46067169062627,21188.379675901586
0.07,395.63859178521295,23818.81053944823
0.07,371.7367994181295,21215.263654977818
0.07,371.21705701522825,22144.66658893209
0.07,377.4362539271671,22176.039186856593
0.071,376.41432128404176,23259.54451126971
0.071,383.482474009077,22279.541122849714
0.071,387.35442919499735,22739.226287975383
0.071,389.7080495269513,23158.46974093451
0.071,370.04627951486555,20642.88958938328
0.071,385.1259537564985,22816.188210032484
0.072,384.75617321954707,22604.191490449048
0.072,383.47616676550047,24393.917485670132
0.072,383.33451547964506,23884.339612068903
0.072,370.12190700923446,21577.649791599906
0.072,383.3068711043638,24276.124010185355
0.072,386.69279025901153,23897.97690116385
0.073,416.4249752550843,28814.277778241336
0.073,430.86603671656496,29107.95590725152
0.073,406.7433834488805,27219.919817320937
0.073,421.2241437586429,28996.170458085606
0.073,407.4778815305284,27470.72874751459
0.073,404.02219968083733,27099.40264289747
0.074,387.9291526510506,23137.64531756002
0.074,389.0707983964677,23765.250956384647
0.074,390.4565990353659,23958.97677625537
0.074,379.25322017486087,23757.254171919136
0.074,369.009257587931,21877.640223226597
0.074,377.47405223867673,23449.53806246809
0.075,412.88156321780673,27550.751077450303
0.075,381.12415683665796,21930.429220417733
0.075,392.5783645941128,24215.950844961088
0.075,382.4310654875974,24171.079635041628
0.075,386.32218561847213,24643.17752510755
0.075,394.9623951633472,24729.3082438529
0.076,387.0596223057058,23122.036009879524
0.076,399.78241129366336,24951.04942849921
0.076,392.8763046875296,24823.182708951892
0.076,364.9527956370543,20662.629128792498
0.076,389.0696105482232,22424.79114701859
0.076,381.92636263177803,23259.450570669775
0.077,385.7001504549897,23574.93290255872
0.077,377.1590467098053,22763.91872527658
0.077,376.1152864196433,22543.469467469386
0.077,376.2701001679414,22616.53071651942
0.077,380.3292510007143,23692.27374148995
0.077,378.75123355643353,22858.13332964438
0.078,397.6217342224886,25073.452780957352
0.078,389.2380148901502,23458.394488005968
0.078,389.07268117058817,23500.181907089693
0.078,377.89549712446444,23039.683528224905
0.078,399.81359718267214,25423.574929482435
0.078,381.0512225372108,23617.47713882955
0.079,384.6683701879951,24018.36039987361
0.079,388.6633074315387,23841.783083120554
0.079,371.2233401558411,20666.500146483937
0.079,394.21861734984566,24259.18878993499
0.079,379.37075520571716,23440.724203576276
0.079,391.2060442079245,24328.97955464102
0.08,382.54038720682655,22912.06504338666
0.08,376.3551493158753,22756.373918369347
0.08,378.267596058748,22133.47712631807
0.08,399.1702910954817,25207.97711453021
0.08,390.33724250036886,25806.748018459963
0.08,403.62383246212056,27029.82478163812
0.081,388.20699575547127,23640.585798442564
0.081,382.0041781924702,22248.585020459184
0.081,386.4000048482706,23821.5897510667
0.081,402.0949407318859,25668.473305874188
0.081,398.86595155267247,26160.830951580432
0.081,388.4466972458594,24425.172208217533
0.082,383.6937355923189,24527.65784826923
0.082,365.8261898765713,21714.940249067397
0.082,378.956019899285,21629.972001808343
0.082,390.42290023496105,23851.090659056776
0.082,395.70313473146035,25353.320176644494
0.082,386.0248250447254,23084.52429408759
0.083,376.22638946344244,23300.255929408573
0.083,392.007529145629,25778.42820843411
0.083,397.819739924104,25542.303792360883
0.083,386.98129603365356,24480.351604129522
0.083,377.7751868084425,22901.535301871554
0.083,382.2055377564074,23599.927988709525
0.084,388.269312399836,24654.903723299612
0.084,383.50342216355745,22757.882544220298
0.084,399.4976116287807,24846.48396739188
0.084,389.9694929354515,23755.231601245017
0.084,386.331620932654,23118.139514497983
0.084,407.8220169821762,25652.236812751227
0.085,415.1333477251089,27996.8199659451
0.085,429.11219971695306,28363.321631364608
0.085,426.1885559895949,28890.354858060666
0.085,433.4322561493358,29087.916142546215
0.085,416.69437835391204,28666.27726525661
0.085,423.77908654915257,26983.514486575474
