evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,473.1529856726177,47383.349818904455
0.06,470.3502886946814,47252.46620266192
0.07,472.0782453851443,47358.10657804263
0.08,466.6665681347916,47001.187426101096
0.09,474.015544411329,47881.43624292828
0.1,467.2708839432646,47287.2315257425
0.11,459.0229667541181,46070.079480452456
0.12,450.22456760916003,45154.337207432756
0.13,446.0302424271987,44491.66474806107
0.14,437.7289557942574,43069.968343317494
0.15,492.82567552478787,48475.014906208125
0.16,779.5156454407241,73318.71615458048
0.17,864.6130452507134,77059.23783122707
0.18,849.5443896957123,72292.35395055325
0.19,803.8890848254657,65805.55814794719
0.2,766.691229364567,60749.29613575579
0.21,697.9791425796606,52678.01692642094
0.22,663.2523704983885,49028.07132514363
0.23,607.8876972210305,43613.884312884315
0.24,567.5342839370305,39696.842576199815
0.25,513.9136114213568,34860.49424561744
0.26,475.3882944627977,31141.093437207237
0.27,447.1056174089069,28621.930617408907
0.28,416.99856476498024,26116.484648111127
0.29,385.9687859458329,23216.93108857053
0.3,362.85931680323506,21775.892572097477
0.31,336.7932408822887,19402.527899104607
0.32,316.03339558387347,17618.827584312865
0.33,298.20169189670526,16257.039180765805
0.34,282.342988660604,15122.348040866735
0.35,268.50498603909057,13969.59063194484
0.36,255.95158384190643,12948.510433013658
0.37,240.32799479936173,11642.427457006088
0.38,233.72719189044994,11235.659849427944
0.39,225.68320564270948,10209.219627873039
0.4,222.53696939161102,9932.839400428265
