evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,355.5,33273.5
0.05,123.0,8034.0
0.05,496.0,68827.0
0.05,690.0,43758.0
0.051,379.5,27347.5
0.051,496.0,64331.0
0.052,397.0,6800.0
0.052,499.0,84215.0
0.053,464.0,102663.0
0.054,66.0,187.0
0.054,284.0,5498.0
0.054,499.0,144904.0
0.054,499.0,42044.0
0.056,499.0,117048.0
0.056,499.0,36058.0
0.057,351.0,20837.0
0.057,499.0,69632.0
0.057,499.0,23856.0
0.057,998.0,194336.0
0.058,434.0,5780.0
0.058,499.0,28517.0
0.059,365.0,61624.0
0.059,263.0,10301.0
0.06,202.0,4651.0
0.06,500.0,37519.0
0.062,499.0,30982.0
0.062,700.0,54392.0
0.062,1108.0,166055.0
0.063,68.0,201.0
0.063,565.5,121361.0
0.064,271.0,884.0
0.064,294.0,13784.0
0.065,523.0,87605.0
0.065,391.0,46958.5
0.066,499.0,91156.0
0.066,479.0,42024.0
0.066,341.0,13794.0
0.067,402.0,28082.5
0.068,379.0,24994.0
0.068,489.0,58309.0
0.068,499.0,66579.0
0.069,346.0,29272.0
0.069,161.0,314.0
0.069,434.0,29522.0
0.07,499.0,54622.0
0.07,547.0,27135.0
0.07,499.0,44630.0
0.071,499.0,25344.0
0.071,66.0,73.0
0.072,249.0,18182.0
0.072,137.0,350.0
0.072,446.0,34156.0
0.072,371.5,18012.0
0.072,577.3333333333334,49631.0
0.073,284.25,37501.25
0.073,498.0,284765.0
0.073,950.6666666666666,94976.0
0.074,499.0,187237.0
0.074,519.0,31342.0
0.074,337.0,31478.0
0.075,498.0,37887.0
0.075,144.0,6672.0
0.076,374.0,5201.0
0.077,571.0,39813.0
0.077,471.0,55686.0
0.078,232.0,11176.0
0.079,282.0,20704.5
0.079,336.0,20771.0
0.08,429.5,15696.0
0.08,499.0,65488.0
0.08,498.0,87671.0
0.08,499.5,79175.5
0.081,330.0,14886.0
0.081,355.5,48691.5
0.081,499.0,110990.0
0.082,122.0,348.0
0.084,668.0,25446.0
0.084,125.0,2567.0
0.085,486.0,36166.5
0.085,624.0,98727.0
0.085,241.0,2213.0
0.086,1000.0,113507.0
0.087,144.0,7414.0
0.088,499.0,177671.0
0.088,584.0,23080.0
0.088,182.0,5811.0
0.088,500.0,145515.0
0.089,880.0,25927.0
0.089,281.0,11607.0
0.089,351.0,71085.0
0.089,371.5,59094.0
0.09,499.0,60672.0
0.091,1000.0,202522.0
0.091,186.0,473.0
0.092,499.0,13507.0
0.092,382.5,58051.5
0.092,480.0,40182.5
0.093,998.0,99356.0
0.093,410.0,15223.0
0.094,865.0,73679.0
0.095,498.0,56404.0
0.095,499.0,35069.0
0.096,468.0,11751.0
0.096,786.0,72194.0
0.097,499.0,61911.0
0.097,499.0,34333.0
0.098,229.0,20976.0
0.098,70.0,127.0
0.101,498.0,130828.0
0.101,120.0,347.0
0.101,443.0,13190.0
0.101,499.5,64017.5
0.102,247.0,27343.0
0.102,569.0,135754.0
0.103,382.0,8648.0
0.103,499.0,46604.0
0.103,297.0,14109.0
0.104,999.0,242728.0
0.104,499.0,81819.0
0.105,500.0,42171.0
0.106,499.0,22386.0
0.108,487.0,17924.0
0.108,1268.0,69998.0
0.109,499.0,58299.0
0.11,999.0,70967.0
0.11,89.0,102.0
0.11,272.0,37608.5
0.111,498.0,58548.0
0.111,84.0,6366.0
0.112,498.0,56288.0
0.112,150.0,1686.0
0.112,162.0,6685.0
0.113,270.0,16889.0
0.113,297.0,12484.0
0.114,499.0,117773.0
0.115,407.0,17774.0
0.115,98.0,3626.0
0.115,499.0,23087.0
0.116,499.0,80831.0
0.116,856.0,80793.5
0.117,499.0,54502.0
0.117,499.0,31582.0
0.118,500.0,73267.0
0.118,500.0,101505.0
0.119,271.0,12924.0
0.12,693.0,113163.5
0.12,447.0,18566.0
0.12,500.0,46679.0
0.121,500.0,39432.0
0.122,302.0,20391.0
0.122,499.0,76502.0
0.123,1000.0,86635.0
0.124,499.0,33340.0
0.124,929.0,146846.0
0.125,473.0,37912.0
0.125,411.5,22146.5
0.126,499.0,26382.0
0.126,610.0,86396.0
0.126,240.0,8754.0
0.127,734.75,58981.5
0.127,549.0,66889.0
0.127,1210.0,108873.0
0.128,999.0,63818.0
0.128,499.0,35937.0
0.128,267.0,10624.0
0.129,233.0,7533.0
0.129,748.0,34183.0
0.129,499.0,169791.0
0.13,835.0,59880.5
0.131,85.0,104.0
0.131,138.0,8757.0
0.131,499.0,63763.0
0.133,108.0,143.0
0.134,285.0,8378.0
0.134,474.0,10984.0
0.134,539.5,62491.0
0.134,82.5,127.5
0.135,393.0,18799.0
0.135,627.5,55352.0
0.136,499.0,24817.0
0.136,180.0,2846.0
0.136,499.5,84117.0
0.137,374.0,15100.0
0.137,666.0,31321.0
0.137,497.0,131553.0
0.138,100.0,1491.0
0.139,552.0,135015.0
0.139,283.0,38545.0
0.14,995.0,230195.0
0.141,838.0,88739.0
0.141,209.0,4649.0
0.141,333.0,25253.0
0.142,643.0,62037.5
0.142,900.0,102836.0
0.143,363.0,7039.0
0.143,93.0,145.0
0.144,499.0,24280.0
0.144,199.0,2129.0
0.144,787.0,99263.0
0.145,113.5,278.5
0.146,499.0,125181.0
0.146,315.5,15577.5
0.147,265.0,7243.0
0.147,341.0,14150.0
0.148,907.0,54953.0
0.15,444.0,36655.0
0.15,180.0,681.0
0.15,63.0,148.0
0.15,129.0,154.0
0.152,448.0,15957.666666666666
0.154,54.0,84.0
0.154,106.0,212.0
0.155,500.0,35509.0
0.156,395.0,114264.0
0.156,404.0,27858.0
0.157,1263.5,189896.0
0.157,209.0,1815.5
0.16,1922.0,227074.0
0.163,94.0,243.0
0.163,315.0,10382.0
0.165,1017.0,194982.0
0.166,65.0,92.0
0.166,1578.0,170464.5
0.167,2114.0,155119.0
0.167,247.0,4266.0
0.167,3402.0,454504.0
0.169,1000.0,138298.0
0.17,1754.5,165239.0
0.171,112.0,176.0
0.172,1104.0,78140.0
0.172,537.0,39387.0
0.173,87.0,364.0
0.174,3874.0,413720.0
0.174,77.0,249.0
0.175,102.0,199.0
0.178,1462.0,78419.0
0.178,48.0,603.0
0.179,114.0,3079.0
0.181,2011.0,119323.5
0.182,131.0,393.0
0.183,539.0,26180.0
0.184,1188.0,80823.0
0.184,47.0,86.0
0.186,1999.0,172216.0
0.186,98.0,256.0
0.188,83.0,241.0
0.188,412.0,11386.0
0.188,46.0,126.0
0.19,186.0,920.0
0.19,92.0,101.0
0.19,1688.0,229775.0
0.191,1930.0,330238.0
0.191,77.0,138.0
0.192,75.0,93.0
0.194,87.0,155.0
0.195,478.0,98986.0
0.197,99.0,645.0
0.197,54.0,59.0
0.198,270.0,8330.0
0.199,586.0,48010.0
0.199,83.0,94.0
0.202,220.5,1668.5
0.203,2722.0,175153.0
0.204,499.0,129600.0
0.206,123.0,359.0
0.208,707.0,97229.0
0.208,85.0,169.0
0.208,311.0,7444.0
0.209,350.0,11643.0
0.209,1042.0,118254.0
0.21,999.0,74390.0
0.21,73.0,141.0
0.21,2543.0,248120.0
0.211,4001.0,341088.0
0.213,1832.0,163107.0
0.213,74.0,114.0
0.214,86.0,258.0
0.215,212.0,8453.0
0.215,415.0,69000.0
0.216,75.0,114.0
