evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,501.0,37020.28571428572
0.051,380.7142857142857,38088.57142857143
0.052,334.6666666666667,30625.333333333332
0.053,464.0,102663.0
0.054,369.4,44830.4
0.056,499.0,76553.0
0.057,586.75,77165.25
0.058,466.5,17148.5
0.059,480.0,74797.0
0.06,350.0,25188.5
0.061,499.0,116159.0
0.062,816.2857142857143,112581.28571428571
0.063,399.6666666666667,80974.33333333333
0.064,222.75,5721.0
0.065,357.25,46359.75
0.066,428.625,36131.75
0.067,259.0,15444.25
0.068,466.5,49658.0
0.069,329.75,17684.5
0.07,511.0,42754.25
0.071,489.3333333333333,24679.0
0.072,423.55555555555554,29424.666666666668
0.073,609.4444444444445,89405.66666666667
0.074,463.5,109323.5
0.075,713.3333333333334,52851.333333333336
0.076,231.5,4098.5
0.077,486.8333333333333,42558.166666666664
0.078,302.7142857142857,26704.85714285714
0.079,300.0,20726.666666666668
0.08,438.3333333333333,40882.666666666664
0.081,374.0,47629.0
0.082,122.0,348.0
0.084,423.6666666666667,18818.0
0.085,419.1666666666667,45400.666666666664
0.086,1000.0,113507.0
0.087,321.0,21902.0
0.088,452.8,75288.4
0.089,451.0,45361.4
0.09,499.0,60672.0
0.091,462.6666666666667,69926.66666666667
0.092,444.8,41995.0
0.093,606.0,43267.333333333336
0.094,682.5,134466.5
0.095,515.0,60906.0
0.096,484.3333333333333,28155.666666666668
0.097,499.0,48122.0
0.098,266.0,26669.666666666668
0.101,477.0,55613.142857142855
0.102,408.0,81548.5
0.103,481.2,52001.6
0.104,580.3333333333334,111107.66666666667
0.105,500.0,42171.0
0.106,499.0,22386.0
0.107,499.0,48122.0
0.108,546.8,45592.0
0.109,416.25,41635.75
0.11,408.0,36571.5
0.111,347.0,35148.333333333336
0.112,270.0,21553.0
0.113,283.5,14686.5
0.114,501.3333333333333,66136.0
0.115,274.8333333333333,26844.833333333332
0.116,737.0,80806.0
0.117,498.6666666666667,42379.666666666664
0.118,500.0,87386.0
0.119,516.0,33160.0
0.12,595.1666666666666,59562.0
0.121,500.0,39432.0
0.122,510.25,61645.0
0.123,1000.0,86635.0
0.124,714.0,90093.0
0.125,432.0,27401.666666666668
0.126,489.75,51982.0
0.127,702.7142857142857,59115.142857142855
0.128,588.3333333333334,36793.0
0.129,493.3333333333333,70502.33333333333
0.13,617.3333333333334,41701.333333333336
0.131,344.0,32136.2
0.132,57.5,306.5
0.133,369.0,61738.333333333336
0.134,314.57142857142856,20741.0
0.135,432.25,32413.75
0.136,463.2,47007.4
0.137,512.3333333333334,59324.666666666664
0.138,299.5,22394.5
0.139,529.25,74029.5
0.14,676.0,121718.0
0.141,591.3333333333334,76400.5
0.142,677.75,76615.5
0.143,228.0,3592.0
0.144,504.8,45829.8
0.145,113.5,278.5
0.146,376.6666666666667,52112.0
0.147,332.5,13071.75
0.148,907.0,54953.0
0.149,633.5,71882.5
0.15,258.0,30731.0
0.152,448.0,15957.666666666666
0.154,80.0,148.0
0.155,999.5,120375.0
0.156,399.5,71061.0
0.157,736.25,95855.75
0.158,253.0,36196.0
0.16,2224.0,235125.0
