evolution rate,length lived,species population time,population
0.318927,92,146,1
0.341208,93,244,2
0.394777,219,1272,5
0.220484,91,144,1
0.140477,184,508,2
0.377598,94,194,2
0.210151,69,104,1
0.054298,238,7576,31
0.173919,4001,224734,56
0.248864,87,146,1
0.086532,62,169,2
0.388333,52,138,2
0.248333,56,111,1
0.376667,58,150,2
0.318333,59,142,2
0.353333,59,99,1
0.33,60,134,2
0.05,69,188,2
0.236667,71,242,3
0.306667,71,154,2
0.085,75,136,1
0.12,75,387,5
0.143333,76,234,3
0.166667,76,169,2
0.341667,77,237,3
0.073333,78,137,1
0.271667,79,141,1
0.295,80,137,1
0.178333,91,157,1
0.201667,98,199,2
0.365,109,946,8
0.131667,113,277,2
0.283333,115,891,7
0.061667,154,1597,10
0.225,158,1136,7
0.108333,225,403,1
0.213333,254,1789,7
0.26,386,1555,4
0.19,411,1527,3
0.096667,437,39301,89
0.37045,143,481,3
0.314249,95,108,1
0.32584,99,107,1
0.155,937,73701,78
0.137336,525,41949,79
0.310969,65,69,1
0.18716,57,90,1
0.196221,108,294,2
0.227071,105,231,2
0.239897,128,249,1
0.087083,114,1775,15
0.394071,505,87540,173
0.324207,570,96270,168
0.375883,190,1647,8
0.177162,104,108,1
0.324248,84,94,1
0.08236,428,57010,133
0.38481,80,384,4
0.278598,277,12412,44
0.334793,219,458,2
0.145508,297,6323,21
0.250227,133,352,2
0.185405,74,96,1
0.084857,183,455,2
0.082084,271,800,2
0.118875,101,201,1
0.056041,65,110,1
0.276276,98,164,1
0.244095,90,154,1
0.148632,252,659,2
0.229735,2513,142663,56
0.206991,1758,65989,37
0.164137,84,185,2
0.15227,111,189,1
0.385918,118,429,3
0.275168,49,86,1
0.276401,91,167,1
0.278594,127,649,5
0.064676,440,44170,100
0.33631,134,322,2
0.247125,182,1252,6
0.199287,580,42243,72
0.176222,76,120,1
0.154659,76,102,1
0.126264,87,98,1
0.090066,182,2019,11
0.134073,289,50112,173
0.159047,131,476,3
0.280827,109,278,2
0.260021,182,526,2
0.192213,91,144,1
0.170079,87,111,1
0.067961,389,30736,79
0.185755,803,70722,88
0.327376,120,255,2
0.374895,48,83,1
0.157804,615,15779,25
0.081521,314,8346,26
0.263784,131,365,2
0.13942,403,2588,6
