evolution rate,geometric mean length lived,geometric mean species population time
0.05,401.38623305564965,31195.5414036578
0.051,442.5163714212592,35757.67581451364
0.052,455.9699802693187,40744.32302746236
0.053,419.79330197668173,34192.38547382872
0.054,478.5597926414053,39877.981399965574
0.055,441.72804907264896,37774.869163465926
0.056,442.3527383198322,37505.984325974976
0.057,432.0194415173252,35136.44852549155
0.058,424.84664296319477,33406.04214255724
0.059,434.7708203681271,33616.31186690318
0.06,426.2275942569481,37909.5685959955
0.061,429.9890016760838,37622.10953251651
0.062,442.453074967393,35188.926016850535
0.063,421.14821699685814,33496.71244198785
0.064,431.6353181461158,34863.75300158215
0.065,437.2253981368818,38128.24149401016
0.066,439.28195388910734,39061.44631869539
0.067,427.4763152048493,35345.13578049158
0.068,426.7670344512755,34285.66991083231
0.069,453.62799040356504,39793.28931600075
0.07,441.7733195994303,36494.156028538724
0.071,413.08250742218195,31911.819311146945
0.072,430.87884543278324,35852.64779835665
0.073,468.58210561449346,38519.44105876163
0.074,443.1810129804848,39689.21394860057
0.075,458.9285754842611,38271.14165973605
0.076,431.4917073094239,34258.00174513683
0.077,428.697854695818,34796.88144690715
0.078,429.0660595516039,32022.69088099397
0.079,469.3869163694108,39987.28084654882
0.08,454.1494110724451,36161.30367044003
0.081,449.176515718512,36646.20969102477
0.082,436.59349754424426,36489.904457945406
0.083,447.58855969351873,37335.0322353734
0.084,458.28001732411445,39560.73043810474
0.085,447.58593982936065,38521.557917524144
0.086,454.1273698703907,37893.84386330889
0.087,465.20923653282404,39486.155244239424
0.088,425.7724201211241,36219.830442659004
0.089,447.9598508947093,37686.45904249028
0.09,421.8079484301706,34898.61976189614
0.091,439.09438257540467,37265.41844453429
0.092,429.9538272985313,35053.43813081345
0.093,422.00345301368134,34665.63464752909
0.094,426.378721738262,32215.209076315678
0.095,437.626449823738,33835.381514521905
0.096,420.21111272016833,32802.66782492198
0.097,448.0235998569495,32883.229812642276
0.098,448.1587078312878,35801.730759734615
0.099,431.3399756676155,35410.08170189204
0.1,437.7588472591867,32907.5114556256
0.101,482.4044437910964,41136.92343232745
0.102,446.1447494911261,35197.33049745821
0.103,434.6039200440338,34055.286292317796
0.104,444.2234229770738,34263.9012622986
0.105,443.0522373054624,34037.19082484252
0.106,423.3983586006656,33778.73864692627
0.107,427.8650198109716,33872.775122937506
0.108,450.88085370266225,32324.769833502036
0.109,424.16200393702974,29312.084472046583
0.11,462.22893128779134,37301.64573240047
0.111,412.1487586550332,28220.262354775907
0.112,448.471878386633,33790.18984943059
0.113,426.85517742123994,31696.913649008
0.114,430.2365816430081,29759.645244693776
0.115,435.55751078813216,33728.42665161518
0.116,447.1632649998215,30530.779754294912
0.117,458.1115472674365,34612.08345753359
0.118,459.72362386759926,33232.14384632571
0.119,420.73057460424747,30145.32585580063
0.12,419.3738321000145,28935.020275674226
0.121,454.3522043119383,35886.71201317315
0.122,415.68283527408676,28711.705634876664
0.123,448.42934861561696,32105.342954611348
0.124,436.87453343120876,32564.565193883744
0.125,410.77957969121695,27749.699565693747
0.126,431.05173560141435,32246.22421110855
0.127,414.3171286880337,28045.20284763883
0.128,431.43658087650056,26306.111674403957
0.129,435.3025315216317,29654.37728256926
0.13,422.30367594162857,29614.692503060844
0.131,425.36079016487304,27496.50445101091
0.132,432.42201303657606,29663.18083901825
0.133,417.8030813792578,26521.620743463973
0.134,418.01710771003,27578.95673095955
0.135,469.90325323237164,37676.08145976714
0.136,420.4059447821459,25717.701604075966
0.137,409.9846890859597,25038.85218351414
0.138,418.168929709824,24401.635919754714
0.139,397.1504138602155,26060.792938612594
0.14,398.0955738110171,24784.509039506047
0.141,419.42539071516245,26806.574752948087
0.142,422.58904535830777,25445.291526016605
0.143,424.87494360992474,29974.856764056658
0.144,440.81791505115797,30593.430354077464
0.145,430.2583333197692,26411.35675064295
0.146,418.8587893945173,23784.748237986838
0.147,432.8933779214441,28362.431520580652
0.148,382.440833940314,20634.999020460597
0.149,375.3593424550915,20762.075542023933
0.15,435.7324495775531,22815.806687299846
0.151,426.44133719020533,25578.726492292804
0.152,427.45714770999433,27031.22004102584
0.153,422.834595510452,25689.57804998367
0.154,409.23299344347413,22751.646341457883
0.155,413.9796187488986,24910.272310197655
0.156,433.8407105778816,24442.177195842323
0.157,373.49595546236156,16648.820024822086
0.158,429.7836475730004,25103.862125210497
0.159,407.32803001079213,21650.006350336203
0.16,424.06748089045044,23228.62565083899
0.161,400.6415096527787,21433.091309009433
0.162,402.9013717285715,21438.55286088294
0.163,383.0496363134943,18706.440247164774
0.164,367.0651024785779,20103.26577763083
0.165,393.72113681628764,18014.98565754359
0.166,382.77291886693405,19235.994577774192
0.167,407.060528885689,19466.97567077893
0.168,366.30070872037595,17040.914745001082
0.169,422.41627821993507,23067.87003458887
0.17,373.7995555305221,18993.237209494226
0.171,425.2600699926584,21610.594735875173
0.172,412.4919046495309,19387.519253621635
0.173,426.56737112365437,22276.3958748672
0.174,466.3504225645195,27070.87535537111
0.175,440.5509538917735,23865.084686437163
0.176,403.70250282191904,18060.14644026745
0.177,461.1617189069738,25032.97014604008
0.178,459.6589728018,22574.26912056366
0.179,448.49229412744177,21081.82080664569
0.18,469.4166931145555,23705.92734518563
0.181,417.0756860271239,18845.91141238314
0.182,447.16205325871704,22785.817395984493
0.183,550.7903526203115,32469.228015482004
0.184,424.75735827774076,15774.946392478438
0.185,428.57271858896524,15681.203045265162
0.186,456.48371972072425,19764.665912840595
0.187,430.56294666358593,17761.141556582814
0.188,491.26456014941004,18499.993971856664
0.189,428.94719962413285,17156.285707001705
0.19,439.5617189938597,16411.175800842
0.191,511.72931451196166,23938.808236691395
0.192,418.5476290722766,13781.719336296439
0.193,439.0817890638834,18213.41819920763
0.194,421.6041930256886,13436.154748591693
0.195,421.56842405687513,14854.763825226852
0.196,483.8334677380754,19774.091045482113
0.197,466.189169382465,20096.434215469115
0.198,486.38634573345865,16756.6147186073
0.199,487.5281990159316,18415.400788775587
0.2,481.9049733526645,18447.261294011507
0.201,472.1891735833724,16538.34841101514
